"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",38,0,0.763157894736842,"Up",0.001,0.0128480662983425
"GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_ASSEMBLY",48,0.0208333333333333,0.729166666666667,"Up",0.001,0.0128480662983425
"GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",48,0.0208333333333333,0.729166666666667,"Up",0.001,0.0128480662983425
"GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION",10,0.7,0,"Down",0.001,0.0128480662983425
"GO_OXIDATIVE_PHOSPHORYLATION",73,0,0.657534246575342,"Up",0.001,0.0128480662983425
"GO_DISTAL_TUBULE_DEVELOPMENT",10,0.6,0,"Down",0.001,0.0128480662983425
"GO_ELECTRON_TRANSPORT_CHAIN",84,0.0238095238095238,0.595238095238095,"Up",0.001,0.0128480662983425
"GO_SERTOLI_CELL_DIFFERENTIATION",16,0.5625,0.125,"Down",0.001,0.0128480662983425
"GO_REPLICATIVE_SENESCENCE",11,0.545454545454545,0,"Down",0.001,0.0128480662983425
"GO_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT",17,0.529411764705882,0.0588235294117647,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_CHROMATIN_SILENCING",19,0.526315789473684,0,"Down",0.001,0.0128480662983425
"GO_FATTY_ACYL_COA_METABOLIC_PROCESS",44,0.113636363636364,0.5,"Up",0.001,0.0128480662983425
"GO_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0128480662983425
"GO_NEGATIVE_REGULATION_OF_CELL_AGING",16,0.5,0.125,"Down",0.001,0.0128480662983425
"GO_NUCLEOPHAGY",16,0,0.5,"Up",0.001,0.0128480662983425
"GO_MAMMARY_GLAND_LOBULE_DEVELOPMENT",16,0.5,0.125,"Down",0.001,0.0128480662983425
"GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",14,0.5,0,"Down",0.001,0.0128480662983425
"GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE",12,0.5,0,"Down",0.001,0.0128480662983425
"GO_HETEROCHROMATIN_ORGANIZATION",10,0.5,0,"Down",0.001,0.0128480662983425
"GO_CORONARY_VASCULATURE_DEVELOPMENT",35,0.485714285714286,0.114285714285714,"Down",0.001,0.0128480662983425
"GO_THIOESTER_METABOLIC_PROCESS",71,0.0985915492957746,0.47887323943662,"Up",0.001,0.0128480662983425
"GO_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES",17,0.470588235294118,0.0588235294117647,"Down",0.001,0.0128480662983425
"GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_DIFFERENTIATION",15,0.466666666666667,0.133333333333333,"Down",0.001,0.0128480662983425
"GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",54,0.462962962962963,0.0555555555555556,"Down",0.001,0.0128480662983425
"GO_SYNAPTIC_VESICLE_TRANSPORT_ALONG_MICROTUBULE",11,0.181818181818182,0.454545454545455,"Up",0.001,0.0128480662983425
"GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION",11,0.454545454545455,0,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION",51,0.450980392156863,0.156862745098039,"Down",0.001,0.0128480662983425
"GO_BRANCHING_INVOLVED_IN_MAMMARY_GLAND_DUCT_MORPHOGENESIS",20,0.45,0.05,"Down",0.001,0.0128480662983425
"GO_POSTTRANSCRIPTIONAL_GENE_SILENCING",36,0.444444444444444,0,"Down",0.001,0.0128480662983425
"GO_SYNAPTONEMAL_COMPLEX_ORGANIZATION",18,0.444444444444444,0.0555555555555556,"Down",0.001,0.0128480662983425
"GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME",18,0.444444444444444,0.0555555555555556,"Down",0.001,0.0128480662983425
"GO_L_PHENYLALANINE_METABOLIC_PROCESS",9,0.111111111111111,0.444444444444444,"Up",0.001,0.0128480662983425
"GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE",9,0.444444444444444,0,"Down",0.001,0.0128480662983425
"GO_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",9,0.111111111111111,0.444444444444444,"Up",0.001,0.0128480662983425
"GO_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS",9,0.111111111111111,0.444444444444444,"Up",0.001,0.0128480662983425
"GO_MRNA_MODIFICATION",9,0.444444444444444,0,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS",16,0.4375,0.125,"Down",0.001,0.0128480662983425
"GO_ANTEROGRADE_AXONAL_TRANSPORT",21,0.0952380952380952,0.428571428571429,"Up",0.001,0.0128480662983425
"GO_PERIPHERAL_NERVOUS_SYSTEM_AXON_ENSHEATHMENT",21,0.0952380952380952,0.428571428571429,"Up",0.001,0.0128480662983425
"GO_POSITIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION",14,0.428571428571429,0.0714285714285714,"Down",0.001,0.0128480662983425
"GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",14,0.428571428571429,0.0714285714285714,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING",14,0.428571428571429,0.0714285714285714,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT",54,0.425925925925926,0.0740740740740741,"Down",0.001,0.0128480662983425
"GO_MEIOTIC_CHROMOSOME_SEGREGATION",47,0.425531914893617,0.0425531914893617,"Down",0.001,0.0128480662983425
"GO_REGULATION_OF_CARTILAGE_DEVELOPMENT",52,0.423076923076923,0,"Down",0.001,0.0128480662983425
