"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",38,0,0.763157894736842,"Up",0.001,0.0128480662983425,"ENSMUSG00000024038, ENSMUSG00000020022, ENSMUSG00000030647, ENSMUSG00000028648, ENSMUSG00000013593, ENSMUSG00000037152, ENSMUSG00000002379, ENSMUSG00000035674, ENSMUSG00000023089, ENSMUSG00000041881, ENSMUSG00000022354, ENSMUSG00000037916, ENSMUSG00000022820, ENSMUSG00000026895, ENSMUSG00000040048, ENSMUSG00000014294, ENSMUSG00000026032, ENSMUSG00000027673, ENSMUSG00000021606, ENSMUSG00000036199, ENSMUSG00000024099, ENSMUSG00000020153, ENSMUSG00000026260, ENSMUSG00000031782","Ndufv3, Ndufa12, Ndufc2, Ndufs5, Ndufs2, Ndufc1, Ndufa11, Ndufa3, Ndufa5, Ndufa7, Ndufb9, Ndufv1, Ndufb4, Ndufa8, Ndufb10, Ndufa2, Ndufb3, Ndufb5, Ndufs6, Ndufa13, Ndufv2, Ndufs7, Ndufa10, Coq9"
"GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_ASSEMBLY",48,0.0208333333333333,0.729166666666667,"Up",0.001,0.0128480662983425,"ENSMUSG00000028648, ENSMUSG00000070283, ENSMUSG00000002379, ENSMUSG00000013593, ENSMUSG00000037152, ENSMUSG00000035674, ENSMUSG00000030647, ENSMUSG00000020022, ENSMUSG00000039048, ENSMUSG00000024038, ENSMUSG00000030614, ENSMUSG00000026260, ENSMUSG00000036199, ENSMUSG00000020153, ENSMUSG00000024099, ENSMUSG00000066839, ENSMUSG00000002846, ENSMUSG00000014294, ENSMUSG00000027673, ENSMUSG00000026032, ENSMUSG00000021606, ENSMUSG00000068184, ENSMUSG00000041881, ENSMUSG00000023089, ENSMUSG00000022820, ENSMUSG00000022354, ENSMUSG00000037916, ENSMUSG00000040048, ENSMUSG00000026895","Ndufs5, Ndufaf3, Ndufa11, Ndufs2, Ndufc1, Ndufa3, Ndufc2, Ndufa12, Foxred1, Ndufv3, Tmem126b, Ndufa10, Ndufa13, Ndufs7, Ndufv2, Ecsit, Timmdc1, Ndufa2, Ndufb5, Ndufb3, Ndufs6, Ndufaf2, Ndufa7, Ndufa5, Ndufb4, Ndufb9, Ndufv1, Ndufb10, Ndufa8"
"GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",48,0.0208333333333333,0.729166666666667,"Up",0.001,0.0128480662983425,"ENSMUSG00000026260, ENSMUSG00000066839, ENSMUSG00000020153, ENSMUSG00000024099, ENSMUSG00000036199, ENSMUSG00000021606, ENSMUSG00000068184, ENSMUSG00000026032, ENSMUSG00000027673, ENSMUSG00000002846, ENSMUSG00000014294, ENSMUSG00000040048, ENSMUSG00000026895, ENSMUSG00000022820, ENSMUSG00000037916, ENSMUSG00000022354, ENSMUSG00000041881, ENSMUSG00000023089, ENSMUSG00000035674, ENSMUSG00000002379, ENSMUSG00000013593, ENSMUSG00000037152, ENSMUSG00000070283, ENSMUSG00000028648, ENSMUSG00000020022, ENSMUSG00000030647, ENSMUSG00000039048, ENSMUSG00000030614, ENSMUSG00000024038","Ndufa10, Ecsit, Ndufs7, Ndufv2, Ndufa13, Ndufs6, Ndufaf2, Ndufb3, Ndufb5, Timmdc1, Ndufa2, Ndufb10, Ndufa8, Ndufb4, Ndufv1, Ndufb9, Ndufa7, Ndufa5, Ndufa3, Ndufa11, Ndufs2, Ndufc1, Ndufaf3, Ndufs5, Ndufa12, Ndufc2, Foxred1, Tmem126b, Ndufv3"
"GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION",10,0.7,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000031921, ENSMUSG00000055639, ENSMUSG00000034154, ENSMUSG00000029521, ENSMUSG00000031229","Terf2, Dach1, Ino80, Chek2, Atrx"
"GO_OXIDATIVE_PHOSPHORYLATION",73,0,0.657534246575342,"Up",0.001,0.0128480662983425,"ENSMUSG00000041697, ENSMUSG00000035674, ENSMUSG00000037152, ENSMUSG00000002379, ENSMUSG00000003072, ENSMUSG00000024038, ENSMUSG00000015790, ENSMUSG00000020153, ENSMUSG00000026260, ENSMUSG00000031782, ENSMUSG00000020163, ENSMUSG00000022354, ENSMUSG00000031818, ENSMUSG00000040048, ENSMUSG00000027673, ENSMUSG00000026032, ENSMUSG00000030647, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000020022, ENSMUSG00000035885, ENSMUSG00000028648, ENSMUSG00000013593, ENSMUSG00000017778, ENSMUSG00000058076, ENSMUSG00000014313, ENSMUSG00000036199, ENSMUSG00000024099, ENSMUSG00000036751, ENSMUSG00000038462, ENSMUSG00000037916, ENSMUSG00000022820, ENSMUSG00000061518, ENSMUSG00000023089, ENSMUSG00000041881, ENSMUSG00000026895","Cox6a1, Ndufa3, Ndufc1, Ndufa11, Atp5d, Ndufv3, Surf1, Ndufs7, Ndufa10, Coq9, Uqcr11, Ndufb9, Cox4i1, Ndufb10, Ndufb5, Ndufb3, Ndufc2, Ndufa2, Ndufs6, Ndufa12, Cox8a, Ndufs5, Ndufs2, Cox7c, Sdhc, Cox6c, Ndufa13, Ndufv2, Cox6b1, Uqcrfs1, Ndufv1, Ndufb4, Cox5b, Ndufa5, Ndufa7, Ndufa8"
"GO_DISTAL_TUBULE_DEVELOPMENT",10,0.6,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000035112, ENSMUSG00000014164, ENSMUSG00000025927, ENSMUSG00000026923, ENSMUSG00000027276, ENSMUSG00000034462","Wnk4, Klhl3, Tfap2b, Notch1, Jag1, Pkd2"
"GO_ELECTRON_TRANSPORT_CHAIN",84,0.0238095238095238,0.595238095238095,"Up",0.001,0.0128480662983425,"ENSMUSG00000037152, ENSMUSG00000002379, ENSMUSG00000035674, ENSMUSG00000041697, ENSMUSG00000024038, ENSMUSG00000028756, ENSMUSG00000031782, ENSMUSG00000020163, ENSMUSG00000026260, ENSMUSG00000020153, ENSMUSG00000021606, ENSMUSG00000014294, ENSMUSG00000027673, ENSMUSG00000026032, ENSMUSG00000030647, ENSMUSG00000040048, ENSMUSG00000031818, ENSMUSG00000022354, ENSMUSG00000013593, ENSMUSG00000028648, ENSMUSG00000035885, ENSMUSG00000020022, ENSMUSG00000014313, ENSMUSG00000058076, ENSMUSG00000027010, ENSMUSG00000017778, ENSMUSG00000038462, ENSMUSG00000036751, ENSMUSG00000024099, ENSMUSG00000036199, ENSMUSG00000068184, ENSMUSG00000009863, ENSMUSG00000023019, ENSMUSG00000026895, ENSMUSG00000041881, ENSMUSG00000023089, ENSMUSG00000037916, ENSMUSG00000022820, ENSMUSG00000061518","Ndufc1, Ndufa11, Ndufa3, Cox6a1, Ndufv3, Pink1, Coq9, Uqcr11, Ndufa10, Ndufs7, Ndufs6, Ndufa2, Ndufb5, Ndufb3, Ndufc2, Ndufb10, Cox4i1, Ndufb9, Ndufs2, Ndufs5, Cox8a, Ndufa12, Cox6c, Sdhc, Slc25a12, Cox7c, Uqcrfs1, Cox6b1, Ndufv2, Ndufa13, Ndufaf2, Sdhb, Gpd1, Ndufa8, Ndufa7, Ndufa5, Ndufv1, Ndufb4, Cox5b"
"GO_SERTOLI_CELL_DIFFERENTIATION",16,0.5625,0.125,"Down",0.001,0.0128480662983425,"ENSMUSG00000020592, ENSMUSG00000048118, ENSMUSG00000027939, ENSMUSG00000037992, ENSMUSG00000031229, ENSMUSG00000000567, ENSMUSG00000033487","Sdc1, Arid4a, Nup210l, Rara, Atrx, Sox9, Fndc3a"
"GO_REPLICATIVE_SENESCENCE",11,0.545454545454545,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000029521, ENSMUSG00000032113, ENSMUSG00000054580, ENSMUSG00000059552, ENSMUSG00000032409","Chek2, Chek1, Pla2r1, Trp53, Atr"
"GO_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT",17,0.529411764705882,0.0588235294117647,"Down",0.001,0.0128480662983425,"ENSMUSG00000040929, ENSMUSG00000040274, ENSMUSG00000037992, ENSMUSG00000001288, ENSMUSG00000021994, ENSMUSG00000001761, ENSMUSG00000024122","Rfx3, Cdk6, Rara, Rarg, Wnt5a, Smo, Pdpk1"
"GO_REGULATION_OF_CHROMATIN_SILENCING",19,0.526315789473684,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000004099, ENSMUSG00000024817, ENSMUSG00000015697, ENSMUSG00000020063, ENSMUSG00000022360, ENSMUSG00000015937, ENSMUSG00000001228, ENSMUSG00000052812, ENSMUSG00000042557","Dnmt1, Uhrf2, Setdb1, Sirt1, Atad2, H2afy, Uhrf1, Atad2b, Sin3a"
"GO_FATTY_ACYL_COA_METABOLIC_PROCESS",44,0.113636363636364,0.5,"Up",0.001,0.0128480662983425,"ENSMUSG00000006390, ENSMUSG00000074064, ENSMUSG00000021696, ENSMUSG00000003528, ENSMUSG00000028937, ENSMUSG00000030747, ENSMUSG00000025203, ENSMUSG00000020532, ENSMUSG00000018796, ENSMUSG00000027195, ENSMUSG00000031708, ENSMUSG00000006717, ENSMUSG00000028145, ENSMUSG00000033429, ENSMUSG00000020917, ENSMUSG00000043487, ENSMUSG00000025153","Elovl1, Mlycd, Elovl7, Slc25a1, Acot7, Dgat2, Scd2, Acaca, Acsl1, Hsd17b12, Tecr, Acot13, Them4, Mcee, Acly, Acot6, Fasn"
"GO_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS",16,0.0625,0.5,"Up",0.001,0.0128480662983425,"ENSMUSG00000060803, ENSMUSG00000004035, ENSMUSG00000021033, ENSMUSG00000004032, ENSMUSG00000027890, ENSMUSG00000025069","Gstp1, Gstm7, Gstz1, Gstm5, Gstm4, Gsto2"
"GO_NEGATIVE_REGULATION_OF_CELL_AGING",16,0.5,0.125,"Down",0.001,0.0128480662983425,"ENSMUSG00000013663, ENSMUSG00000022510, ENSMUSG00000001517, ENSMUSG00000020063, ENSMUSG00000022508, ENSMUSG00000040274, ENSMUSG00000031921","Pten, Trp63, Foxm1, Sirt1, Bcl6, Cdk6, Terf2"
"GO_NUCLEOPHAGY",16,0,0.5,"Up",0.001,0.0128480662983425,"ENSMUSG00000030314, ENSMUSG00000041895, ENSMUSG00000029578, ENSMUSG00000022663, ENSMUSG00000028550, ENSMUSG00000033124","Atg7, Wipi1, Wipi2, Atg3, Atg4c, Atg9a"
"GO_MAMMARY_GLAND_LOBULE_DEVELOPMENT",16,0.5,0.125,"Down",0.001,0.0128480662983425,"ENSMUSG00000020644, ENSMUSG00000070348, ENSMUSG00000042812, ENSMUSG00000021109, ENSMUSG00000040046","Id2, Ccnd1, Foxf1, Hif1a, Tph1"
"GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",14,0.5,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000048450, ENSMUSG00000054580, ENSMUSG00000024521, ENSMUSG00000045671, ENSMUSG00000032409","Msx1, Pla2r1, Pmaip1, Spred2, Atr"
"GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE",12,0.5,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000041064, ENSMUSG00000039630, ENSMUSG00000027185, ENSMUSG00000046434, ENSMUSG00000027646","Pif1, Hnrnpu, Nat10, Hnrnpa1, Src"
"GO_HETEROCHROMATIN_ORGANIZATION",10,0.5,0,"Down",0.001,0.0128480662983425,"ENSMUSG00000039741, ENSMUSG00000025001, ENSMUSG00000029009, ENSMUSG00000040007, ENSMUSG00000039477","Bahcc1, Hells, Mthfr, Bahd1, Tnrc18"
"GO_CORONARY_VASCULATURE_DEVELOPMENT",35,0.485714285714286,0.114285714285714,"Down",0.001,0.0128480662983425,"ENSMUSG00000001870, ENSMUSG00000055653, ENSMUSG00000030123, ENSMUSG00000023972, ENSMUSG00000039801, ENSMUSG00000026923, ENSMUSG00000025810, ENSMUSG00000024713, ENSMUSG00000019789, ENSMUSG00000020900, ENSMUSG00000038151, ENSMUSG00000001052, ENSMUSG00000044791, ENSMUSG00000027070","Ltbp1, Gpc3, Plxnd1, Ptk7, 2410089E03Rik, Notch1, Nrp1, Pcsk5, Hey2, Myh10, Prdm1, Sec24b, Setd2, Lrp2"
"GO_THIOESTER_METABOLIC_PROCESS",71,0.0985915492957746,0.47887323943662,"Up",0.001,0.0128480662983425,"ENSMUSG00000028011, ENSMUSG00000028937, ENSMUSG00000020532, ENSMUSG00000021696, ENSMUSG00000074064, ENSMUSG00000003528, ENSMUSG00000020917, ENSMUSG00000028145, ENSMUSG00000025153, ENSMUSG00000043487, ENSMUSG00000031708, ENSMUSG00000020456, ENSMUSG00000010914, ENSMUSG00000030747, ENSMUSG00000025203, ENSMUSG00000021748, ENSMUSG00000006390, ENSMUSG00000027605, ENSMUSG00000031767, ENSMUSG00000041939, ENSMUSG00000006517, ENSMUSG00000033429, ENSMUSG00000027195, ENSMUSG00000006717, ENSMUSG00000018796, ENSMUSG00000027952","Tdo2, Acot7, Acaca, Elovl7, Mlycd, Slc25a1, Acly, Them4, Fasn, Acot6, Tecr, Ogdh, Pdhx, Dgat2, Scd2, Pdhb, Elovl1, Acss2, Nudt7, Mvk, Mvd, Mcee, Hsd17b12, Acot13, Acsl1, Pmvk"
