"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_SEMAPHORIN_RECEPTOR_COMPLEX",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.01158
"GO_PARANODE_REGION_OF_AXON",10,0,0.8,"Up",0.001,0.01158
"GO_NUCLEAR_INCLUSION_BODY",10,0.7,0,"Down",0.001,0.01158
"GO_CCR4_NOT_COMPLEX",13,0.615384615384615,0,"Down",0.001,0.01158
"GO_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",10,0,0.6,"Up",0.001,0.01158
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",120,0.025,0.591666666666667,"Up",0.001,0.01158
"GO_ORGANELLAR_RIBOSOME",67,0.0149253731343284,0.582089552238806,"Up",0.001,0.01158
"GO_MITOCHONDRIAL_MEMBRANE_PART",147,0.0476190476190476,0.517006802721088,"Up",0.001,0.01158
"GO_ESC_E_Z_COMPLEX",16,0.5,0,"Down",0.001,0.01158
"GO_BLOC_1_COMPLEX",8,0,0.5,"Up",0.001,0.01158
"GO_EUCHROMATIN",29,0.448275862068966,0.137931034482759,"Down",0.001,0.01158
"GO_ORGANELLE_ENVELOPE_LUMEN",70,0.0714285714285714,0.428571428571429,"Up",0.001,0.01158
"GO_PRONUCLEUS",14,0.428571428571429,0,"Down",0.001,0.01158
"GO_SYNAPTONEMAL_COMPLEX",30,0.4,0.0333333333333333,"Down",0.001,0.01158
"GO_MYELIN_SHEATH",164,0.0426829268292683,0.384146341463415,"Up",0.001,0.01158
"GO_PCG_PROTEIN_COMPLEX",43,0.372093023255814,0.0930232558139535,"Down",0.001,0.01158
"GO_HETEROCHROMATIN",62,0.370967741935484,0.0806451612903226,"Down",0.001,0.01158
"GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX",68,0.352941176470588,0.132352941176471,"Down",0.001,0.01158
"GO_MICROBODY_PART",89,0.0337078651685393,0.325842696629214,"Up",0.001,0.01158
"GO_SCF_UBIQUITIN_LIGASE_COMPLEX",31,0.193548387096774,0.32258064516129,"Up",0.001,0.01158
"GO_MICROBODY_MEMBRANE",57,0.0526315789473684,0.298245614035088,"Up",0.001,0.01158
"GO_HISTONE_METHYLTRANSFERASE_COMPLEX",62,0.290322580645161,0.0645161290322581,"Down",0.001,0.01158
"GO_NUCLEAR_TRANSCRIPTIONAL_REPRESSOR_COMPLEX",21,0.285714285714286,0.0952380952380952,"Down",0.001,0.01158
"GO_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX",69,0.27536231884058,0.159420289855072,"Down",0.001,0.01158
"GO_NUCLEAR_MEMBRANE",248,0.258064516129032,0.17741935483871,"Down",0.001,0.01158
"GO_NADH_DEHYDROGENASE_COMPLEX",39,0,0.769230769230769,"Up",0.002,0.0228552631578947
"GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION",13,0.769230769230769,0,"Down",0.002,0.0228552631578947
"GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",93,0.010752688172043,0.645161290322581,"Up",0.002,0.0228552631578947
"GO_ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT",25,0.04,0.6,"Up",0.002,0.0228552631578947
"GO_NUCLEAR_HETEROCHROMATIN",31,0.419354838709677,0.0645161290322581,"Down",0.002,0.0228552631578947
"GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX",29,0.413793103448276,0.0344827586206897,"Down",0.002,0.0228552631578947
"GO_MITOCHONDRIAL_ENVELOPE",607,0.0988467874794069,0.393739703459638,"Up",0.002,0.0228552631578947
"GO_MICROBODY_LUMEN",42,0.0238095238095238,0.380952380952381,"Up",0.002,0.0228552631578947
"GO_CHROMOCENTER",13,0.307692307692308,0,"Down",0.002,0.0228552631578947
