"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_SEMAPHORIN_RECEPTOR_COMPLEX",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.01158,"ENSMUSG00000030084, ENSMUSG00000025969, ENSMUSG00000026640, ENSMUSG00000030123, ENSMUSG00000074785, ENSMUSG00000025810, ENSMUSG00000031398, ENSMUSG00000029765","Plxna1, Nrp2, Plxna2, Plxnd1, Plxnc1, Nrp1, Plxna3, Plxna4"
"GO_PARANODE_REGION_OF_AXON",10,0,0.8,"Up",0.001,0.01158,"ENSMUSG00000015149, ENSMUSG00000060012, ENSMUSG00000024044, ENSMUSG00000047976, ENSMUSG00000026830","Sirt2, Kif13b, Epb41l3, Kcna1, Ermn"
"GO_NUCLEAR_INCLUSION_BODY",10,0.7,0,"Down",0.001,0.01158,"ENSMUSG00000021374, ENSMUSG00000006005, ENSMUSG00000063550, ENSMUSG00000003226, ENSMUSG00000030254, ENSMUSG00000022194, ENSMUSG00000046876","Nup153, Tpr, Nup98, Ranbp2, Rad18, Pabpn1, Atxn1"
"GO_CCR4_NOT_COMPLEX",13,0.615384615384615,0,"Down",0.001,0.01158,"ENSMUSG00000038784, ENSMUSG00000036550, ENSMUSG00000020166, ENSMUSG00000046139, ENSMUSG00000031601, ENSMUSG00000033955, ENSMUSG00000035632, ENSMUSG00000020362, ENSMUSG00000034724","Cnot4, Cnot1, Cnot2, Patl1, Cnot7, Tnks1bp1, Cnot3, Cnot6, Cnot6l"
"GO_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",10,0,0.6,"Up",0.001,0.01158,"ENSMUSG00000033475, ENSMUSG00000005674, ENSMUSG00000022427, ENSMUSG00000078713, ENSMUSG00000028756","Tomm6, Tomm40l, Tomm22, Tomm5, Pink1"
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",120,0.025,0.591666666666667,"Up",0.001,0.01158,"ENSMUSG00000037152, ENSMUSG00000002379, ENSMUSG00000078713, ENSMUSG00000035674, ENSMUSG00000041697, ENSMUSG00000039048, ENSMUSG00000020219, ENSMUSG00000034566, ENSMUSG00000014294, ENSMUSG00000026032, ENSMUSG00000027673, ENSMUSG00000050856, ENSMUSG00000040048, ENSMUSG00000053768, ENSMUSG00000022354, ENSMUSG00000013593, ENSMUSG00000020022, ENSMUSG00000052337, ENSMUSG00000038462, ENSMUSG00000024099, ENSMUSG00000071528, ENSMUSG00000026895, ENSMUSG00000041881, ENSMUSG00000038967, ENSMUSG00000022820, ENSMUSG00000022956, ENSMUSG00000024038, ENSMUSG00000003072, ENSMUSG00000028756, ENSMUSG00000026260, ENSMUSG00000020153, ENSMUSG00000033475, ENSMUSG00000020111, ENSMUSG00000021606, ENSMUSG00000005674, ENSMUSG00000031818, ENSMUSG00000042670, ENSMUSG00000006057, ENSMUSG00000035885, ENSMUSG00000014301, ENSMUSG00000028648, ENSMUSG00000030647, ENSMUSG00000022427, ENSMUSG00000049760, ENSMUSG00000058076, ENSMUSG00000062580, ENSMUSG00000039016, ENSMUSG00000038690, ENSMUSG00000036199, ENSMUSG00000009863, ENSMUSG00000061474, ENSMUSG00000023089, ENSMUSG00000037916","Ndufc1, Ndufa11, Tomm5, Ndufa3, Cox6a1, Foxred1, Timm13, Atp5h, Ndufa2, Ndufb3, Ndufb5, Atp5k, Ndufb10, Chchd3, Ndufb9, Ndufs2, Ndufa12, Immt, Uqcrfs1, Ndufv2, Usmg5, Ndufa8, Ndufa7, Pdk2, Ndufb4, Atp5o, Ndufv3, Atp5d, Pink1, Ndufa10, Ndufs7, Tomm6, Micu1, Ndufs6, Tomm40l, Cox4i1, Immp1l, Atp5g1, Cox8a, Pam16, Ndufs5, Ndufc2, Tomm22, 2410015M20Rik, Sdhc, Timm17a, Timm8b, Atp5j2, Ndufa13, Sdhb, Mrps36, Ndufa5, Ndufv1"
"GO_ORGANELLAR_RIBOSOME",67,0.0149253731343284,0.582089552238806,"Up",0.001,0.01158,"ENSMUSG00000039018, ENSMUSG00000054312, ENSMUSG00000034880, ENSMUSG00000068921, ENSMUSG00000057388, ENSMUSG00000030706, ENSMUSG00000024181, ENSMUSG00000024414, ENSMUSG00000020477, ENSMUSG00000106918, ENSMUSG00000022889, ENSMUSG00000001445, ENSMUSG00000028861, ENSMUSG00000061474, ENSMUSG00000033845, ENSMUSG00000016833, ENSMUSG00000030335, ENSMUSG00000041881, ENSMUSG00000029066, ENSMUSG00000045948, ENSMUSG00000039680, ENSMUSG00000052962, ENSMUSG00000034211, ENSMUSG00000025208, ENSMUSG00000029918, ENSMUSG00000036860, ENSMUSG00000037740, ENSMUSG00000022706, ENSMUSG00000035559","Mtg1, Mrps21, Mrpl34, Dap3, Mrpl18, Mrpl48, Mrpl28, Mrpl27, Mrps24, Mrpl33, Mrpl39, Mrpl10, Mrps15, Mrps36, Mrpl15, Mrps18c, Mrpl51, Ndufa7, Mrpl20, Mrps12, Mrps6, Mrpl35, Mrps17, Mrpl43, Mrps33, Mrpl55, Mrps26, Mrpl40, Mpv17l2"
"GO_MITOCHONDRIAL_MEMBRANE_PART",147,0.0476190476190476,0.517006802721088,"Up",0.001,0.01158,"ENSMUSG00000028648, ENSMUSG00000035885, ENSMUSG00000014301, ENSMUSG00000042670, ENSMUSG00000006057, ENSMUSG00000022427, ENSMUSG00000030647, ENSMUSG00000058076, ENSMUSG00000049760, ENSMUSG00000062580, ENSMUSG00000038690, ENSMUSG00000036199, ENSMUSG00000009863, ENSMUSG00000023089, ENSMUSG00000037916, ENSMUSG00000015790, ENSMUSG00000003072, ENSMUSG00000022956, ENSMUSG00000024038, ENSMUSG00000026260, ENSMUSG00000028756, ENSMUSG00000019054, ENSMUSG00000020111, ENSMUSG00000020153, ENSMUSG00000033475, ENSMUSG00000021606, ENSMUSG00000005674, ENSMUSG00000031818, ENSMUSG00000013593, ENSMUSG00000020022, ENSMUSG00000078566, ENSMUSG00000052337, ENSMUSG00000031974, ENSMUSG00000038462, ENSMUSG00000024099, ENSMUSG00000071528, ENSMUSG00000041881, ENSMUSG00000022820, ENSMUSG00000026895, ENSMUSG00000037152, ENSMUSG00000002379, ENSMUSG00000078713, ENSMUSG00000035674, ENSMUSG00000041697, ENSMUSG00000039048, ENSMUSG00000051811, ENSMUSG00000034566, ENSMUSG00000032330, ENSMUSG00000014294, ENSMUSG00000027673, ENSMUSG00000026032, ENSMUSG00000022354, ENSMUSG00000050856, ENSMUSG00000040048, ENSMUSG00000053768","Ndufs5, Cox8a, Pam16, Immp1l, Atp5g1, Tomm22, Ndufc2, Sdhc, 2410015M20Rik, Timm17a, Atp5j2, Ndufa13, Sdhb, Ndufa5, Ndufv1, Surf1, Atp5d, Atp5o, Ndufv3, Ndufa10, Pink1, Fis1, Micu1, Ndufs7, Tomm6, Ndufs6, Tomm40l, Cox4i1, Ndufs2, Ndufa12, Bnip3, Immt, Abcb10, Uqcrfs1, Ndufv2, Usmg5, Ndufa7, Ndufb4, Ndufa8, Ndufc1, Ndufa11, Tomm5, Ndufa3, Cox6a1, Foxred1, Cox6b2, Atp5h, Cox7a2, Ndufa2, Ndufb5, Ndufb3, Ndufb9, Atp5k, Ndufb10, Chchd3"
"GO_ESC_E_Z_COMPLEX",16,0.5,0,"Down",0.001,0.01158,"ENSMUSG00000030232, ENSMUSG00000020063, ENSMUSG00000026873, ENSMUSG00000015937, ENSMUSG00000031353, ENSMUSG00000017548, ENSMUSG00000029267, ENSMUSG00000030619","Aebp2, Sirt1, Phf19, H2afy, Rbbp7, Suz12, Mtf2, Eed"
"GO_BLOC_1_COMPLEX",8,0,0.5,"Up",0.001,0.01158,"ENSMUSG00000057506, ENSMUSG00000001018, ENSMUSG00000057667","Bloc1s2, Snapin, Bloc1s3"
