"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_SEMAPHORIN_RECEPTOR_ACTIVITY",11,0.818181818181818,0.0909090909090909,"Down",0.001,0.00708461538461538
"GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_TRANSPOSING_C_C_BONDS",10,0,0.8,"Up",0.001,0.00708461538461538
"GO_OLIGOPEPTIDE_BINDING",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00708461538461538
"GO_GLUCOCORTICOID_RECEPTOR_BINDING",14,0.571428571428571,0,"Down",0.001,0.00708461538461538
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS",22,0,0.5,"Up",0.001,0.00708461538461538
"GO_PALMITOYL_COA_HYDROLASE_ACTIVITY",8,0,0.5,"Up",0.001,0.00708461538461538
"GO_AU_RICH_ELEMENT_BINDING",23,0.478260869565217,0.0869565217391304,"Down",0.001,0.00708461538461538
"GO_COA_HYDROLASE_ACTIVITY",17,0,0.470588235294118,"Up",0.001,0.00708461538461538
"GO_THIOLESTER_HYDROLASE_ACTIVITY",28,0,0.464285714285714,"Up",0.001,0.00708461538461538
"GO_TELOMERIC_DNA_BINDING",28,0.464285714285714,0.0714285714285714,"Down",0.001,0.00708461538461538
"GO_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE",13,0.461538461538462,0.0769230769230769,"Down",0.001,0.00708461538461538
"GO_C_ACYLTRANSFERASE_ACTIVITY",13,0,0.461538461538462,"Up",0.001,0.00708461538461538
"GO_STRUCTURAL_CONSTITUENT_OF_EYE_LENS",13,0.0769230769230769,0.461538461538462,"Up",0.001,0.00708461538461538
"GO_HISTONE_KINASE_ACTIVITY",18,0.444444444444444,0.0555555555555556,"Down",0.001,0.00708461538461538
"GO_RETINOID_X_RECEPTOR_BINDING",16,0.4375,0,"Down",0.001,0.00708461538461538
"GO_METHYLATED_HISTONE_BINDING",46,0.434782608695652,0.0652173913043478,"Down",0.001,0.00708461538461538
"GO_RETINOIC_ACID_RECEPTOR_BINDING",26,0.423076923076923,0,"Down",0.001,0.00708461538461538
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_DIRECT_LIGAND_REGULATED_SEQUENCE_SPECIFIC_DNA_BINDING",43,0.418604651162791,0.0232558139534884,"Down",0.001,0.00708461538461538
"GO_HMG_BOX_DOMAIN_BINDING",17,0.411764705882353,0.0588235294117647,"Down",0.001,0.00708461538461538
"GO_INTRAMOLECULAR_TRANSFERASE_ACTIVITY_PHOSPHOTRANSFERASES",10,0.1,0.4,"Up",0.001,0.00708461538461538
"GO_DEAMINASE_ACTIVITY",28,0.392857142857143,0.0714285714285714,"Down",0.001,0.00708461538461538
"GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDINES",26,0.384615384615385,0.0769230769230769,"Down",0.001,0.00708461538461538
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING",16,0,0.375,"Up",0.001,0.00708461538461538
"GO_RNA_POLYMERASE_II_TRANSCRIPTION_COFACTOR_ACTIVITY",81,0.37037037037037,0.111111111111111,"Down",0.001,0.00708461538461538
"GO_SH2_DOMAIN_BINDING",27,0.37037037037037,0.0740740740740741,"Down",0.001,0.00708461538461538
"GO_HELICASE_ACTIVITY",146,0.36986301369863,0.0342465753424658,"Down",0.001,0.00708461538461538
"GO_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING",74,0.364864864864865,0.0810810810810811,"Down",0.001,0.00708461538461538
"GO_LIPASE_ACTIVATOR_ACTIVITY",11,0.363636363636364,0.0909090909090909,"Down",0.001,0.00708461538461538
"GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING",119,0.336134453781513,0.092436974789916,"Down",0.001,0.00708461538461538
"GO_LIGAND_DEPENDENT_NUCLEAR_RECEPTOR_TRANSCRIPTION_COACTIVATOR_ACTIVITY",48,0.333333333333333,0.0833333333333333,"Down",0.001,0.00708461538461538
"GO_BHLH_TRANSCRIPTION_FACTOR_BINDING",24,0.333333333333333,0.0833333333333333,"Down",0.001,0.00708461538461538
"GO_NADPH_BINDING",12,0,0.333333333333333,"Up",0.001,0.00708461538461538
"GO_NUCLEOSIDE_DIPHOSPHATASE_ACTIVITY",12,0.0833333333333333,0.333333333333333,"Up",0.001,0.00708461538461538
"GO_CORE_PROMOTER_BINDING",139,0.330935251798561,0.079136690647482,"Down",0.001,0.00708461538461538
"GO_CHROMATIN_BINDING",393,0.318066157760814,0.0814249363867685,"Down",0.001,0.00708461538461538
