"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",11,0,0.818181818181818,"Up",0.001,0.00208333333333333
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",10,0.1,0.8,"Up",0.001,0.00208333333333333
"BIOCARTA_DC_PATHWAY",19,0.0526315789473684,0.789473684210526,"Up",0.001,0.00208333333333333
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",18,0.0555555555555556,0.777777777777778,"Up",0.001,0.00208333333333333
"REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA",9,0,0.777777777777778,"Up",0.001,0.00208333333333333
"KEGG_GRAFT_VERSUS_HOST_DISEASE",22,0,0.772727272727273,"Up",0.001,0.00208333333333333
"REACTOME_PD1_SIGNALING",13,0,0.769230769230769,"Up",0.001,0.00208333333333333
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",13,0,0.769230769230769,"Up",0.001,0.00208333333333333
"KEGG_ASTHMA",17,0.0588235294117647,0.764705882352941,"Up",0.001,0.00208333333333333
"KEGG_OTHER_GLYCAN_DEGRADATION",16,0,0.75,"Up",0.001,0.00208333333333333
"REACTOME_REGULATION_OF_IFNA_SIGNALING",12,0,0.75,"Up",0.001,0.00208333333333333
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",27,0.0740740740740741,0.740740740740741,"Up",0.001,0.00208333333333333
"KEGG_ALLOGRAFT_REJECTION",23,0.0434782608695652,0.739130434782609,"Up",0.001,0.00208333333333333
"BIOCARTA_TALL1_PATHWAY",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00208333333333333
"SA_MMP_CYTOKINE_CONNECTION",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00208333333333333
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00208333333333333
"BIOCARTA_IL10_PATHWAY",17,0,0.705882352941177,"Up",0.001,0.00208333333333333
"BIOCARTA_SODD_PATHWAY",10,0.1,0.7,"Up",0.001,0.00208333333333333
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR",10,0.2,0.7,"Up",0.001,0.00208333333333333
"REACTOME_REGULATION_OF_IFNG_SIGNALING",13,0,0.692307692307692,"Up",0.001,0.00208333333333333
"KEGG_LYSOSOME",115,0.0608695652173913,0.669565217391304,"Up",0.001,0.00208333333333333
"BIOCARTA_CTL_PATHWAY",12,0,0.666666666666667,"Up",0.001,0.00208333333333333
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS",9,0,0.666666666666667,"Up",0.001,0.00208333333333333
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE",9,0,0.666666666666667,"Up",0.001,0.00208333333333333
"ST_IL_13_PATHWAY",6,0,0.666666666666667,"Up",0.001,0.00208333333333333
"BIOCARTA_NTHI_PATHWAY",23,0.0869565217391304,0.652173913043478,"Up",0.001,0.00208333333333333
"KEGG_LEISHMANIA_INFECTION",63,0.0634920634920635,0.650793650793651,"Up",0.001,0.00208333333333333
"ST_B_CELL_ANTIGEN_RECEPTOR",37,0.189189189189189,0.648648648648649,"Up",0.001,0.00208333333333333
"PID_NFKAPPAB_ATYPICAL_PATHWAY",17,0.117647058823529,0.647058823529412,"Up",0.001,0.00208333333333333
"PID_IL5_PATHWAY",14,0.142857142857143,0.642857142857143,"Up",0.001,0.00208333333333333
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",39,0.0769230769230769,0.641025641025641,"Up",0.001,0.00208333333333333
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00208333333333333
"BIOCARTA_IL4_PATHWAY",11,0.272727272727273,0.636363636363636,"Up",0.001,0.00208333333333333
