"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",11,0,0.818181818181818,"Up",0.001,0.00208333333333333,"ENSMUSG00000032312, ENSMUSG00000036594, ENSMUSG00000060586, ENSMUSG00000000409, ENSMUSG00000027508, ENSMUSG00000026395, ENSMUSG00000032093, ENSMUSG00000002033, ENSMUSG00000023274","Csk, H2-Aa, H2-Eb1, Lck, Pag1, Ptprc, Cd3e, Cd3g, Cd4"
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",10,0.1,0.8,"Up",0.001,0.00208333333333333,"ENSMUSG00000074677, ENSMUSG00000059456, ENSMUSG00000022148, ENSMUSG00000059923, ENSMUSG00000004266, ENSMUSG00000030579, ENSMUSG00000059182","Sirpb1c, Ptk2b, Fyb, Grb2, Ptpn6, Tyrobp, Skap2"
"BIOCARTA_DC_PATHWAY",19,0.0526315789473684,0.789473684210526,"Up",0.001,0.00208333333333333,"ENSMUSG00000018916, ENSMUSG00000004296, ENSMUSG00000027863, ENSMUSG00000051504, ENSMUSG00000045322, ENSMUSG00000025163, ENSMUSG00000024669, ENSMUSG00000055170, ENSMUSG00000030789, ENSMUSG00000048806, ENSMUSG00000039005, ENSMUSG00000044583, ENSMUSG00000027995, ENSMUSG00000036117, ENSMUSG00000016529","Csf2, Il12b, Cd2, Siglech, Tlr9, Cd7, Cd5, Ifng, Itgax, Ifnb1, Tlr4, Tlr7, Tlr2, Il5, Il10"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",18,0.0555555555555556,0.777777777777778,"Up",0.001,0.00208333333333333,"ENSMUSG00000035273, ENSMUSG00000045594, ENSMUSG00000025534, ENSMUSG00000034707, ENSMUSG00000037260, ENSMUSG00000015027, ENSMUSG00000033540, ENSMUSG00000005043, ENSMUSG00000021665, ENSMUSG00000001751, ENSMUSG00000025232, ENSMUSG00000042082","Hpse, Glb1, Gusb, Gns, Hgsnat, Galns, Idua, Sgsh, Hexb, Naglu, Hexa, Arsb"
"REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA",9,0,0.777777777777778,"Up",0.001,0.00208333333333333,"ENSMUSG00000025408, ENSMUSG00000026663, ENSMUSG00000026864, ENSMUSG00000042406, ENSMUSG00000023994, ENSMUSG00000020484, ENSMUSG00000003814","Ddit3, Atf6, Hspa5, Atf4, Nfya, Xbp1, Calr"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",22,0,0.772727272727273,"Up",0.001,0.00208333333333333,"ENSMUSG00000060586, ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000075122, ENSMUSG00000022901, ENSMUSG00000030165, ENSMUSG00000024401, ENSMUSG00000055170, ENSMUSG00000079547, ENSMUSG00000027398, ENSMUSG00000037649, ENSMUSG00000036594, ENSMUSG00000027399, ENSMUSG00000037202, ENSMUSG00000015437","H2-Eb1, H2-Oa, H2-Ob, Cd80, Cd86, Klrd1, Tnf, Ifng, H2-DMb1, Il1b, H2-DMa, H2-Aa, Il1a, Prf1, Gzmb"
"REACTOME_PD1_SIGNALING",13,0,0.769230769230769,"Up",0.001,0.00208333333333333,"ENSMUSG00000032312, ENSMUSG00000036594, ENSMUSG00000060586, ENSMUSG00000000409, ENSMUSG00000026285, ENSMUSG00000004266, ENSMUSG00000032093, ENSMUSG00000002033, ENSMUSG00000023274","Csk, H2-Aa, H2-Eb1, Lck, Pdcd1, Ptpn6, Cd3e, Cd3g, Cd4"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",13,0,0.769230769230769,"Up",0.001,0.00208333333333333,"ENSMUSG00000047123, ENSMUSG00000025779, ENSMUSG00000056130, ENSMUSG00000003184, ENSMUSG00000039005, ENSMUSG00000051439, ENSMUSG00000042349","Ticam1, Ly96, Ticam2, Irf3, Tlr4, Cd14, Ikbke"
"KEGG_ASTHMA",17,0.0588235294117647,0.764705882352941,"Up",0.001,0.00208333333333333,"ENSMUSG00000060586, ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000024401, ENSMUSG00000052234, ENSMUSG00000058715, ENSMUSG00000079547, ENSMUSG00000037649, ENSMUSG00000036594, ENSMUSG00000027073, ENSMUSG00000036117, ENSMUSG00000016529","H2-Eb1, H2-Oa, H2-Ob, Tnf, Epx, Fcer1g, H2-DMb1, H2-DMa, H2-Aa, Prg2, Il5, Il10"
"KEGG_OTHER_GLYCAN_DEGRADATION",16,0,0.75,"Up",0.001,0.00208333333333333,"ENSMUSG00000033857, ENSMUSG00000045594, ENSMUSG00000005142, ENSMUSG00000028048, ENSMUSG00000007038, ENSMUSG00000028673, ENSMUSG00000019810, ENSMUSG00000029119, ENSMUSG00000021665, ENSMUSG00000025232","Engase, Glb1, Man2b1, Gba, Neu1, Fuca1, Fuca2, Man2b2, Hexb, Hexa"
