"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_REGULATION_OF_INTERLEUKIN_10_SECRETION",8,0,0.875,"Up",0.001,0.00238512820512821
"GO_TOLERANCE_INDUCTION",11,0.0909090909090909,0.818181818181818,"Up",0.001,0.00238512820512821
"GO_PINOCYTOSIS",10,0,0.8,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_PODOSOME_ASSEMBLY",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00238512820512821
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00238512820512821
"GO_MYELOID_DENDRITIC_CELL_ACTIVATION",23,0.0434782608695652,0.782608695652174,"Up",0.001,0.00238512820512821
"GO_MYELOID_DENDRITIC_CELL_DIFFERENTIATION",18,0.0555555555555556,0.777777777777778,"Up",0.001,0.00238512820512821
"GO_MICROTUBULE_ANCHORING",17,0.764705882352941,0.0588235294117647,"Down",0.001,0.00238512820512821
"GO_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",17,0.0588235294117647,0.764705882352941,"Up",0.001,0.00238512820512821
"GO_MATURE_B_CELL_DIFFERENTIATION",16,0,0.75,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",12,0,0.75,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS",12,0,0.75,"Up",0.001,0.00238512820512821
"GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE",12,0,0.75,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",12,0.0833333333333333,0.75,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",12,0.0833333333333333,0.75,"Up",0.001,0.00238512820512821
"GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",8,0,0.75,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION",8,0,0.75,"Up",0.001,0.00238512820512821
"GO_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",8,0.125,0.75,"Up",0.001,0.00238512820512821
"GO_KILLING_OF_CELLS_IN_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",8,0,0.75,"Up",0.001,0.00238512820512821
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",31,0.0645161290322581,0.741935483870968,"Up",0.001,0.00238512820512821
"GO_VACUOLAR_ACIDIFICATION",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00238512820512821
"GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY",11,0,0.727272727272727,"Up",0.001,0.00238512820512821
"GO_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00238512820512821
"GO_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",11,0.0909090909090909,0.727272727272727,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_INTERLEUKIN_8_BIOSYNTHETIC_PROCESS",11,0,0.727272727272727,"Up",0.001,0.00238512820512821
"GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",18,0.166666666666667,0.722222222222222,"Up",0.001,0.00238512820512821
"GO_GRANULOCYTE_ACTIVATION",18,0.0555555555555556,0.722222222222222,"Up",0.001,0.00238512820512821
"GO_LYMPHOCYTE_CHEMOTAXIS",25,0.04,0.72,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS",53,0.0754716981132075,0.716981132075472,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_INTERLEUKIN_1_SECRETION",28,0.0357142857142857,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION",21,0.0476190476190476,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_RESPONSE_TO_MURAMYL_DIPEPTIDE",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_NUCLEASE_ACTIVITY",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00238512820512821
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION",17,0,0.705882352941177,"Up",0.001,0.00238512820512821
"GO_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",30,0.0666666666666667,0.7,"Up",0.001,0.00238512820512821
"GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",30,0.0333333333333333,0.7,"Up",0.001,0.00238512820512821
"GO_GLUCURONATE_METABOLIC_PROCESS",10,0,0.7,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_VITAMIN_METABOLIC_PROCESS",10,0,0.7,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS",10,0,0.7,"Up",0.001,0.00238512820512821
"GO_URONIC_ACID_METABOLIC_PROCESS",10,0,0.7,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",16,0.1875,0.6875,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS",16,0.0625,0.6875,"Up",0.001,0.00238512820512821
"GO_RESPONSE_TO_PROTOZOAN",19,0.0526315789473684,0.684210526315789,"Up",0.001,0.00238512820512821
"GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY",36,0.0555555555555556,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_DENDRITIC_CELL_DIFFERENTIATION",30,0.0666666666666667,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION",21,0,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION",18,0,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_INTERLEUKIN_1_PRODUCTION",15,0,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS",15,0.0666666666666667,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION",15,0,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_MYOBLAST_FUSION",15,0.133333333333333,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_DETECTION_OF_OTHER_ORGANISM",12,0.0833333333333333,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_POSITIVE_REGULATION_OF_ERAD_PATHWAY",12,0.25,0.666666666666667,"Up",0.001,0.00238512820512821
"GO_REGULATION_OF_T_CELL_CHEMOTAXIS",9,0.111111111111111,0.666666666666667,"Up",0.001,0.00238512820512821
