"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_REGULATION_OF_INTERLEUKIN_10_SECRETION",8,0,0.875,"Up",0.001,0.00238512820512821,"ENSMUSG00000060586, ENSMUSG00000030793, ENSMUSG00000001123, ENSMUSG00000039942, ENSMUSG00000023915","H2-Eb1, Pycard, Lgals9, Ptger4, Tnfrsf21"
"GO_TOLERANCE_INDUCTION",11,0.0909090909090909,0.818181818181818,"Up",0.001,0.00238512820512821,"ENSMUSG00000024164, ENSMUSG00000042228, ENSMUSG00000020399, ENSMUSG00000026009, ENSMUSG00000002603, ENSMUSG00000001123, ENSMUSG00000040552, ENSMUSG00000019850","C3, Lyn, Havcr2, Icos, Tgfb1, Lgals9, C3ar1, Tnfaip3"
"GO_PINOCYTOSIS",10,0,0.8,"Up",0.001,0.00238512820512821,"ENSMUSG00000028657, ENSMUSG00000033335, ENSMUSG00000016528, ENSMUSG00000020143, ENSMUSG00000032577, ENSMUSG00000030793, ENSMUSG00000027423, ENSMUSG00000027293","Ppt1, Dnm2, Mapkapk2, Dock2, Mapkapk3, Pycard, Snx5, Ehd4"
"GO_REGULATION_OF_PODOSOME_ASSEMBLY",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00238512820512821,"ENSMUSG00000036117, ENSMUSG00000003283, ENSMUSG00000024401, ENSMUSG00000014453, ENSMUSG00000029581, ENSMUSG00000021998, ENSMUSG00000018916","Il5, Hck, Tnf, Blk, Fscn1, Lcp1, Csf2"
"GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION",14,0.0714285714285714,0.785714285714286,"Up",0.001,0.00238512820512821,"ENSMUSG00000001348, ENSMUSG00000028163, ENSMUSG00000016529, ENSMUSG00000060216, ENSMUSG00000022534, ENSMUSG00000015316, ENSMUSG00000031805, ENSMUSG00000042190, ENSMUSG00000018446","Acp5, Nfkb1, Il10, Arrb2, Mefv, Slamf1, Jak3, Cmklr1, C1qbp"
"GO_MYELOID_DENDRITIC_CELL_ACTIVATION",23,0.0434782608695652,0.782608695652174,"Up",0.001,0.00238512820512821,"ENSMUSG00000002983, ENSMUSG00000018916, ENSMUSG00000039191, ENSMUSG00000022901, ENSMUSG00000034266, ENSMUSG00000026630, ENSMUSG00000019969, ENSMUSG00000035678, ENSMUSG00000015316, ENSMUSG00000030793, ENSMUSG00000020143, ENSMUSG00000030339, ENSMUSG00000004709, ENSMUSG00000002111, ENSMUSG00000021356, ENSMUSG00000002603","Relb, Csf2, Rbpj, Cd86, Batf, Batf3, Psen1, Tnfsf9, Slamf1, Pycard, Dock2, Ltbr, Cd244, Spi1, Irf4, Tgfb1"
"GO_MYELOID_DENDRITIC_CELL_DIFFERENTIATION",18,0.0555555555555556,0.777777777777778,"Up",0.001,0.00238512820512821,"ENSMUSG00000021356, ENSMUSG00000002111, ENSMUSG00000002603, ENSMUSG00000035678, ENSMUSG00000019969, ENSMUSG00000030339, ENSMUSG00000026630, ENSMUSG00000039191, ENSMUSG00000018916, ENSMUSG00000002983, ENSMUSG00000034266, ENSMUSG00000022901","Irf4, Spi1, Tgfb1, Tnfsf9, Psen1, Ltbr, Batf3, Rbpj, Csf2, Relb, Batf, Cd86"
"GO_MICROTUBULE_ANCHORING",17,0.764705882352941,0.0588235294117647,"Down",0.001,0.00238512820512821,"ENSMUSG00000021068, ENSMUSG00000044433, ENSMUSG00000033671, ENSMUSG00000038039, ENSMUSG00000019813, ENSMUSG00000031922, ENSMUSG00000003452, ENSMUSG00000064302, ENSMUSG00000039952, ENSMUSG00000025235, ENSMUSG00000037234, ENSMUSG00000031592, ENSMUSG00000033392","Nin, Camsap3, Cep350, Gcc2, Cep57l1, Cep57, Bicd1, Clasp1, Dag1, Bbs4, Hook3, Pcm1, Clasp2"
"GO_REGULATION_OF_INTERLEUKIN_2_BIOSYNTHETIC_PROCESS",17,0.0588235294117647,0.764705882352941,"Up",0.001,0.00238512820512821,"ENSMUSG00000035914, ENSMUSG00000027398, ENSMUSG00000032093, ENSMUSG00000026928, ENSMUSG00000023274, ENSMUSG00000021356, ENSMUSG00000022901, ENSMUSG00000020919, ENSMUSG00000036526, ENSMUSG00000027399, ENSMUSG00000075122, ENSMUSG00000030124","Cd276, Il1b, Cd3e, Card9, Cd4, Irf4, Cd86, Stat5b, Card11, Il1a, Cd80, Lag3"
"GO_MATURE_B_CELL_DIFFERENTIATION",16,0,0.75,"Up",0.001,0.00238512820512821,"ENSMUSG00000038910, ENSMUSG00000018169, ENSMUSG00000034330, ENSMUSG00000059456, ENSMUSG00000032436, ENSMUSG00000029570, ENSMUSG00000068220, ENSMUSG00000053175, ENSMUSG00000017697, ENSMUSG00000051212, ENSMUSG00000008496","Plcl2, Mfng, Plcg2, Ptk2b, Cmtm7, Lfng, Lgals1, Bcl3, Ada, Gpr183, Pou2f2"
