"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MHC_CLASS_II_PROTEIN_COMPLEX",8,0,1,"Up",0.001,0.00357407407407407
"GO_IMMUNOGLOBULIN_COMPLEX",7,0,1,"Up",0.001,0.00357407407407407
"GO_MHC_PROTEIN_COMPLEX",12,0,0.833333333333333,"Up",0.001,0.00357407407407407
"GO_INFLAMMASOME_COMPLEX",10,0,0.8,"Up",0.001,0.00357407407407407
"GO_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR",19,0.0526315789473684,0.736842105263158,"Up",0.001,0.00357407407407407
"GO_LUMENAL_SIDE_OF_MEMBRANE",17,0.117647058823529,0.705882352941177,"Up",0.001,0.00357407407407407
"GO_IMMUNOLOGICAL_SYNAPSE",31,0.0967741935483871,0.67741935483871,"Up",0.001,0.00357407407407407
"GO_EXTERNAL_ENCAPSULATING_STRUCTURE",6,0.166666666666667,0.666666666666667,"Up",0.001,0.00357407407407407
"GO_PHAGOCYTIC_CUP",17,0.0588235294117647,0.647058823529412,"Up",0.001,0.00357407407407407
"GO_T_CELL_RECEPTOR_COMPLEX",19,0.0526315789473684,0.631578947368421,"Up",0.001,0.00357407407407407
"GO_SPECIFIC_GRANULE",13,0.0769230769230769,0.615384615384615,"Up",0.001,0.00357407407407407
"GO_PRIMARY_LYSOSOME",13,0.0769230769230769,0.615384615384615,"Up",0.001,0.00357407407407407
"GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",23,0.0434782608695652,0.608695652173913,"Up",0.001,0.00357407407407407
"GO_PHAGOCYTIC_VESICLE_MEMBRANE",50,0.16,0.58,"Up",0.001,0.00357407407407407
"GO_PHAGOCYTIC_VESICLE",77,0.142857142857143,0.571428571428571,"Up",0.001,0.00357407407407407
"GO_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX",14,0,0.571428571428571,"Up",0.001,0.00357407407407407
"GO_LYSOSOMAL_LUMEN",80,0.25,0.5625,"Up",0.001,0.00357407407407407
"GO_CELL_TRAILING_EDGE",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00357407407407407
"GO_BETA_CATENIN_DESTRUCTION_COMPLEX",13,0.538461538461538,0.153846153846154,"Down",0.001,0.00357407407407407
"GO_INTRACILIARY_TRANSPORT_PARTICLE",28,0.535714285714286,0.0357142857142857,"Down",0.001,0.00357407407407407
"GO_CILIARY_TRANSITION_ZONE",23,0.521739130434783,0.0869565217391304,"Down",0.001,0.00357407407407407
"GO_VACUOLAR_LUMEN",100,0.23,0.52,"Up",0.001,0.00357407407407407
"GO_PRERIBOSOME",56,0.0357142857142857,0.5,"Up",0.001,0.00357407407407407
"GO_CILIARY_TIP",42,0.5,0.0476190476190476,"Down",0.001,0.00357407407407407
"GO_RETROMER_COMPLEX",20,0.05,0.5,"Up",0.001,0.00357407407407407
