"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_IGG_BINDING",5,0,1,"Up",0.001,0.00348863636363636
"GO_IMMUNOGLOBULIN_RECEPTOR_BINDING",8,0,0.875,"Up",0.001,0.00348863636363636
"GO_MHC_CLASS_II_RECEPTOR_ACTIVITY",6,0,0.833333333333333,"Up",0.001,0.00348863636363636
"GO_PEPTIDOGLYCAN_BINDING",8,0,0.75,"Up",0.001,0.00348863636363636
"GO_MHC_PROTEIN_COMPLEX_BINDING",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00348863636363636
"GO_G_PROTEIN_COUPLED_NUCLEOTIDE_RECEPTOR_ACTIVITY",11,0,0.727272727272727,"Up",0.001,0.00348863636363636
"GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00348863636363636
"GO_PEPTIDE_ANTIGEN_BINDING",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00348863636363636
"GO_SIGNALING_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY",14,0,0.714285714285714,"Up",0.001,0.00348863636363636
"GO_CCR_CHEMOKINE_RECEPTOR_BINDING",22,0.0454545454545455,0.681818181818182,"Up",0.001,0.00348863636363636
"GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY",18,0.0555555555555556,0.666666666666667,"Up",0.001,0.00348863636363636
"GO_HEXOSAMINIDASE_ACTIVITY",12,0.166666666666667,0.666666666666667,"Up",0.001,0.00348863636363636
"GO_NEUREXIN_FAMILY_PROTEIN_BINDING",12,0.666666666666667,0.0833333333333333,"Down",0.001,0.00348863636363636
"GO_SUPEROXIDE_GENERATING_NADPH_OXIDASE_ACTIVITY",6,0.166666666666667,0.666666666666667,"Up",0.001,0.00348863636363636
"GO_MHC_PROTEIN_BINDING",23,0.0434782608695652,0.652173913043478,"Up",0.001,0.00348863636363636
"GO_MANNOSIDASE_ACTIVITY",14,0.142857142857143,0.642857142857143,"Up",0.001,0.00348863636363636
"GO_IMMUNOGLOBULIN_BINDING",11,0,0.636363636363636,"Up",0.001,0.00348863636363636
"GO_INTERLEUKIN_1_RECEPTOR_BINDING",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.00348863636363636
"GO_CAMP_BINDING",21,0.619047619047619,0.0476190476190476,"Down",0.001,0.00348863636363636
"GO_MAP_KINASE_PHOSPHATASE_ACTIVITY",13,0.0769230769230769,0.615384615384615,"Up",0.001,0.00348863636363636
"GO_NUCLEOTIDE_RECEPTOR_ACTIVITY",18,0.0555555555555556,0.611111111111111,"Up",0.001,0.00348863636363636
"GO_ANTIGEN_BINDING",50,0.06,0.6,"Up",0.001,0.00348863636363636
"GO_GLUCOSE_BINDING",12,0.0833333333333333,0.583333333333333,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_BINDING",19,0.578947368421053,0.0526315789473684,"Down",0.001,0.00348863636363636
"GO_MHC_CLASS_I_PROTEIN_BINDING",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.00348863636363636
"GO_CHEMOKINE_BINDING",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.00348863636363636
"GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY",16,0.125,0.5625,"Up",0.001,0.00348863636363636
"GO_C_C_CHEMOKINE_RECEPTOR_ACTIVITY",9,0.111111111111111,0.555555555555556,"Up",0.001,0.00348863636363636
"GO_PURINERGIC_RECEPTOR_ACTIVITY",22,0.0454545454545455,0.545454545454545,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING",11,0.545454545454545,0.0909090909090909,"Down",0.001,0.00348863636363636
"GO_MICROTUBULE_SEVERING_ATPASE_ACTIVITY",11,0.545454545454545,0.0909090909090909,"Down",0.001,0.00348863636363636
"GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_INTERCONVERTING_ALDOSES_AND_KETOSES",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.00348863636363636
"GO_CHEMOKINE_RECEPTOR_BINDING",39,0.128205128205128,0.538461538461538,"Up",0.001,0.00348863636363636
"GO_CHEMOKINE_ACTIVITY",30,0.133333333333333,0.533333333333333,"Up",0.001,0.00348863636363636
"GO_K63_LINKED_POLYUBIQUITIN_BINDING",17,0.117647058823529,0.529411764705882,"Up",0.001,0.00348863636363636
"GO_CARBOHYDRATE_KINASE_ACTIVITY",19,0.157894736842105,0.526315789473684,"Up",0.001,0.00348863636363636
"GO_NF_KAPPAB_BINDING",28,0.0714285714285714,0.5,"Up",0.001,0.00348863636363636
"GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BINDING",14,0.0714285714285714,0.5,"Up",0.001,0.00348863636363636
"GO_THIOESTERASE_BINDING",12,0.0833333333333333,0.5,"Up",0.001,0.00348863636363636
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",12,0.0833333333333333,0.5,"Up",0.001,0.00348863636363636
"GO_FOLIC_ACID_BINDING",10,0.1,0.5,"Up",0.001,0.00348863636363636
"GO_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY",45,0.177777777777778,0.488888888888889,"Up",0.001,0.00348863636363636
"GO_CYTOKINE_RECEPTOR_ACTIVITY",80,0.125,0.4875,"Up",0.001,0.00348863636363636
"GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING",27,0.111111111111111,0.481481481481481,"Up",0.001,0.00348863636363636
"GO_MITOGEN_ACTIVATED_PROTEIN_KINASE_BINDING",23,0.130434782608696,0.478260869565217,"Up",0.001,0.00348863636363636
"GO_ALPHA_ACTININ_BINDING",19,0.473684210526316,0.105263157894737,"Down",0.001,0.00348863636363636
"GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY",17,0.0588235294117647,0.470588235294118,"Up",0.001,0.00348863636363636
"GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY",17,0.470588235294118,0,"Down",0.001,0.00348863636363636
"GO_PHOSPHOTYROSINE_BINDING",15,0,0.466666666666667,"Up",0.001,0.00348863636363636
"GO_CYTOKINE_BINDING",82,0.158536585365854,0.463414634146341,"Up",0.001,0.00348863636363636
"GO_ICOSANOID_RECEPTOR_ACTIVITY",13,0.153846153846154,0.461538461538462,"Up",0.001,0.00348863636363636
"GO_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY",13,0.461538461538462,0.153846153846154,"Down",0.001,0.00348863636363636
"GO_LIPASE_ACTIVATOR_ACTIVITY",11,0.0909090909090909,0.454545454545455,"Up",0.001,0.00348863636363636
"GO_HYDROLASE_ACTIVITY_HYDROLYZING_O_GLYCOSYL_COMPOUNDS",78,0.141025641025641,0.448717948717949,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_3_PHOSPHATE_BINDING",29,0.448275862068966,0.206896551724138,"Down",0.001,0.00348863636363636
"GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY",18,0.111111111111111,0.444444444444444,"Up",0.001,0.00348863636363636
"GO_INOSITOL_TRISPHOSPHATE_KINASE_ACTIVITY",9,0.111111111111111,0.444444444444444,"Up",0.001,0.00348863636363636
"GO_CARBON_SULFUR_LYASE_ACTIVITY",9,0,0.444444444444444,"Up",0.001,0.00348863636363636
"GO_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY",16,0.125,0.4375,"Up",0.001,0.00348863636363636
"GO_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY",23,0.434782608695652,0.0434782608695652,"Down",0.001,0.00348863636363636
"GO_DNA_APURINIC_OR_APYRIMIDINIC_SITE_LYASE_ACTIVITY",14,0.0714285714285714,0.428571428571429,"Up",0.001,0.00348863636363636
"GO_EXODEOXYRIBONUCLEASE_ACTIVITY",14,0.142857142857143,0.428571428571429,"Up",0.001,0.00348863636363636
"GO_MONOSACCHARIDE_BINDING",61,0.180327868852459,0.426229508196721,"Up",0.001,0.00348863636363636
"GO_RAB_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",26,0.115384615384615,0.423076923076923,"Up",0.001,0.00348863636363636
"GO_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS",102,0.156862745098039,0.42156862745098,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_BINDING",19,0.263157894736842,0.421052631578947,"Up",0.001,0.00348863636363636
"GO_CYTOKINE_RECEPTOR_BINDING",210,0.176190476190476,0.419047619047619,"Up",0.001,0.00348863636363636
"GO_MYOSIN_HEAVY_CHAIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00348863636363636
"GO_CALCIUM_DEPENDENT_PROTEIN_KINASE_ACTIVITY",12,0.166666666666667,0.416666666666667,"Up",0.001,0.00348863636363636
"GO_MAP_KINASE_KINASE_ACTIVITY",12,0.333333333333333,0.416666666666667,"Up",0.001,0.00348863636363636
"GO_ANGIOTENSIN_RECEPTOR_BINDING",12,0,0.416666666666667,"Up",0.001,0.00348863636363636
"GO_MISFOLDED_PROTEIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00348863636363636
"GO_LIPOPOLYSACCHARIDE_BINDING",17,0.235294117647059,0.411764705882353,"Up",0.001,0.00348863636363636
"GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_DISTAL_ENHANCER_SEQUENCE_SPECIFIC_BINDING",22,0.181818181818182,0.409090909090909,"Up",0.001,0.00348863636363636
"GO_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING",42,0.142857142857143,0.404761904761905,"Up",0.001,0.00348863636363636
"GO_CYTOKINE_ACTIVITY",153,0.196078431372549,0.392156862745098,"Up",0.001,0.00348863636363636
"GO_CARBON_CARBON_LYASE_ACTIVITY",46,0.217391304347826,0.391304347826087,"Up",0.001,0.00348863636363636
"GO_RAC_GTPASE_BINDING",36,0.277777777777778,0.388888888888889,"Up",0.001,0.00348863636363636
"GO_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_ACTIVITY",13,0.153846153846154,0.384615384615385,"Up",0.001,0.00348863636363636
"GO_PYRIDOXAL_PHOSPHATE_BINDING",42,0.214285714285714,0.380952380952381,"Up",0.001,0.00348863636363636
"GO_FATTY_ACID_BINDING",24,0.166666666666667,0.375,"Up",0.001,0.00348863636363636
"GO_SERINE_TYPE_EXOPEPTIDASE_ACTIVITY",16,0.25,0.375,"Up",0.001,0.00348863636363636
"GO_SH3_SH2_ADAPTOR_ACTIVITY",51,0.156862745098039,0.372549019607843,"Up",0.001,0.00348863636363636
"GO_POLYUBIQUITIN_BINDING",38,0.157894736842105,0.368421052631579,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING",19,0.368421052631579,0.0526315789473684,"Down",0.001,0.00348863636363636
"GO_PHOSPHATE_ION_BINDING",11,0.0909090909090909,0.363636363636364,"Up",0.001,0.00348863636363636
"GO_SNORNA_BINDING",25,0.04,0.36,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING",28,0.285714285714286,0.357142857142857,"Up",0.001,0.00348863636363636
"GO_ENDONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_3_PHOSPHOMONOESTERS",14,0.214285714285714,0.357142857142857,"Up",0.001,0.00348863636363636
"GO_CARBOHYDRATE_BINDING",202,0.178217821782178,0.356435643564356,"Up",0.001,0.00348863636363636
"GO_PROTEASE_BINDING",90,0.133333333333333,0.355555555555556,"Up",0.001,0.00348863636363636
"GO_CARBOXY_LYASE_ACTIVITY",31,0.258064516129032,0.354838709677419,"Up",0.001,0.00348863636363636
"GO_SH3_DOMAIN_BINDING",110,0.254545454545455,0.354545454545455,"Up",0.001,0.00348863636363636
"GO_SIGNALING_ADAPTOR_ACTIVITY",72,0.222222222222222,0.347222222222222,"Up",0.001,0.00348863636363636
"GO_ANTIOXIDANT_ACTIVITY",58,0.172413793103448,0.344827586206897,"Up",0.001,0.00348863636363636
"GO_CATION_TRANSPORTING_ATPASE_ACTIVITY",57,0.140350877192982,0.333333333333333,"Up",0.001,0.00348863636363636
"GO_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",39,0.128205128205128,0.333333333333333,"Up",0.001,0.00348863636363636
"GO_ACID_PHOSPHATASE_ACTIVITY",9,0.222222222222222,0.333333333333333,"Up",0.001,0.00348863636363636
"GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",67,0.134328358208955,0.328358208955224,"Up",0.001,0.00348863636363636
"GO_PROTEIN_TYROSINE_KINASE_BINDING",52,0.230769230769231,0.326923076923077,"Up",0.001,0.00348863636363636
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",74,0.22972972972973,0.324324324324324,"Up",0.001,0.00348863636363636
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES",115,0.173913043478261,0.321739130434783,"Up",0.001,0.00348863636363636
"GO_BINDING_BRIDGING",165,0.224242424242424,0.321212121212121,"Up",0.001,0.00348863636363636
"GO_STEROID_BINDING",75,0.16,0.32,"Up",0.001,0.00348863636363636
"GO_SOLUTE_PROTON_SYMPORTER_ACTIVITY",25,0.12,0.32,"Up",0.001,0.00348863636363636
"GO_O_ACYLTRANSFERASE_ACTIVITY",44,0.204545454545455,0.318181818181818,"Up",0.001,0.00348863636363636
"GO_STEROL_BINDING",38,0.184210526315789,0.315789473684211,"Up",0.001,0.00348863636363636
"GO_R_SMAD_BINDING",19,0.0526315789473684,0.315789473684211,"Up",0.001,0.00348863636363636
"GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY",42,0.19047619047619,0.30952380952381,"Up",0.001,0.00348863636363636
"GO_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY",39,0.256410256410256,0.307692307692308,"Up",0.001,0.00348863636363636
"GO_O_METHYLTRANSFERASE_ACTIVITY",13,0.230769230769231,0.307692307692308,"Up",0.001,0.00348863636363636
"GO_ENZYME_ACTIVATOR_ACTIVITY",421,0.244655581947743,0.306413301662708,"Up",0.001,0.00348863636363636
"GO_ENDONUCLEASE_ACTIVITY",108,0.175925925925926,0.305555555555556,"Up",0.001,0.00348863636363636
"GO_ZINC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",23,0.130434782608696,0.304347826086957,"Up",0.001,0.00348863636363636
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS",226,0.216814159292035,0.292035398230089,"Up",0.001,0.00348863636363636
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS",158,0.221518987341772,0.291139240506329,"Up",0.001,0.00348863636363636
"GO_PHOSPHATIDYLCHOLINE_BINDING",14,0.214285714285714,0.285714285714286,"Up",0.001,0.00348863636363636
"GO_STEROL_TRANSPORTER_ACTIVITY",14,0.142857142857143,0.285714285714286,"Up",0.001,0.00348863636363636
"GO_SERINE_HYDROLASE_ACTIVITY",167,0.179640718562874,0.281437125748503,"Up",0.001,0.00348863636363636
"GO_ENZYME_BINDING",1591,0.222501571338781,0.277812696417348,"Up",0.001,0.00348863636363636
"GO_LYSOPHOSPHOLIPASE_ACTIVITY",18,0.277777777777778,0.222222222222222,"Up",0.001,0.00348863636363636
"GO_14_3_3_PROTEIN_BINDING",18,0.277777777777778,0.222222222222222,"Up",0.001,0.00348863636363636
"GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY",145,0.262068965517241,0.275862068965517,"Up",0.001,0.00348863636363636
"GO_LIPASE_ACTIVITY",97,0.195876288659794,0.268041237113402,"Up",0.001,0.00348863636363636
"GO_PROTEIN_HOMODIMERIZATION_ACTIVITY",629,0.232114467408585,0.267090620031797,"Up",0.001,0.00348863636363636
"GO_LIPID_TRANSPORTER_ACTIVITY",90,0.2,0.266666666666667,"Up",0.001,0.00348863636363636
"GO_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",27,0.111111111111111,0.259259259259259,"Up",0.001,0.00348863636363636
"GO_IRON_ION_BINDING",110,0.2,0.254545454545455,"Up",0.001,0.00348863636363636
"GO_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS",623,0.231139646869984,0.252006420545746,"Up",0.001,0.00348863636363636
"GO_VITAMIN_D_RECEPTOR_BINDING",16,0.0625,0.25,"Up",0.001,0.00348863636363636
"GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS",37,0.243243243243243,0.108108108108108,"Down",0.001,0.00348863636363636
"GO_RETINAL_BINDING",13,0.230769230769231,0,"Down",0.001,0.00348863636363636
"GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY",16,0.125,0.5625,"Up",0.002,0.00858074534161491
"GO_LIGAND_DEPENDENT_NUCLEAR_RECEPTOR_BINDING",22,0.545454545454545,0.136363636363636,"Down",0.002,0.00858074534161491
"GO_HYDROGEN_EXPORTING_ATPASE_ACTIVITY",26,0.0384615384615385,0.5,"Up",0.002,0.00858074534161491
"GO_MICROTUBULE_MOTOR_ACTIVITY",69,0.463768115942029,0.0869565217391304,"Down",0.002,0.00858074534161491
"GO_LIGASE_REGULATOR_ACTIVITY",12,0.25,0.416666666666667,"Up",0.002,0.00858074534161491
"GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",17,0.117647058823529,0.411764705882353,"Up",0.002,0.00858074534161491
"GO_FMN_BINDING",13,0.153846153846154,0.384615384615385,"Up",0.002,0.00858074534161491
"GO_SERINE_TYPE_CARBOXYPEPTIDASE_ACTIVITY",13,0.230769230769231,0.384615384615385,"Up",0.002,0.00858074534161491
"GO_VIRUS_RECEPTOR_ACTIVITY",58,0.224137931034483,0.379310344827586,"Up",0.002,0.00858074534161491
"GO_FERROUS_IRON_BINDING",22,0.136363636363636,0.363636363636364,"Up",0.002,0.00858074534161491
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_OXYGEN_AS_ACCEPTOR",11,0.181818181818182,0.363636363636364,"Up",0.002,0.00858074534161491
"GO_GTPASE_ACTIVATING_PROTEIN_BINDING",14,0.214285714285714,0.357142857142857,"Up",0.002,0.00858074534161491
"GO_CARGO_RECEPTOR_ACTIVITY",57,0.175438596491228,0.350877192982456,"Up",0.002,0.00858074534161491
"GO_ENDORIBONUCLEASE_ACTIVITY",44,0.181818181818182,0.340909090909091,"Up",0.002,0.00858074534161491
"GO_SH2_DOMAIN_BINDING",27,0.222222222222222,0.333333333333333,"Up",0.002,0.00858074534161491
"GO_PROTEIN_PHOSPHORYLATED_AMINO_ACID_BINDING",24,0.0416666666666667,0.333333333333333,"Up",0.002,0.00858074534161491
"GO_PEPTIDASE_ACTIVATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",18,0.222222222222222,0.333333333333333,"Up",0.002,0.00858074534161491
"GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING",242,0.206611570247934,0.330578512396694,"Up",0.002,0.00858074534161491
"GO_PHOSPHATASE_BINDING",155,0.219354838709677,0.303225806451613,"Up",0.002,0.00858074534161491
"GO_ACTIN_FILAMENT_BINDING",114,0.201754385964912,0.298245614035088,"Up",0.002,0.00858074534161491
"GO_HEAT_SHOCK_PROTEIN_BINDING",82,0.170731707317073,0.292682926829268,"Up",0.002,0.00858074534161491
"GO_KINASE_BINDING",564,0.216312056737589,0.283687943262411,"Up",0.002,0.00858074534161491
"GO_PHOSPHATASE_ACTIVITY",239,0.242677824267782,0.280334728033473,"Up",0.002,0.00858074534161491
"GO_DNA_SECONDARY_STRUCTURE_BINDING",22,0.272727272727273,0,"Down",0.002,0.00858074534161491
"GO_DIPEPTIDASE_ACTIVITY",11,0.181818181818182,0.272727272727273,"Up",0.002,0.00858074534161491
"GO_PROTEIN_KINASE_C_BINDING",46,0.260869565217391,0.260869565217391,"Up",0.002,0.00858074534161491
"GO_ENDOPEPTIDASE_ACTIVITY",333,0.213213213213213,0.258258258258258,"Up",0.002,0.00858074534161491
"GO_PEPTIDASE_ACTIVITY",503,0.238568588469185,0.246520874751491,"Up",0.002,0.00858074534161491
"GO_PHOSPHOLIPASE_ACTIVITY",83,0.216867469879518,0.228915662650602,"Up",0.002,0.00858074534161491
"GO_GTP_DEPENDENT_PROTEIN_BINDING",17,0.117647058823529,0.529411764705882,"Up",0.003,0.0136242603550296
"GO_MANNOSE_BINDING",14,0.142857142857143,0.5,"Up",0.003,0.0136242603550296
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY",14,0.428571428571429,0.0714285714285714,"Down",0.003,0.0136242603550296
"GO_LONG_CHAIN_FATTY_ACID_BINDING",12,0.0833333333333333,0.416666666666667,"Up",0.003,0.0136242603550296
"GO_SULFURIC_ESTER_HYDROLASE_ACTIVITY",12,0.25,0.416666666666667,"Up",0.003,0.0136242603550296
"GO_G_PROTEIN_ALPHA_SUBUNIT_BINDING",21,0.238095238095238,0.380952380952381,"Up",0.003,0.0136242603550296
"GO_KINASE_ACTIVATOR_ACTIVITY",57,0.175438596491228,0.315789473684211,"Up",0.003,0.0136242603550296
"GO_DEOXYRIBONUCLEASE_ACTIVITY",61,0.180327868852459,0.262295081967213,"Up",0.003,0.0136242603550296
"GO_PROTEIN_BINDING_INVOLVED_IN_CELL_ADHESION",17,0.470588235294118,0.0588235294117647,"Down",0.004,0.0177115384615385
"GO_CYCLIC_NUCLEOTIDE_BINDING",32,0.46875,0.09375,"Down",0.004,0.0177115384615385
