"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_IGG_BINDING",5,0,1,"Up",0.001,0.00348863636363636,"ENSMUSG00000026656, ENSMUSG00000015947, ENSMUSG00000058715, ENSMUSG00000059089","Fcgr2b, Fcgr1, Fcer1g, Fcgr4"
"GO_IMMUNOGLOBULIN_RECEPTOR_BINDING",8,0,0.875,"Up",0.001,0.00348863636363636,"ENSMUSG00000053158, ENSMUSG00000104876, ENSMUSG00000076617, ENSMUSG00000028874, ENSMUSG00000030144, ENSMUSG00000104213, ENSMUSG00000076609","Fes, Trdc, Ighm, Fgr, Clec4d, Ighd, Igkc"
"GO_MHC_CLASS_II_RECEPTOR_ACTIVITY",6,0,0.833333333333333,"Up",0.001,0.00348863636363636,"ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000036594, ENSMUSG00000060586","H2-Oa, H2-Ob, H2-Aa, H2-Eb1"
"GO_PEPTIDOGLYCAN_BINDING",8,0,0.75,"Up",0.001,0.00348863636363636,"ENSMUSG00000076617, ENSMUSG00000032691, ENSMUSG00000027995, ENSMUSG00000055994, ENSMUSG00000023992","Ighm, Nlrp3, Tlr2, Nod2, Trem2"
"GO_MHC_PROTEIN_COMPLEX_BINDING",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00348863636363636,"ENSMUSG00000024334, ENSMUSG00000024673, ENSMUSG00000041538, ENSMUSG00000037649, ENSMUSG00000079547, ENSMUSG00000024610, ENSMUSG00000060586, ENSMUSG00000030165","H2-Oa, Ms4a1, H2-Ob, H2-DMa, H2-DMb1, Cd74, H2-Eb1, Klrd1"
"GO_G_PROTEIN_COUPLED_NUCLEOTIDE_RECEPTOR_ACTIVITY",11,0,0.727272727272727,"Up",0.001,0.00348863636363636,"ENSMUSG00000032860, ENSMUSG00000056529, ENSMUSG00000040229, ENSMUSG00000036353, ENSMUSG00000048779, ENSMUSG00000050075, ENSMUSG00000050921, ENSMUSG00000036362","P2ry2, Ptafr, Gpr34, P2ry12, P2ry6, Gpr171, P2ry10, P2ry13"
"GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00348863636363636,"ENSMUSG00000024673, ENSMUSG00000024334, ENSMUSG00000041538, ENSMUSG00000037649, ENSMUSG00000079547, ENSMUSG00000024610, ENSMUSG00000060586","Ms4a1, H2-Oa, H2-Ob, H2-DMa, H2-DMb1, Cd74, H2-Eb1"
"GO_PEPTIDE_ANTIGEN_BINDING",14,0.0714285714285714,0.714285714285714,"Up",0.001,0.00348863636363636,"ENSMUSG00000037321, ENSMUSG00000022180, ENSMUSG00000024308, ENSMUSG00000060586, ENSMUSG00000031495, ENSMUSG00000006611, ENSMUSG00000036594, ENSMUSG00000050567","Tap1, Slc7a8, Tapbp, H2-Eb1, Cd209d, Hfe, H2-Aa, Maml1"
"GO_SIGNALING_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY",14,0,0.714285714285714,"Up",0.001,0.00348863636363636,"ENSMUSG00000025779, ENSMUSG00000079293, ENSMUSG00000027995, ENSMUSG00000002944, ENSMUSG00000039005, ENSMUSG00000057596, ENSMUSG00000056529, ENSMUSG00000051439","Ly96, Clec7a, Tlr2, Cd36, Tlr4, Trim30d, Ptafr, Cd14"
"GO_CCR_CHEMOKINE_RECEPTOR_BINDING",22,0.0454545454545455,0.681818181818182,"Up",0.001,0.00348863636363636,"ENSMUSG00000018930, ENSMUSG00000000982, ENSMUSG00000004814, ENSMUSG00000035352, ENSMUSG00000043953, ENSMUSG00000035042, ENSMUSG00000028530, ENSMUSG00000079227, ENSMUSG00000035385, ENSMUSG00000031779, ENSMUSG00000019122, ENSMUSG00000023078","Ccl4, Ccl3, Ccl24, Ccl12, Ccrl2, Ccl5, Jak1, Ccr5, Ccl2, Ccl22, Ccl9, Cxcl13"
