"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"PID_BETA_CATENIN_DEG_PATHWAY",17,0,0.117647058823529,"Up",0.003,0.907447318007663
"PID_NETRIN_PATHWAY",32,0.0625,0.15625,"Up",0.007,0.907447318007663
"REACTOME_REGULATORY_RNA_PATHWAYS",20,0,0.2,"Up",0.009,0.907447318007663
"PID_INTEGRIN3_PATHWAY",42,0.380952380952381,0,"Down",0.01,0.907447318007663
"KEGG_ETHER_LIPID_METABOLISM",25,0.08,0.24,"Up",0.01,0.907447318007663
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",17,0.235294117647059,0.0588235294117647,"Down",0.016,0.907447318007663
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",14,0.142857142857143,0,"Down",0.019,0.907447318007663
"REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION",23,0,0.0869565217391304,"Up",0.019,0.907447318007663
"REACTOME_HDL_MEDIATED_LIPID_TRANSPORT",13,0.153846153846154,0.0769230769230769,"Down",0.02,0.907447318007663
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",41,0.024390243902439,0.0731707317073171,"Up",0.02,0.907447318007663
"REACTOME_STRIATED_MUSCLE_CONTRACTION",26,0.307692307692308,0.0384615384615385,"Down",0.022,0.907447318007663
"KEGG_RETINOL_METABOLISM",27,0.148148148148148,0.0740740740740741,"Down",0.022,0.907447318007663
"REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS",10,0.2,0,"Down",0.023,0.907447318007663
"BIOCARTA_ERYTH_PATHWAY",12,0.25,0,"Down",0.027,0.907447318007663
"REACTOME_TRANSPORT_OF_ORGANIC_ANIONS",10,0.3,0,"Down",0.029,0.907447318007663
"BIOCARTA_PGC1A_PATHWAY",19,0.210526315789474,0,"Down",0.029,0.907447318007663
"PID_SYNDECAN_3_PATHWAY",16,0.0625,0.125,"Up",0.03,0.907447318007663
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",23,0,0.0869565217391304,"Up",0.03,0.907447318007663
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING",13,0.0769230769230769,0.230769230769231,"Up",0.031,0.907447318007663
"PID_ANTHRAX_PATHWAY",17,0.176470588235294,0,"Down",0.034,0.907447318007663
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",10,0,0.1,"Up",0.034,0.907447318007663
