"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",13,0.307692307692308,0,"Down",0.001,0.581375
"GO_RETINOL_METABOLIC_PROCESS",24,0.208333333333333,0.0833333333333333,"Down",0.001,0.581375
"GO_STEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.001,0.581375
"GO_REGULATION_OF_HISTONE_H4_ACETYLATION",11,0,0.0909090909090909,"Up",0.001,0.581375
"GO_PROTEIN_LIPID_COMPLEX_REMODELING",19,0.315789473684211,0,"Down",0.002,0.623140445402299
"GO_POSITIVE_REGULATION_OF_VASODILATION",29,0.241379310344828,0.0344827586206897,"Down",0.002,0.623140445402299
"GO_STEROID_CATABOLIC_PROCESS",15,0.2,0,"Down",0.002,0.623140445402299
"GO_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.002,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",9,0.333333333333333,0,"Down",0.003,0.623140445402299
"GO_CHOLESTEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.003,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.003,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.003,0.623140445402299
"GO_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS",11,0.0909090909090909,0.454545454545455,"Up",0.004,0.623140445402299
"GO_SULFATION",9,0,0.444444444444444,"Up",0.004,0.623140445402299
"GO_PLASMA_LIPOPROTEIN_PARTICLE_REMODELING",19,0.315789473684211,0,"Down",0.004,0.623140445402299
"GO_MACROMOLECULAR_COMPLEX_REMODELING",19,0.315789473684211,0,"Down",0.004,0.623140445402299
"GO_PROTEIN_LOCALIZATION_TO_LYSOSOME",17,0,0.294117647058824,"Up",0.004,0.623140445402299
"GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.004,0.623140445402299
"GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION",16,0.25,0,"Down",0.005,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION",24,0.208333333333333,0.0833333333333333,"Down",0.005,0.623140445402299
"GO_PROTEIN_K63_LINKED_DEUBIQUITINATION",21,0,0.142857142857143,"Up",0.005,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION",33,0.212121212121212,0.0303030303030303,"Down",0.006,0.623140445402299
"GO_TEMPERATURE_HOMEOSTASIS",25,0.12,0,"Down",0.006,0.623140445402299
"GO_PROTEIN_K48_LINKED_DEUBIQUITINATION",18,0,0.111111111111111,"Up",0.006,0.623140445402299
"GO_REGULATION_OF_TOR_SIGNALING",63,0,0.0476190476190476,"Up",0.006,0.623140445402299
"GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION",12,0.416666666666667,0,"Down",0.007,0.623140445402299
"GO_PROTEIN_PALMITOYLATION",23,0,0.347826086956522,"Up",0.007,0.623140445402299
"GO_ORGAN_MATURATION",15,0.2,0.0666666666666667,"Down",0.007,0.623140445402299
"GO_MYELIN_ASSEMBLY",15,0.0666666666666667,0.466666666666667,"Up",0.008,0.623140445402299
"GO_REGULATION_OF_FIBROBLAST_PROLIFERATION",74,0.22972972972973,0.0945945945945946,"Down",0.008,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY",22,0.181818181818182,0,"Down",0.008,0.623140445402299
"GO_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION",44,0.181818181818182,0,"Down",0.009,0.623140445402299
"GO_REVERSE_CHOLESTEROL_TRANSPORT",13,0.153846153846154,0,"Down",0.009,0.623140445402299
"GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",12,0.0833333333333333,0,"Down",0.009,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION",10,0,0,"Down",0.009,0.623140445402299
"GO_ANDROGEN_BIOSYNTHETIC_PROCESS",8,0,0,"Up",0.009,0.623140445402299
"GO_RESPONSE_TO_METHYLMERCURY",12,0,0.5,"Up",0.01,0.623140445402299
"GO_TERPENOID_METABOLIC_PROCESS",85,0.2,0.0235294117647059,"Down",0.01,0.623140445402299
"GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS",39,0.153846153846154,0.102564102564103,"Down",0.01,0.623140445402299
"GO_NITROGEN_CYCLE_METABOLIC_PROCESS",12,0.0833333333333333,0,"Down",0.01,0.623140445402299
"GO_SIALYLATION",20,0.35,0,"Down",0.011,0.623140445402299
"GO_BROWN_FAT_CELL_DIFFERENTIATION",27,0.333333333333333,0.037037037037037,"Down",0.011,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY",15,0.333333333333333,0.0666666666666667,"Down",0.011,0.623140445402299
"GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS",61,0.245901639344262,0,"Down",0.011,0.623140445402299
"GO_DIGESTION",91,0.197802197802198,0.032967032967033,"Down",0.011,0.623140445402299
"GO_DIGESTIVE_SYSTEM_PROCESS",52,0.192307692307692,0.0384615384615385,"Down",0.011,0.623140445402299
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS",12,0.166666666666667,0,"Down",0.011,0.623140445402299
"GO_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY",15,0,0.133333333333333,"Up",0.011,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",10,0,0.1,"Up",0.011,0.623140445402299
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE",19,0.105263157894737,0.157894736842105,"Up",0.012,0.623140445402299
"GO_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY",19,0.157894736842105,0.0526315789473684,"Down",0.012,0.623140445402299
"GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT",12,0.0833333333333333,0,"Down",0.012,0.623140445402299
"GO_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS",11,0.181818181818182,0,"Down",0.013,0.623140445402299
"GO_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",20,0.15,0,"Down",0.013,0.623140445402299
"GO_BILE_ACID_AND_BILE_SALT_TRANSPORT",25,0.12,0.04,"Down",0.013,0.623140445402299
"GO_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM",11,0.0909090909090909,0.0909090909090909,"Down",0.013,0.623140445402299
"GO_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION",18,0.333333333333333,0,"Down",0.014,0.623140445402299
"GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME",14,0.285714285714286,0.0714285714285714,"Down",0.014,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_GROWTH",12,0.25,0,"Down",0.014,0.623140445402299
"GO_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS",13,0.153846153846154,0.0769230769230769,"Down",0.014,0.623140445402299
"GO_MUSCLE_ADAPTATION",27,0.148148148148148,0,"Down",0.014,0.623140445402299
"GO_HORMONE_METABOLIC_PROCESS",127,0.118110236220472,0.094488188976378,"Down",0.014,0.623140445402299
"GO_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION",12,0.416666666666667,0,"Down",0.015,0.623140445402299
"GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION",33,0.272727272727273,0.0303030303030303,"Down",0.015,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_HEART_GROWTH",12,0.25,0,"Down",0.015,0.623140445402299
"GO_PROTEIN_TRIMERIZATION",35,0.2,0,"Down",0.015,0.623140445402299
"GO_RESPONSE_TO_ANGIOTENSIN",17,0.176470588235294,0,"Down",0.015,0.623140445402299
"GO_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS",116,0.172413793103448,0.0775862068965517,"Down",0.015,0.623140445402299
"GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORT",15,0.0666666666666667,0.333333333333333,"Up",0.016,0.623140445402299
"GO_RESPONSE_TO_COLD",41,0.24390243902439,0.0975609756097561,"Down",0.016,0.623140445402299
"GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",16,0,0.125,"Up",0.016,0.623140445402299
"GO_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS",17,0.117647058823529,0,"Down",0.016,0.623140445402299
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",9,0.333333333333333,0,"Down",0.017,0.623140445402299
"GO_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY",25,0.28,0.04,"Down",0.017,0.623140445402299
"GO_VASODILATION",25,0.28,0,"Down",0.017,0.623140445402299
"GO_REGULATION_OF_BLOOD_PRESSURE",154,0.175324675324675,0.0649350649350649,"Down",0.017,0.623140445402299
"GO_PROTEIN_DEMANNOSYLATION",13,0,0.307692307692308,"Up",0.018,0.623140445402299
"GO_ISOPRENOID_METABOLIC_PROCESS",104,0.163461538461538,0.0288461538461538,"Down",0.018,0.623140445402299
"GO_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",27,0.148148148148148,0.0740740740740741,"Down",0.018,0.623140445402299
"GO_EPITHELIAL_STRUCTURE_MAINTENANCE",17,0.0588235294117647,0.0588235294117647,"Down",0.018,0.623140445402299
