"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",13,0.307692307692308,0,"Down",0.001,0.581375,"ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000053846","Apoc1, Pltp, Lipg"
"GO_RETINOL_METABOLIC_PROCESS",24,0.208333333333333,0.0833333333333333,"Down",0.001,0.581375,"ENSMUSG00000013584, ENSMUSG00000024087, ENSMUSG00000029134, ENSMUSG00000066026","Aldh1a2, Cyp1b1, Plb1, Dhrs3"
"GO_STEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.001,0.581375,"ENSMUSG00000026818","Cel"
"GO_REGULATION_OF_HISTONE_H4_ACETYLATION",11,0,0.0909090909090909,"Up",0.001,0.581375,"ENSMUSG00000017146","Brca1"
"GO_PROTEIN_LIPID_COMPLEX_REMODELING",19,0.315789473684211,0,"Down",0.002,0.623140445402299,"ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000053846, ENSMUSG00000031980","Apoc1, Pltp, Lipg, Agt"
"GO_POSITIVE_REGULATION_OF_VASODILATION",29,0.241379310344828,0.0344827586206897,"Down",0.002,0.623140445402299,"ENSMUSG00000045730, ENSMUSG00000050953, ENSMUSG00000031980, ENSMUSG00000019772, ENSMUSG00000033717, ENSMUSG00000024256","Adrb2, Gja1, Agt, Vip, Adra2a, Adcyap1"
"GO_STEROID_CATABOLIC_PROCESS",15,0.2,0,"Down",0.002,0.623140445402299,"ENSMUSG00000026818","Cel"
"GO_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.002,0.623140445402299,"ENSMUSG00000055561","Spink5"
"GO_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",9,0.333333333333333,0,"Down",0.003,0.623140445402299,"ENSMUSG00000024256, ENSMUSG00000000440","Adcyap1, Pparg"
"GO_CHOLESTEROL_CATABOLIC_PROCESS",10,0.2,0,"Down",0.003,0.623140445402299,"ENSMUSG00000026818","Cel"
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.003,0.623140445402299,"ENSMUSG00000055561","Spink5"
"GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.003,0.623140445402299,"ENSMUSG00000055561","Spink5"
"GO_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS",11,0.0909090909090909,0.454545454545455,"Up",0.004,0.623140445402299,"ENSMUSG00000019429, ENSMUSG00000028698","Ffar3, Pik3r3"
"GO_SULFATION",9,0,0.444444444444444,"Up",0.004,0.623140445402299,"ENSMUSG00000047712","Ust"
"GO_PLASMA_LIPOPROTEIN_PARTICLE_REMODELING",19,0.315789473684211,0,"Down",0.004,0.623140445402299,"ENSMUSG00000053846, ENSMUSG00000040564, ENSMUSG00000017754, ENSMUSG00000031980","Lipg, Apoc1, Pltp, Agt"
"GO_MACROMOLECULAR_COMPLEX_REMODELING",19,0.315789473684211,0,"Down",0.004,0.623140445402299,"ENSMUSG00000031980, ENSMUSG00000017754, ENSMUSG00000040564, ENSMUSG00000053846","Agt, Pltp, Apoc1, Lipg"
"GO_PROTEIN_LOCALIZATION_TO_LYSOSOME",17,0,0.294117647058824,"Up",0.004,0.623140445402299,"ENSMUSG00000031438","Rnf128"
"GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY",5,0,0.2,"Up",0.004,0.623140445402299,"ENSMUSG00000055561","Spink5"
"GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION",16,0.25,0,"Down",0.005,0.623140445402299,"ENSMUSG00000032532, ENSMUSG00000057329","Cck, Bcl2"
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION",24,0.208333333333333,0.0833333333333333,"Down",0.005,0.623140445402299,"ENSMUSG00000030717, ENSMUSG00000000440, ENSMUSG00000024521, ENSMUSG00000063268","Nupr1, Pparg, Pmaip1, Parp10"
"GO_PROTEIN_K63_LINKED_DEUBIQUITINATION",21,0,0.142857142857143,"Up",0.005,0.623140445402299,"ENSMUSG00000026854","Usp20"
"GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION",33,0.212121212121212,0.0303030303030303,"Down",0.006,0.623140445402299,"ENSMUSG00000021390, ENSMUSG00000003032, ENSMUSG00000019772, ENSMUSG00000000440, ENSMUSG00000022206","Ogn, Klf4, Vip, Pparg, Npr3"
"GO_TEMPERATURE_HOMEOSTASIS",25,0.12,0,"Down",0.006,0.623140445402299,"ENSMUSG00000045730, ENSMUSG00000027568","Adrb2, Ntsr1"
"GO_PROTEIN_K48_LINKED_DEUBIQUITINATION",18,0,0.111111111111111,"Up",0.006,0.623140445402299,"ENSMUSG00000026854","Usp20"
"GO_REGULATION_OF_TOR_SIGNALING",63,0,0.0476190476190476,"Up",0.006,0.623140445402299,"ENSMUSG00000050310","Rictor"
"GO_REGULATION_OF_MONOCYTE_DIFFERENTIATION",12,0.416666666666667,0,"Down",0.007,0.623140445402299,"ENSMUSG00000047415, ENSMUSG00000030067, ENSMUSG00000031750","Gpr68, Foxp1, Il34"
"GO_PROTEIN_PALMITOYLATION",23,0,0.347826086956522,"Up",0.007,0.623140445402299,"ENSMUSG00000031823","Zdhhc7"
"GO_ORGAN_MATURATION",15,0.2,0.0666666666666667,"Down",0.007,0.623140445402299,"ENSMUSG00000013584, ENSMUSG00000020053","Aldh1a2, Igf1"
"GO_MYELIN_ASSEMBLY",15,0.0666666666666667,0.466666666666667,"Up",0.008,0.623140445402299,"ENSMUSG00000030342, ENSMUSG00000026442, ENSMUSG00000041415","Cd9, Nfasc, Dicer1"
"GO_REGULATION_OF_FIBROBLAST_PROLIFERATION",74,0.22972972972973,0.0945945945945946,"Down",0.008,0.623140445402299,"ENSMUSG00000006369, ENSMUSG00000031980, ENSMUSG00000023067, ENSMUSG00000024521, ENSMUSG00000063268, ENSMUSG00000029135, ENSMUSG00000030717, ENSMUSG00000020122, ENSMUSG00000000489, ENSMUSG00000032231, ENSMUSG00000020053, ENSMUSG00000000440","Fbln1, Agt, Cdkn1a, Pmaip1, Parp10, Fosl2, Nupr1, Egfr, Pdgfb, Anxa2, Igf1, Pparg"
"GO_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY",22,0.181818181818182,0,"Down",0.008,0.623140445402299,"ENSMUSG00000031722, ENSMUSG00000026814","Hp, Eng"
"GO_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION",44,0.181818181818182,0,"Down",0.009,0.623140445402299,"ENSMUSG00000009281, ENSMUSG00000000440, ENSMUSG00000020053, ENSMUSG00000030792, ENSMUSG00000032487, ENSMUSG00000039410, ENSMUSG00000041380, ENSMUSG00000056501","Rarres2, Pparg, Igf1, Dkkl1, Ptgs2, Prdm16, Htr2c, Cebpb"
"GO_REVERSE_CHOLESTEROL_TRANSPORT",13,0.153846153846154,0,"Down",0.009,0.623140445402299,"ENSMUSG00000053846","Lipg"
"GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",12,0.0833333333333333,0,"Down",0.009,0.623140445402299,"ENSMUSG00000000440","Pparg"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION",10,0,0,"Down",0.009,0.623140445402299,"",""
