"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NPBAF_COMPLEX",12,0,0.25,"Up",0.002,0.8685
"GO_PLATELET_ALPHA_GRANULE_LUMEN",46,0.282608695652174,0.0434782608695652,"Down",0.011,0.942169980119284
"GO_MULTIVESICULAR_BODY",35,0.314285714285714,0.0857142857142857,"Down",0.013,0.942169980119284
"GO_EARLY_ENDOSOME_MEMBRANE",92,0.0760869565217391,0.173913043478261,"Up",0.018,0.942169980119284
"GO_SECRETORY_GRANULE_LUMEN",67,0.238805970149254,0.0746268656716418,"Down",0.02,0.942169980119284
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",19,0.157894736842105,0.0526315789473684,"Down",0.021,0.942169980119284
"GO_VESICLE_LUMEN",84,0.25,0.0833333333333333,"Down",0.022,0.942169980119284
"GO_RNAI_EFFECTOR_COMPLEX",7,0,0.285714285714286,"Up",0.024,0.942169980119284
"GO_CHD_TYPE_COMPLEX",17,0,0.0588235294117647,"Up",0.024,0.942169980119284
"GO_CHYLOMICRON",10,0.2,0,"Down",0.027,0.942169980119284
"GO_PLATELET_ALPHA_GRANULE",65,0.246153846153846,0.0769230769230769,"Down",0.028,0.942169980119284
"GO_EXTRACELLULAR_SPACE",1024,0.1552734375,0.0732421875,"Down",0.028,0.942169980119284
"GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX",18,0,0.333333333333333,"Up",0.03,0.942169980119284
"GO_BLOOD_MICROPARTICLE",81,0.160493827160494,0.0246913580246914,"Down",0.035,0.942169980119284
"GO_HOLO_TFIIH_COMPLEX",12,0,0.25,"Up",0.036,0.942169980119284
"GO_MYOFILAMENT",23,0.173913043478261,0.0869565217391304,"Down",0.037,0.942169980119284
"GO_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",11,0,0.0909090909090909,"Up",0.038,0.942169980119284
"GO_INCLUSION_BODY",59,0.0677966101694915,0.0508474576271186,"Down",0.043,0.942169980119284
