"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NPBAF_COMPLEX",12,0,0.25,"Up",0.002,0.8685,"ENSMUSG00000037013, ENSMUSG00000027671","Ss18, Actl6a"
"GO_PLATELET_ALPHA_GRANULE_LUMEN",46,0.282608695652174,0.0434782608695652,"Down",0.011,0.942169980119284,"ENSMUSG00000040152, ENSMUSG00000048583, ENSMUSG00000001131, ENSMUSG00000000489, ENSMUSG00000020053, ENSMUSG00000015143, ENSMUSG00000037206, ENSMUSG00000028864, ENSMUSG00000020077, ENSMUSG00000037411","Thbs1, Igf2, Timp1, Pdgfb, Igf1, Actn1, Islr, Hgf, Srgn, Serpine1"
"GO_MULTIVESICULAR_BODY",35,0.314285714285714,0.0857142857142857,"Down",0.013,0.942169980119284,"ENSMUSG00000032359, ENSMUSG00000026389, ENSMUSG00000020122, ENSMUSG00000025993, ENSMUSG00000050953, ENSMUSG00000018566, ENSMUSG00000021680","Ctsh, Steap3, Egfr, Slc40a1, Gja1, Slc2a4, Crhbp"
"GO_EARLY_ENDOSOME_MEMBRANE",92,0.0760869565217391,0.173913043478261,"Up",0.018,0.942169980119284,"ENSMUSG00000000605, ENSMUSG00000026718","Clcn4, Stam"
"GO_SECRETORY_GRANULE_LUMEN",67,0.238805970149254,0.0746268656716418,"Down",0.02,0.942169980119284,"ENSMUSG00000001131, ENSMUSG00000048583, ENSMUSG00000015143, ENSMUSG00000009281, ENSMUSG00000028864, ENSMUSG00000040152, ENSMUSG00000033880, ENSMUSG00000000489, ENSMUSG00000037206, ENSMUSG00000020053, ENSMUSG00000037411, ENSMUSG00000020077, ENSMUSG00000024910","Timp1, Igf2, Actn1, Rarres2, Hgf, Thbs1, Lgals3bp, Pdgfb, Islr, Igf1, Serpine1, Srgn, Ctsw"
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",19,0.157894736842105,0.0526315789473684,"Down",0.021,0.942169980119284,"ENSMUSG00000031722, ENSMUSG00000040564","Hp, Apoc1"
"GO_VESICLE_LUMEN",84,0.25,0.0833333333333333,"Down",0.022,0.942169980119284,"ENSMUSG00000069917, ENSMUSG00000015143, ENSMUSG00000009281, ENSMUSG00000028864, ENSMUSG00000001131, ENSMUSG00000031722, ENSMUSG00000048583, ENSMUSG00000037206, ENSMUSG00000020053, ENSMUSG00000037411, ENSMUSG00000020077, ENSMUSG00000024910, ENSMUSG00000040152, ENSMUSG00000033880, ENSMUSG00000000489, ENSMUSG00000020122","Hba-a2, Actn1, Rarres2, Hgf, Timp1, Hp, Igf2, Islr, Igf1, Serpine1, Srgn, Ctsw, Thbs1, Lgals3bp, Pdgfb, Egfr"
"GO_RNAI_EFFECTOR_COMPLEX",7,0,0.285714285714286,"Up",0.024,0.942169980119284,"ENSMUSG00000041415","Dicer1"
"GO_CHD_TYPE_COMPLEX",17,0,0.0588235294117647,"Up",0.024,0.942169980119284,"",""
"GO_CHYLOMICRON",10,0.2,0,"Down",0.027,0.942169980119284,"ENSMUSG00000040564","Apoc1"
"GO_PLATELET_ALPHA_GRANULE",65,0.246153846153846,0.0769230769230769,"Down",0.028,0.942169980119284,"ENSMUSG00000040152, ENSMUSG00000000489, ENSMUSG00000020053, ENSMUSG00000037206, ENSMUSG00000037411, ENSMUSG00000020077, ENSMUSG00000048583, ENSMUSG00000026456, ENSMUSG00000001131, ENSMUSG00000002944, ENSMUSG00000015143, ENSMUSG00000028864","Thbs1, Pdgfb, Igf1, Islr, Serpine1, Srgn, Igf2, Cyb5r1, Timp1, Cd36, Actn1, Hgf"
