"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_S_ACYLTRANSFERASE_ACTIVITY",27,0,0.222222222222222,"Up",0.003,0.745735074626866
"GO_LIPASE_INHIBITOR_ACTIVITY",13,0.538461538461538,0,"Down",0.006,0.745735074626866
"GO_STEROID_BINDING",75,0.133333333333333,0.0266666666666667,"Down",0.006,0.745735074626866
"GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY",9,0.777777777777778,0,"Down",0.007,0.745735074626866
"GO_PALMITOYLTRANSFERASE_ACTIVITY",33,0.0303030303030303,0.181818181818182,"Up",0.007,0.745735074626866
"GO_SIALYLTRANSFERASE_ACTIVITY",20,0.35,0,"Down",0.008,0.745735074626866
"GO_POLYSACCHARIDE_BINDING",17,0.294117647058824,0.0588235294117647,"Down",0.014,0.745735074626866
"GO_NEUROPEPTIDE_RECEPTOR_BINDING",24,0.208333333333333,0.0416666666666667,"Down",0.016,0.745735074626866
"GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.019,0.745735074626866
"GO_WIDE_PORE_CHANNEL_ACTIVITY",21,0.19047619047619,0.0952380952380952,"Down",0.02,0.745735074626866
"GO_INTEGRIN_BINDING",100,0.32,0.07,"Down",0.022,0.745735074626866
"GO_PHOSPHATIDYLCHOLINE_BINDING",14,0.142857142857143,0.0714285714285714,"Down",0.024,0.745735074626866
"GO_MONOCARBOXYLIC_ACID_BINDING",44,0.295454545454545,0.0454545454545455,"Down",0.025,0.745735074626866
"GO_GROWTH_FACTOR_ACTIVITY",139,0.215827338129496,0.0575539568345324,"Down",0.025,0.745735074626866
"GO_OLFACTORY_RECEPTOR_ACTIVITY",11,0.0909090909090909,0,"Down",0.026,0.745735074626866
"GO_SCAVENGER_RECEPTOR_ACTIVITY",36,0.25,0.0833333333333333,"Down",0.027,0.745735074626866
"GO_PSEUDOURIDINE_SYNTHASE_ACTIVITY",13,0,0.153846153846154,"Up",0.027,0.745735074626866
"GO_PROTEIN_LIPID_COMPLEX_BINDING",22,0.272727272727273,0.136363636363636,"Down",0.028,0.745735074626866
"GO_ICOSANOID_RECEPTOR_ACTIVITY",13,0.384615384615385,0,"Down",0.029,0.745735074626866
"GO_FAD_BINDING",14,0.142857142857143,0.285714285714286,"Up",0.029,0.745735074626866
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY",37,0.243243243243243,0,"Down",0.029,0.745735074626866
"GO_CHANNEL_INHIBITOR_ACTIVITY",33,0.242424242424242,0.0303030303030303,"Down",0.03,0.745735074626866
"GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING",45,0.177777777777778,0.0666666666666667,"Down",0.031,0.745735074626866
"GO_VOLTAGE_GATED_ANION_CHANNEL_ACTIVITY",15,0,0.133333333333333,"Up",0.032,0.745735074626866
"GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY",17,0.176470588235294,0,"Down",0.033,0.745735074626866
"GO_LIGASE_REGULATOR_ACTIVITY",12,0.166666666666667,0,"Down",0.033,0.745735074626866
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",21,0.238095238095238,0,"Down",0.034,0.745735074626866
"GO_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",27,0,0.148148148148148,"Up",0.036,0.745735074626866
"GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",15,0.266666666666667,0.133333333333333,"Down",0.037,0.745735074626866
"GO_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",21,0,0.19047619047619,"Up",0.037,0.745735074626866
"GO_GTPASE_INHIBITOR_ACTIVITY",14,0,0.285714285714286,"Up",0.04,0.745735074626866
"GO_OMEGA_PEPTIDASE_ACTIVITY",15,0.0666666666666667,0.2,"Up",0.04,0.745735074626866
"GO_TRIGLYCERIDE_LIPASE_ACTIVITY",11,0.272727272727273,0.0909090909090909,"Down",0.041,0.745735074626866
"GO_ARMADILLO_REPEAT_DOMAIN_BINDING",13,0,0.230769230769231,"Up",0.043,0.745735074626866
"GO_RECEPTOR_SIGNALING_COMPLEX_SCAFFOLD_ACTIVITY",22,0.0909090909090909,0,"Down",0.043,0.745735074626866
"GO_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",29,0.241379310344828,0.0344827586206897,"Down",0.044,0.745735074626866
"GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",14,0.357142857142857,0,"Down",0.045,0.745735074626866
"GO_FIBRONECTIN_BINDING",25,0.2,0.08,"Down",0.045,0.745735074626866
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR",35,0.142857142857143,0,"Down",0.045,0.745735074626866
"GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_3_PHOSPHATASE_ACTIVITY",10,0,0.1,"Up",0.045,0.745735074626866
"GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS",44,0.0227272727272727,0.0681818181818182,"Up",0.045,0.745735074626866
"GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",27,0.037037037037037,0.148148148148148,"Up",0.047,0.745735074626866
"GO_CHOLESTEROL_TRANSPORTER_ACTIVITY",10,0.1,0,"Down",0.047,0.745735074626866
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS",185,0.0378378378378378,0.0972972972972973,"Up",0.047,0.745735074626866
"GO_ALCOHOL_BINDING",89,0.134831460674157,0.0449438202247191,"Down",0.048,0.745735074626866
"GO_VITAMIN_BINDING",68,0.102941176470588,0.0294117647058824,"Down",0.05,0.745735074626866
"GO_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",13,0,0.153846153846154,"Up",0.051,0.745735074626866
"GO_HYDROLASE_ACTIVITY_HYDROLYZING_N_GLYCOSYL_COMPOUNDS",22,0.0909090909090909,0,"Down",0.051,0.745735074626866
"GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING",33,0.212121212121212,0.0303030303030303,"Down",0.052,0.745735074626866
"GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",73,0.150684931506849,0.0547945205479452,"Down",0.054,0.745735074626866
"GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",17,0.352941176470588,0.0588235294117647,"Down",0.055,0.745735074626866
"GO_CYTOKINE_ACTIVITY",153,0.169934640522876,0.0326797385620915,"Down",0.055,0.745735074626866
"GO_SEMAPHORIN_RECEPTOR_BINDING",22,0.0454545454545455,0.318181818181818,"Up",0.057,0.745735074626866
"GO_FATTY_ACID_BINDING",24,0.291666666666667,0.0833333333333333,"Down",0.057,0.745735074626866
"GO_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",51,0.117647058823529,0.0392156862745098,"Down",0.057,0.745735074626866
"GO_HORMONE_ACTIVITY",78,0.217948717948718,0.0384615384615385,"Down",0.058,0.745735074626866
"GO_CARGO_RECEPTOR_ACTIVITY",57,0.192982456140351,0.087719298245614,"Down",0.058,0.745735074626866
"GO_KINASE_ACTIVATOR_ACTIVITY",57,0.157894736842105,0.0526315789473684,"Down",0.058,0.745735074626866
"GO_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY",25,0,0.12,"Up",0.06,0.745735074626866
"GO_ARYLSULFATASE_ACTIVITY",8,0,0.25,"Up",0.061,0.745735074626866
"GO_PHOSPHOPROTEIN_BINDING",58,0.0689655172413793,0,"Down",0.061,0.745735074626866
"GO_LIPID_BINDING",567,0.132275132275132,0.0776014109347443,"Down",0.063,0.745735074626866
"GO_PEPTIDASE_REGULATOR_ACTIVITY",147,0.204081632653061,0.0748299319727891,"Down",0.064,0.745735074626866
