"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_S_ACYLTRANSFERASE_ACTIVITY",27,0,0.222222222222222,"Up",0.003,0.745735074626866,"ENSMUSG00000031823, ENSMUSG00000006463","Zdhhc7, Zdhhc24"
"GO_LIPASE_INHIBITOR_ACTIVITY",13,0.538461538461538,0,"Down",0.006,0.745735074626866,"ENSMUSG00000040564, ENSMUSG00000024659, ENSMUSG00000028553, ENSMUSG00000032231, ENSMUSG00000029484","Apoc1, Anxa1, Angptl3, Anxa2, Anxa3"
"GO_STEROID_BINDING",75,0.133333333333333,0.0266666666666667,"Down",0.006,0.745735074626866,"ENSMUSG00000046532, ENSMUSG00000021069, ENSMUSG00000037348, ENSMUSG00000020053, ENSMUSG00000046027, ENSMUSG00000028222","Ar, Pygl, Paqr7, Igf1, Stard5, Calb1"
"GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY",9,0.777777777777778,0,"Down",0.007,0.745735074626866,"ENSMUSG00000032231, ENSMUSG00000040564, ENSMUSG00000028553, ENSMUSG00000024659, ENSMUSG00000029484","Anxa2, Apoc1, Angptl3, Anxa1, Anxa3"
"GO_PALMITOYLTRANSFERASE_ACTIVITY",33,0.0303030303030303,0.181818181818182,"Up",0.007,0.745735074626866,"ENSMUSG00000031823, ENSMUSG00000006463","Zdhhc7, Zdhhc24"
"GO_SIALYLTRANSFERASE_ACTIVITY",20,0.35,0,"Down",0.008,0.745735074626866,"ENSMUSG00000013846, ENSMUSG00000025789, ENSMUSG00000039037","St3gal1, St8sia2, St6galnac5"
"GO_POLYSACCHARIDE_BINDING",17,0.294117647058824,0.0588235294117647,"Down",0.014,0.745735074626866,"ENSMUSG00000017344, ENSMUSG00000022468, ENSMUSG00000028776, ENSMUSG00000047963","Vtn, Endou, Tinagl1, Stbd1"
"GO_NEUROPEPTIDE_RECEPTOR_BINDING",24,0.208333333333333,0.0416666666666667,"Down",0.016,0.745735074626866,"ENSMUSG00000021367, ENSMUSG00000024256, ENSMUSG00000049796, ENSMUSG00000027643","Edn1, Adcyap1, Crh, Ghrh"
"GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.019,0.745735074626866,"",""
"GO_WIDE_PORE_CHANNEL_ACTIVITY",21,0.19047619047619,0.0952380952380952,"Down",0.02,0.745735074626866,"ENSMUSG00000046352, ENSMUSG00000034520, ENSMUSG00000047197, ENSMUSG00000050953","Gjb2, Gjc1, Gjd3, Gja1"
"GO_INTEGRIN_BINDING",100,0.32,0.07,"Down",0.022,0.745735074626866,"ENSMUSG00000040998, ENSMUSG00000040152, ENSMUSG00000037362, ENSMUSG00000019997, ENSMUSG00000067586, ENSMUSG00000034127, ENSMUSG00000037405, ENSMUSG00000027111, ENSMUSG00000052911, ENSMUSG00000020053, ENSMUSG00000001014, ENSMUSG00000028195, ENSMUSG00000014852, ENSMUSG00000032011, ENSMUSG00000015647, ENSMUSG00000000392, ENSMUSG00000022505, ENSMUSG00000006369, ENSMUSG00000026971, ENSMUSG00000017344, ENSMUSG00000015143, ENSMUSG00000000555, ENSMUSG00000033327, ENSMUSG00000005124, ENSMUSG00000028553, ENSMUSG00000026043","Npnt, Thbs1, Nov, Ctgf, S1pr3, Tspan8, Icam1, Itga6, Lamb2, Igf1, Icam4, Cyr61, Adamts13, Thy1, Lama5, Fap, Emp2, Fbln1, Itgb6, Vtn, Actn1, Itga5, Tnxb, Wisp1, Angptl3, Col3a1"
"GO_PHOSPHATIDYLCHOLINE_BINDING",14,0.142857142857143,0.0714285714285714,"Down",0.024,0.745735074626866,"ENSMUSG00000027347, ENSMUSG00000040564","Rasgrp1, Apoc1"
"GO_MONOCARBOXYLIC_ACID_BINDING",44,0.295454545454545,0.0454545454545455,"Down",0.025,0.745735074626866,"ENSMUSG00000021069, ENSMUSG00000046027, ENSMUSG00000090145, ENSMUSG00000000440, ENSMUSG00000040564","Pygl, Stard5, Ugt1a6b, Pparg, Apoc1"
