"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"KEGG_FATTY_ACID_METABOLISM",37,0.486486486486487,0.0810810810810811,"Down",0.001,0.152884615384615
"KEGG_PROPANOATE_METABOLISM",30,0.366666666666667,0.0333333333333333,"Down",0.001,0.152884615384615
"REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS",427,0.192037470725995,0.0819672131147541,"Down",0.001,0.152884615384615
"REACTOME_MEIOTIC_RECOMBINATION",41,0.170731707317073,0.0975609756097561,"Down",0.001,0.152884615384615
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",14,0.785714285714286,0,"Down",0.002,0.152884615384615
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",10,0.6,0.1,"Down",0.002,0.152884615384615
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",44,0.409090909090909,0.0454545454545455,"Down",0.002,0.152884615384615
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE",11,0.363636363636364,0.0909090909090909,"Down",0.002,0.152884615384615
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",44,0.0454545454545455,0.272727272727273,"Up",0.002,0.152884615384615
"REACTOME_BASE_EXCISION_REPAIR",19,0.263157894736842,0,"Down",0.002,0.152884615384615
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",8,0.25,0,"Down",0.002,0.152884615384615
"KEGG_FOLATE_BIOSYNTHESIS",8,0.25,0,"Down",0.002,0.152884615384615
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",15,0.133333333333333,0,"Down",0.002,0.152884615384615
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",11,0,0.818181818181818,"Up",0.003,0.184027777777778
"REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT",14,0.5,0.0714285714285714,"Down",0.003,0.184027777777778
"REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM",11,0.363636363636364,0,"Down",0.003,0.184027777777778
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",14,0.214285714285714,0.0714285714285714,"Down",0.003,0.184027777777778
"REACTOME_SYNTHESIS_OF_PA",22,0.181818181818182,0,"Down",0.003,0.184027777777778
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",10,0,0.8,"Up",0.004,0.210795454545455
"REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS",10,0.1,0.6,"Up",0.004,0.210795454545455
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",20,0.4,0.1,"Down",0.004,0.210795454545455
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",20,0.2,0.05,"Down",0.004,0.210795454545455
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",34,0,0.5,"Up",0.005,0.220833333333333
"REACTOME_LIPOPROTEIN_METABOLISM",25,0.4,0.08,"Down",0.005,0.220833333333333
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",26,0.307692307692308,0.0769230769230769,"Down",0.005,0.220833333333333
