"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"KEGG_FATTY_ACID_METABOLISM",37,0.486486486486487,0.0810810810810811,"Down",0.001,0.152884615384615,"ENSMUSG00000029545, ENSMUSG00000026003, ENSMUSG00000062908, ENSMUSG00000018574, ENSMUSG00000027984, ENSMUSG00000059447, ENSMUSG00000025745, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000036138, ENSMUSG00000028607, ENSMUSG00000021417, ENSMUSG00000024132","Acads, Acadl, Acadm, Acadvl, Hadh, Hadhb, Hadha, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Acaa1a, Cpt2, Eci2, Eci1"
"KEGG_PROPANOATE_METABOLISM",30,0.366666666666667,0.0333333333333333,"Down",0.001,0.152884615384615,"ENSMUSG00000062908, ENSMUSG00000025745, ENSMUSG00000021238, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000074064, ENSMUSG00000061838","Acadm, Hadha, Aldh6a1, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Mlycd, Suclg2"
"REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS",427,0.192037470725995,0.0819672131147541,"Down",0.001,0.152884615384615,"ENSMUSG00000004270, ENSMUSG00000021468, ENSMUSG00000060675, ENSMUSG00000033174, ENSMUSG00000028607, ENSMUSG00000021592, ENSMUSG00000026170, ENSMUSG00000024132, ENSMUSG00000028223, ENSMUSG00000025465, ENSMUSG00000021003, ENSMUSG00000025538, ENSMUSG00000021884, ENSMUSG00000037295, ENSMUSG00000028048, ENSMUSG00000000594, ENSMUSG00000036138, ENSMUSG00000025745, ENSMUSG00000059447, ENSMUSG00000027984, ENSMUSG00000028672, ENSMUSG00000024507, ENSMUSG00000026003, ENSMUSG00000028763, ENSMUSG00000020609, ENSMUSG00000062908, ENSMUSG00000029545, ENSMUSG00000032737, ENSMUSG00000018574, ENSMUSG00000004880, ENSMUSG00000031591, ENSMUSG00000025130, ENSMUSG00000009633, ENSMUSG00000027195, ENSMUSG00000005615, ENSMUSG00000026737, ENSMUSG00000056220, ENSMUSG00000027695, ENSMUSG00000022383, ENSMUSG00000024887, ENSMUSG00000001211, ENSMUSG00000028603, ENSMUSG00000006390, ENSMUSG00000022098, ENSMUSG00000019822, ENSMUSG00000030353, ENSMUSG00000032602, ENSMUSG00000029233, ENSMUSG00000021696, ENSMUSG00000042289, ENSMUSG00000007655, ENSMUSG00000037936, ENSMUSG00000021036, ENSMUSG00000020889, ENSMUSG00000038417","Lpcat3, Sptlc1, Pla2g16, Mgll, Cpt2, Arsk, Cyp27a1, Eci1, Decr1, Echs1, Galc, Sumf2, Hacl1, Ldlrap1, Gba, Gm2a, Acaa1a, Hadha, Hadhb, Hadh, Hmgcl, Hsd17b4, Acadl, Hspg2, Apob, Acadm, Acads, Inppl1, Acadvl, Lbr, Asah1, P4hb, G0s2, Hsd17b12, Pcyt1a, Pip4k2a, Pla2g4a, Pld1, Ppara, Asah2, Agpat3, Scp2, Elovl1, Bmp1, Smpd2, Tead4, Slc25a20, Srd5a3, Elovl7, Hsd3b7, Cav1, Scarb1, Sptlc2, Nr1d1, Fig4"
"REACTOME_MEIOTIC_RECOMBINATION",41,0.170731707317073,0.0975609756097561,"Down",0.001,0.152884615384615,"ENSMUSG00000025358, ENSMUSG00000006728, ENSMUSG00000051977, ENSMUSG00000000751, ENSMUSG00000018102","Cdk2, Cdk4, Prdm9, Rpa1, Hist1h2bc"
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",14,0.785714285714286,0,"Down",0.002,0.152884615384615,"ENSMUSG00000024132, ENSMUSG00000028223, ENSMUSG00000025465, ENSMUSG00000025745, ENSMUSG00000059447, ENSMUSG00000027984, ENSMUSG00000026003, ENSMUSG00000062908, ENSMUSG00000029545, ENSMUSG00000018574","Eci1, Decr1, Echs1, Hadha, Hadhb, Hadh, Acadl, Acadm, Acads, Acadvl"
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",10,0.6,0.1,"Down",0.002,0.152884615384615,"ENSMUSG00000079334, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000025745, ENSMUSG00000022853, ENSMUSG00000053644","Nat6, Echs1, Aldh9a1, Hadha, Ehhadh, Aldh7a1"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",44,0.409090909090909,0.0454545454545455,"Down",0.002,0.152884615384615,"ENSMUSG00000029545, ENSMUSG00000062908, ENSMUSG00000025260, ENSMUSG00000027984, ENSMUSG00000059447, ENSMUSG00000025745, ENSMUSG00000021238, ENSMUSG00000028672, ENSMUSG00000025465, ENSMUSG00000026687, ENSMUSG00000022853, ENSMUSG00000053644, ENSMUSG00000036138, ENSMUSG00000030826","Acads, Acadm, Hsd17b10, Hadh, Hadhb, Hadha, Aldh6a1, Hmgcl, Echs1, Aldh9a1, Ehhadh, Aldh7a1, Acaa1a, Bcat2"
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE",11,0.363636363636364,0.0909090909090909,"Down",0.002,0.152884615384615,"ENSMUSG00000027562, ENSMUSG00000028972","Car2, Car6"
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS",44,0.0454545454545455,0.272727272727273,"Up",0.002,0.152884615384615,"ENSMUSG00000028072, ENSMUSG00000033430, ENSMUSG00000000214, ENSMUSG00000030228, ENSMUSG00000024639, ENSMUSG00000002413, ENSMUSG00000021936","Ntrk1, Terf2ip, Th, Pik3c2g, Gnaq, Braf, Mapk8"
"REACTOME_BASE_EXCISION_REPAIR",19,0.263157894736842,0,"Down",0.002,0.152884615384615,"ENSMUSG00000041429, ENSMUSG00000030271, ENSMUSG00000038644","Nthl1, Ogg1, Pold1"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",8,0.25,0,"Down",0.002,0.152884615384615,"ENSMUSG00000021592, ENSMUSG00000025538","Arsk, Sumf2"
"KEGG_FOLATE_BIOSYNTHESIS",8,0.25,0,"Down",0.002,0.152884615384615,"ENSMUSG00000021707, ENSMUSG00000073987","Dhfr, Ggh"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",15,0.133333333333333,0,"Down",0.002,0.152884615384615,"ENSMUSG00000037370, ENSMUSG00000030826","Enpp1, Bcat2"
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",11,0,0.818181818181818,"Up",0.003,0.184027777777778,"ENSMUSG00000031840, ENSMUSG00000027273, ENSMUSG00000026797, ENSMUSG00000037217, ENSMUSG00000009394","Rab3a, Snap25, Stxbp1, Syn1, Syn2"
"REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT",14,0.5,0.0714285714285714,"Down",0.003,0.184027777777778,"ENSMUSG00000037295, ENSMUSG00000028763, ENSMUSG00000020609, ENSMUSG00000025130","Ldlrap1, Hspg2, Apob, P4hb"
"REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM",11,0.363636363636364,0,"Down",0.003,0.184027777777778,"ENSMUSG00000036138, ENSMUSG00000024507, ENSMUSG00000028603","Acaa1a, Hsd17b4, Scp2"
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",14,0.214285714285714,0.0714285714285714,"Down",0.003,0.184027777777778,"ENSMUSG00000056220, ENSMUSG00000028750","Pla2g4a, Pla2g2c"
"REACTOME_SYNTHESIS_OF_PA",22,0.181818181818182,0,"Down",0.003,0.184027777777778,"ENSMUSG00000056220, ENSMUSG00000027695, ENSMUSG00000001211","Pla2g4a, Pld1, Agpat3"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",10,0,0.8,"Up",0.004,0.210795454545455,"ENSMUSG00000021919, ENSMUSG00000031840, ENSMUSG00000023945, ENSMUSG00000100241, ENSMUSG00000027273, ENSMUSG00000026797","Chat, Rab3a, Slc5a7, Slc18a3, Snap25, Stxbp1"
"REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS",10,0.1,0.6,"Up",0.004,0.210795454545455,"ENSMUSG00000021559, ENSMUSG00000031628","Dapk1, Casp3"
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",20,0.4,0.1,"Down",0.004,0.210795454545455,"ENSMUSG00000021884, ENSMUSG00000036138, ENSMUSG00000024507, ENSMUSG00000028603","Hacl1, Acaa1a, Hsd17b4, Scp2"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",20,0.2,0.05,"Down",0.004,0.210795454545455,"ENSMUSG00000037370, ENSMUSG00000021871, ENSMUSG00000029063","Enpp1, Pnp, Nadk"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",34,0,0.5,"Up",0.005,0.220833333333333,"ENSMUSG00000021919, ENSMUSG00000037771, ENSMUSG00000070880, ENSMUSG00000026787, ENSMUSG00000031840, ENSMUSG00000023945, ENSMUSG00000100241, ENSMUSG00000027273, ENSMUSG00000026797, ENSMUSG00000037217, ENSMUSG00000009394","Chat, Slc32a1, Gad1, Gad2, Rab3a, Slc5a7, Slc18a3, Snap25, Stxbp1, Syn1, Syn2"
