"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION",13,0,0.692307692307692,"Up",0.001,0.070469696969697
"GO_SUBSTRATE_INDEPENDENT_TELENCEPHALIC_TANGENTIAL_INTERNEURON_MIGRATION",13,0,0.615384615384615,"Up",0.001,0.070469696969697
"GO_FATTY_ACID_BETA_OXIDATION",48,0.583333333333333,0.0416666666666667,"Down",0.001,0.070469696969697
"GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.070469696969697
"GO_CEREBELLAR_PURKINJE_CELL_DIFFERENTIATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.070469696969697
"GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.070469696969697
"GO_EATING_BEHAVIOR",26,0.0384615384615385,0.5,"Up",0.001,0.070469696969697
"GO_FATTY_ACID_CATABOLIC_PROCESS",67,0.447761194029851,0.0447761194029851,"Down",0.001,0.070469696969697
"GO_SUCKLING_BEHAVIOR",12,0.0833333333333333,0.416666666666667,"Up",0.001,0.070469696969697
"GO_IRON_ION_IMPORT",10,0.4,0.1,"Down",0.001,0.070469696969697
"GO_KERATINIZATION",18,0,0.388888888888889,"Up",0.001,0.070469696969697
"GO_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE",13,0.384615384615385,0,"Down",0.001,0.070469696969697
"GO_GTP_METABOLIC_PROCESS",21,0.380952380952381,0,"Down",0.001,0.070469696969697
"GO_PRE_MIRNA_PROCESSING",8,0,0.375,"Up",0.001,0.070469696969697
"GO_NEUROTRANSMITTER_METABOLIC_PROCESS",25,0.16,0.36,"Up",0.001,0.070469696969697
"GO_PEPTIDYL_ARGININE_MODIFICATION",17,0.0588235294117647,0.352941176470588,"Up",0.001,0.070469696969697
"GO_CELLULAR_LIPID_CATABOLIC_PROCESS",135,0.348148148148148,0.0666666666666667,"Down",0.001,0.070469696969697
