"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION",13,0,0.692307692307692,"Up",0.001,0.070469696969697,"ENSMUSG00000028004, ENSMUSG00000027950, ENSMUSG00000061353, ENSMUSG00000022144, ENSMUSG00000090223, ENSMUSG00000049112","Npy2r, Chrnb2, Cxcl12, Gdnf, Pcp4, Oxtr"
"GO_SUBSTRATE_INDEPENDENT_TELENCEPHALIC_TANGENTIAL_INTERNEURON_MIGRATION",13,0,0.615384615384615,"Up",0.001,0.070469696969697,"ENSMUSG00000026890, ENSMUSG00000022911, ENSMUSG00000041014, ENSMUSG00000032259, ENSMUSG00000062991","Lhx6, Arl13b, Nrg3, Drd2, Nrg1"
"GO_FATTY_ACID_BETA_OXIDATION",48,0.583333333333333,0.0416666666666667,"Down",0.001,0.070469696969697,"ENSMUSG00000090150, ENSMUSG00000025465, ENSMUSG00000027984, ENSMUSG00000029545, ENSMUSG00000059447, ENSMUSG00000024132, ENSMUSG00000028603, ENSMUSG00000021417, ENSMUSG00000062908, ENSMUSG00000028223, ENSMUSG00000026003, ENSMUSG00000040374, ENSMUSG00000025745, ENSMUSG00000024507, ENSMUSG00000053898, ENSMUSG00000002250, ENSMUSG00000018574, ENSMUSG00000028607, ENSMUSG00000036138, ENSMUSG00000022853","Acad11, Echs1, Hadh, Acads, Hadhb, Eci1, Scp2, Eci2, Acadm, Decr1, Acadl, Pex2, Hadha, Hsd17b4, Ech1, Ppard, Acadvl, Cpt2, Acaa1a, Ehhadh"
"GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS",14,0.0714285714285714,0.571428571428571,"Up",0.001,0.070469696969697,"ENSMUSG00000000214, ENSMUSG00000023945, ENSMUSG00000070880, ENSMUSG00000026787, ENSMUSG00000023328, ENSMUSG00000021919, ENSMUSG00000029361, ENSMUSG00000007034","Th, Slc5a7, Gad1, Gad2, Ache, Chat, Nos1, Slc44a4"
"GO_CEREBELLAR_PURKINJE_CELL_DIFFERENTIATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.070469696969697,"ENSMUSG00000018698, ENSMUSG00000029595, ENSMUSG00000034656","Lhx1, Lhx5, Cacna1a"
"GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION",11,0.0909090909090909,0.545454545454545,"Up",0.001,0.070469696969697,"ENSMUSG00000034656, ENSMUSG00000018698, ENSMUSG00000029595","Cacna1a, Lhx1, Lhx5"
"GO_EATING_BEHAVIOR",26,0.0384615384615385,0.5,"Up",0.001,0.070469696969697,"ENSMUSG00000000766, ENSMUSG00000030043, ENSMUSG00000050511, ENSMUSG00000000214, ENSMUSG00000027765, ENSMUSG00000049112, ENSMUSG00000029223","Oprm1, Tacr1, Oprd1, Th, P2ry1, Oxtr, Uchl1"
"GO_FATTY_ACID_CATABOLIC_PROCESS",67,0.447761194029851,0.0447761194029851,"Down",0.001,0.070469696969697,"ENSMUSG00000062908, ENSMUSG00000028603, ENSMUSG00000024132, ENSMUSG00000021417, ENSMUSG00000027984, ENSMUSG00000025465, ENSMUSG00000029545, ENSMUSG00000018574, ENSMUSG00000002250, ENSMUSG00000053898, ENSMUSG00000025745, ENSMUSG00000026003, ENSMUSG00000028223, ENSMUSG00000021884, ENSMUSG00000059447, ENSMUSG00000090150, ENSMUSG00000022853, ENSMUSG00000036138, ENSMUSG00000028607, ENSMUSG00000024507, ENSMUSG00000040374","Acadm, Scp2, Eci1, Eci2, Hadh, Echs1, Acads, Acadvl, Ppard, Ech1, Hadha, Acadl, Decr1, Hacl1, Hadhb, Acad11, Ehhadh, Acaa1a, Cpt2, Hsd17b4, Pex2"
"GO_SUCKLING_BEHAVIOR",12,0.0833333333333333,0.416666666666667,"Up",0.001,0.070469696969697,"ENSMUSG00000026959, ENSMUSG00000049112","Grin1, Oxtr"
"GO_IRON_ION_IMPORT",10,0.4,0.1,"Down",0.001,0.070469696969697,"ENSMUSG00000006611, ENSMUSG00000032554, ENSMUSG00000015652, ENSMUSG00000012428","Hfe, Trf, Steap1, Steap4"
