"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_INHIBITORY_SYNAPSE",12,0,0.583333333333333,"Up",0.001,0.072375
"GO_KERATIN_FILAMENT",17,0,0.352941176470588,"Up",0.001,0.072375
"GO_CELL_DIVISION_SITE",49,0.204081632653061,0.102040816326531,"Down",0.001,0.072375
"GO_ENDOPLASMIC_RETICULUM",1378,0.191582002902758,0.10377358490566,"Down",0.001,0.072375
"GO_CLATHRIN_SCULPTED_VESICLE",12,0,0.75,"Up",0.002,0.124071428571429
"GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",17,0,0.588235294117647,"Up",0.002,0.124071428571429
"GO_ENDOPLASMIC_RETICULUM_PART",984,0.205284552845528,0.0914634146341463,"Down",0.002,0.124071428571429
"GO_LIPID_PARTICLE",55,0.254545454545455,0.0727272727272727,"Down",0.003,0.14475
"GO_SWI_SNF_COMPLEX",14,0,0.142857142857143,"Up",0.003,0.14475
"GO_DENDRITE_MEMBRANE",18,0.111111111111111,0.444444444444444,"Up",0.004,0.14475
"GO_ROUGH_ENDOPLASMIC_RETICULUM",66,0.257575757575758,0.106060606060606,"Down",0.004,0.14475
"GO_MICROBODY",121,0.256198347107438,0.0578512396694215,"Down",0.004,0.14475
"GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",843,0.207591933570581,0.0925266903914591,"Down",0.004,0.14475
"GO_RUFFLE_MEMBRANE",75,0.186666666666667,0.0666666666666667,"Down",0.004,0.14475
"GO_GOLGI_TRANSPORT_COMPLEX",12,0.25,0,"Down",0.005,0.171068181818182
"GO_PLATELET_DENSE_TUBULAR_NETWORK",9,0.333333333333333,0,"Down",0.006,0.171068181818182
"GO_INTEGRATOR_COMPLEX",11,0.272727272727273,0,"Down",0.006,0.171068181818182
"GO_SODIUM_CHANNEL_COMPLEX",15,0,0.6,"Up",0.007,0.171068181818182
"GO_NEURON_PROJECTION_MEMBRANE",33,0.0606060606060606,0.484848484848485,"Up",0.007,0.171068181818182
"GO_PHOTORECEPTOR_INNER_SEGMENT",34,0.0588235294117647,0.382352941176471,"Up",0.007,0.171068181818182
"GO_ENDOPLASMIC_RETICULUM_LUMEN",176,0.193181818181818,0.0738636363636364,"Down",0.007,0.171068181818182
"GO_MIDBODY",123,0.16260162601626,0.0650406504065041,"Down",0.007,0.171068181818182
"GO_TOR_COMPLEX",13,0.230769230769231,0,"Down",0.008,0.171890625
"GO_MITOCHONDRIAL_MATRIX",374,0.181818181818182,0.0401069518716578,"Down",0.008,0.171890625
"GO_MICROBODY_LUMEN",42,0.357142857142857,0.0238095238095238,"Down",0.009,0.171890625
"GO_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX",11,0.272727272727273,0,"Down",0.009,0.171890625
"GO_VACUOLAR_LUMEN",100,0.26,0.03,"Down",0.009,0.171890625
"GO_EXOCYST",17,0.176470588235294,0,"Down",0.009,0.171890625
"GO_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX",13,0,0.615384615384615,"Up",0.01,0.171890625
"GO_DENSE_CORE_GRANULE",13,0,0.538461538461538,"Up",0.01,0.171890625
"GO_TERMINAL_BOUTON",63,0.0634920634920635,0.428571428571429,"Up",0.01,0.171890625
"GO_SAGA_COMPLEX",8,0,0.25,"Up",0.01,0.171890625
"GO_EXOCYTIC_VESICLE_MEMBRANE",55,0.0363636363636364,0.509090909090909,"Up",0.012,0.1737
"GO_DESMOSOME",25,0,0.32,"Up",0.012,0.1737
"GO_MICROBODY_PART",89,0.235955056179775,0.0561797752808989,"Down",0.012,0.1737
"GO_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX",11,0.636363636363636,0,"Down",0.013,0.1737
"GO_NEURONAL_CELL_BODY_MEMBRANE",20,0,0.45,"Up",0.013,0.1737
"GO_NEURON_PROJECTION_TERMINUS",125,0.072,0.44,"Up",0.013,0.1737
"GO_MICROVILLUS_MEMBRANE",16,0.4375,0.0625,"Down",0.013,0.1737
"GO_EXOCYTIC_VESICLE",140,0.0857142857142857,0.4,"Up",0.013,0.1737
"GO_PODOSOME",23,0.130434782608696,0,"Down",0.013,0.1737
"GO_NBAF_COMPLEX",14,0,0.285714285714286,"Up",0.014,0.1737
"GO_LYSOSOMAL_LUMEN",80,0.25,0.025,"Down",0.014,0.1737
"GO_POLE_PLASM",13,0,0.230769230769231,"Up",0.014,0.1737
"GO_COMPACT_MYELIN",14,0.214285714285714,0.142857142857143,"Down",0.014,0.1737
"GO_TELOMERE_CAP_COMPLEX",11,0.0909090909090909,0.181818181818182,"Up",0.015,0.182510869565217
"GO_CATION_CHANNEL_COMPLEX",150,0.0266666666666667,0.373333333333333,"Up",0.016,0.18696875
"GO_GOLGI_CISTERNA",83,0.228915662650602,0.072289156626506,"Down",0.016,0.18696875
