"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_INHIBITORY_SYNAPSE",12,0,0.583333333333333,"Up",0.001,0.072375,"ENSMUSG00000026787, ENSMUSG00000037771, ENSMUSG00000037995, ENSMUSG00000040797, ENSMUSG00000020728","Gad2, Slc32a1, Igsf9, Iqsec3, Cep112"
"GO_KERATIN_FILAMENT",17,0,0.352941176470588,"Up",0.001,0.072375,"ENSMUSG00000063661, ENSMUSG00000061397, ENSMUSG00000005355, ENSMUSG00000045545","Krt73, Krt79, Casp14, Krt14"
"GO_CELL_DIVISION_SITE",49,0.204081632653061,0.102040816326531,"Down",0.001,0.072375,"ENSMUSG00000022836, ENSMUSG00000023022, ENSMUSG00000007815, ENSMUSG00000036777, ENSMUSG00000025809, ENSMUSG00000024236, ENSMUSG00000002233, ENSMUSG00000026276, ENSMUSG00000022678, ENSMUSG00000022443","Mylk, Lima1, Rhoa, Anln, Itgb1, Svil, Rhoc, Sept2, Nde1, Myh9"
"GO_ENDOPLASMIC_RETICULUM",1378,0.191582002902758,0.10377358490566,"Down",0.001,0.072375,"ENSMUSG00000046324, ENSMUSG00000023010, ENSMUSG00000005615, ENSMUSG00000020821, ENSMUSG00000025130, ENSMUSG00000030538, ENSMUSG00000014748, ENSMUSG00000026848, ENSMUSG00000026880, ENSMUSG00000019055, ENSMUSG00000022769, ENSMUSG00000021120, ENSMUSG00000017747, ENSMUSG00000010830, ENSMUSG00000037278, ENSMUSG00000033933, ENSMUSG00000026385, ENSMUSG00000035413, ENSMUSG00000021484, ENSMUSG00000024982, ENSMUSG00000040997, ENSMUSG00000026942, ENSMUSG00000035206, ENSMUSG00000073982, ENSMUSG00000025236, ENSMUSG00000059447, ENSMUSG00000056220, ENSMUSG00000032116, ENSMUSG00000050103, ENSMUSG00000038417, ENSMUSG00000036594, ENSMUSG00000022174, ENSMUSG00000057789, ENSMUSG00000030559, ENSMUSG00000025289, ENSMUSG00000020576, ENSMUSG00000028567, ENSMUSG00000034126, ENSMUSG00000025572, ENSMUSG00000029233, ENSMUSG00000039908, ENSMUSG00000019916, ENSMUSG00000028173, ENSMUSG00000024413, ENSMUSG00000023272, ENSMUSG00000022614, ENSMUSG00000018171, ENSMUSG00000079057, ENSMUSG00000002778, ENSMUSG00000062169, ENSMUSG00000056666, ENSMUSG00000096145, ENSMUSG00000019539, ENSMUSG00000073421, ENSMUSG00000021257, ENSMUSG00000038803, ENSMUSG00000033809, ENSMUSG00000064090, ENSMUSG00000034473, ENSMUSG00000037820, ENSMUSG00000037720, ENSMUSG00000032383, ENSMUSG00000026471, ENSMUSG00000039529, ENSMUSG00000027712, ENSMUSG00000034793, ENSMUSG00000042737, ENSMUSG00000004880, ENSMUSG00000021256, ENSMUSG00000030062, ENSMUSG00000031232, ENSMUSG00000060675, ENSMUSG00000021696, ENSMUSG00000027422, ENSMUSG00000030287, ENSMUSG00000031521, ENSMUSG00000044080, ENSMUSG00000039427, ENSMUSG00000020609, ENSMUSG00000025935, ENSMUSG00000025823, ENSMUSG00000006345, ENSMUSG00000004035, ENSMUSG00000036908, ENSMUSG00000037089, ENSMUSG00000027248, ENSMUSG00000006519, ENSMUSG00000002332, ENSMUSG00000002308, ENSMUSG00000020571, ENSMUSG00000024875, ENSMUSG00000024516, ENSMUSG00000030298, ENSMUSG00000030560, ENSMUSG00000022210, ENSMUSG00000027195, ENSMUSG00000048126, ENSMUSG00000024913, ENSMUSG00000025538, ENSMUSG00000021583, ENSMUSG00000043257, ENSMUSG00000079111, ENSMUSG00000015090, ENSMUSG00000004460, ENSMUSG00000029338, ENSMUSG00000021468, ENSMUSG00000041355, ENSMUSG00000020260, ENSMUSG00000006390, ENSMUSG00000022548, ENSMUSG00000038648, ENSMUSG00000025381, ENSMUSG00000043207, ENSMUSG00000047719, ENSMUSG00000032180, ENSMUSG00000025353, ENSMUSG00000048310, ENSMUSG00000028621, ENSMUSG00000009563, ENSMUSG00000005413, ENSMUSG00000001211, ENSMUSG00000041765, ENSMUSG00000036078, ENSMUSG00000038776, ENSMUSG00000004270, ENSMUSG00000027187, ENSMUSG00000007655, ENSMUSG00000061731, ENSMUSG00000002279, ENSMUSG00000021036, ENSMUSG00000028405, ENSMUSG00000026923, ENSMUSG00000052310, ENSMUSG00000019295, ENSMUSG00000019873, ENSMUSG00000035845, ENSMUSG00000028088, ENSMUSG00000026600, ENSMUSG00000021592, ENSMUSG00000022885, ENSMUSG00000039328, ENSMUSG00000022867, ENSMUSG00000034659, ENSMUSG00000031751, ENSMUSG00000020282, ENSMUSG00000041084, ENSMUSG00000060519, ENSMUSG00000021242, ENSMUSG00000050565, ENSMUSG00000029999, ENSMUSG00000027642, ENSMUSG00000027695, ENSMUSG00000025359, ENSMUSG00000007815, ENSMUSG00000036632, ENSMUSG00000078201, ENSMUSG00000026473, ENSMUSG00000035227, ENSMUSG00000022125, ENSMUSG00000022912, ENSMUSG00000015750, ENSMUSG00000026663, ENSMUSG00000069763, ENSMUSG00000026698, ENSMUSG00000000420, ENSMUSG00000025607, ENSMUSG00000024357, ENSMUSG00000033174, ENSMUSG00000064246, ENSMUSG00000094724, ENSMUSG00000052428, ENSMUSG00000027198, ENSMUSG00000026142, ENSMUSG00000060802, ENSMUSG00000042289, ENSMUSG00000028655, ENSMUSG00000029086","Ermp1, Tmbim6, Pcyt1a, Kif1c, P4hb, Cib1, Tex261, Tor1b, Stom, Plod1, Sdf2l1, Pigh, Ghdc, Kdelr3, Tmem97, Vhl, Dbi, Tmem98, Lman2, Zdhhc6, Abhd4, Traf2, Sppl2b, Rhog, Adpgk, Hadhb, Pla2g4a, Stt3a, Agmo, Fig4, H2-Aa, Dad1, Bak1, Rab38, Prdx4, Nbas, Txndc12, Pomt2, Tmc6, Srd5a3, Slc26a11, P4ha1, Wls, Npc1, Creld2, Lmf2, Vmp1, Cyp4v3, Kdelr1, Cnih4, Retsat, Vkorc1, Rcn3, H2-Ab1, Angel1, Ost4, Alg3, Vrk2, Sec22a, Tgm2, Tmem33, Ppib, Mr1, Atp8b1, Anxa5, G6pc3, Dpm3, Lbr, Vash1, Rpn1, Magt1, Pla2g16, Elovl7, Rrbp1, Itpr2, Aga, S100a1, Alg1, Apob, Tram1, Pdia4, Ggt1, Gstm7, Unc93b1, Slc35b2, Pdia3, Cyba, Dhrs1, Cd320, Pdia6, Yif1a, Sec11c, Sec13, Ctsc, Dhrs4, Hsd17b12, Col6a3, Lrp5, Sumf2, Erap1, Pigv, Kdelr2, Ptgds, Dnajb11, Antxr2, Sptlc1, Ssr2, Pofut2, Elovl1, Apod, Creb3l2, Cnpy2, Zmpste24, Ubiad1, Tmed1, Ormdl2, Pskh1, Cyb5rl, Tor2a, Hmox1, Agpat3, Ubac2, Sigmar1, Ephx1, Lpcat3, Cat, Cav1, Ext1, Lmf1, Sptlc2, Aco1, Notch1, Slc39a1, Tmem129, Reep3, Alg12, Fmo5, Soat1, Arsk, St6gal1, Rnf122, Usp25, Tmem109, Amfr, Rhbdf1, Ostc, Tor3a, Npc2, Tor1aip2, Tgfa, Rpn2, Pld1, Pmel, Rhoa, Alg5, Tmem203, Glul, Spcs2, Cln5, Pros1, Aph1a, Atf6, Tmem100, Pigc, Galnt1, Copg2, Sil1, Mgll, Chil1, Rnaset2b, Tmco1, Ext2, Rhbdd1, B2m, Hsd3b7, Mfsd2a, Prom1"
"GO_CLATHRIN_SCULPTED_VESICLE",12,0,0.75,"Up",0.002,0.124071428571429,"ENSMUSG00000031840, ENSMUSG00000026787, ENSMUSG00000070880, ENSMUSG00000037771, ENSMUSG00000100241","Rab3a, Gad2, Gad1, Slc32a1, Slc18a3"
"GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",17,0,0.588235294117647,"Up",0.002,0.124071428571429,"ENSMUSG00000035200, ENSMUSG00000008590, ENSMUSG00000031492, ENSMUSG00000027950, ENSMUSG00000019790, ENSMUSG00000032269","Chrnb4, Htr3b, Chrnb3, Chrnb2, Stxbp5, Htr3a"
"GO_ENDOPLASMIC_RETICULUM_PART",984,0.205284552845528,0.0914634146341463,"Down",0.002,0.124071428571429,"ENSMUSG00000032116, ENSMUSG00000050103, ENSMUSG00000056220, ENSMUSG00000035206, ENSMUSG00000073982, ENSMUSG00000022174, ENSMUSG00000036594, ENSMUSG00000029233, ENSMUSG00000025572, ENSMUSG00000028567, ENSMUSG00000034126, ENSMUSG00000020576, ENSMUSG00000022614, ENSMUSG00000028173, ENSMUSG00000019916, ENSMUSG00000023010, ENSMUSG00000046324, ENSMUSG00000005615, ENSMUSG00000026848, ENSMUSG00000014748, ENSMUSG00000025130, ENSMUSG00000026385, ENSMUSG00000010830, ENSMUSG00000022769, ENSMUSG00000021120, ENSMUSG00000019055, ENSMUSG00000040997, ENSMUSG00000026942, ENSMUSG00000024982, ENSMUSG00000021484, ENSMUSG00000025823, ENSMUSG00000025935, ENSMUSG00000020609, ENSMUSG00000024516, ENSMUSG00000024875, ENSMUSG00000020571, ENSMUSG00000006519, ENSMUSG00000027248, ENSMUSG00000037089, ENSMUSG00000036908, ENSMUSG00000030560, ENSMUSG00000030298, ENSMUSG00000096145, ENSMUSG00000056666, ENSMUSG00000002778, ENSMUSG00000079057, ENSMUSG00000034473, ENSMUSG00000064090, ENSMUSG00000033809, ENSMUSG00000038803, ENSMUSG00000019539, ENSMUSG00000073421, ENSMUSG00000034793, ENSMUSG00000026471, ENSMUSG00000037720, ENSMUSG00000032383, ENSMUSG00000021696, ENSMUSG00000027422, ENSMUSG00000030287, ENSMUSG00000004880, ENSMUSG00000030062, ENSMUSG00000031232, ENSMUSG00000042737, ENSMUSG00000028621, ENSMUSG00000048310, ENSMUSG00000025353, ENSMUSG00000032180, ENSMUSG00000036078, ENSMUSG00000001211, ENSMUSG00000041765, ENSMUSG00000005413, ENSMUSG00000009563, ENSMUSG00000039427, ENSMUSG00000002279, ENSMUSG00000021036, ENSMUSG00000061731, ENSMUSG00000007655, ENSMUSG00000004270, ENSMUSG00000038776, ENSMUSG00000019873, ENSMUSG00000019295, ENSMUSG00000052310, ENSMUSG00000026923, ENSMUSG00000021583, ENSMUSG00000025538, ENSMUSG00000048126, ENSMUSG00000027195, ENSMUSG00000022210, ENSMUSG00000029338, ENSMUSG00000004460, ENSMUSG00000015090, ENSMUSG00000079111, ENSMUSG00000043257, ENSMUSG00000020260, ENSMUSG00000006390, ENSMUSG00000041355, ENSMUSG00000021468, ENSMUSG00000047719, ENSMUSG00000043207, ENSMUSG00000038648, ENSMUSG00000026663, ENSMUSG00000015750, ENSMUSG00000022912, ENSMUSG00000094724, ENSMUSG00000024357, ENSMUSG00000033174, ENSMUSG00000025607, ENSMUSG00000000420, ENSMUSG00000026698, ENSMUSG00000060802, ENSMUSG00000027198, ENSMUSG00000026142, ENSMUSG00000052428, ENSMUSG00000028655, ENSMUSG00000042289, ENSMUSG00000021592, ENSMUSG00000026600, ENSMUSG00000028088, ENSMUSG00000035845, ENSMUSG00000031751, ENSMUSG00000034659, ENSMUSG00000027642, ENSMUSG00000029999, ENSMUSG00000050565, ENSMUSG00000020282, ENSMUSG00000041084, ENSMUSG00000060519, ENSMUSG00000035227, ENSMUSG00000078201, ENSMUSG00000036632, ENSMUSG00000007815, ENSMUSG00000025359, ENSMUSG00000027695","Stt3a, Agmo, Pla2g4a, Sppl2b, Rhog, Dad1, H2-Aa, Srd5a3, Tmc6, Txndc12, Pomt2, Nbas, Lmf2, Wls, P4ha1, Tmbim6, Ermp1, Pcyt1a, Tor1b, Tex261, P4hb, Dbi, Kdelr3, Sdf2l1, Pigh, Plod1, Abhd4, Traf2, Zdhhc6, Lman2, Pdia4, Tram1, Apob, Sec11c, Yif1a, Pdia6, Cyba, Pdia3, Slc35b2, Unc93b1, Ctsc, Sec13, Vkorc1, Retsat, Kdelr1, Cyp4v3, Sec22a, Vrk2, Alg3, Ost4, Rcn3, H2-Ab1, G6pc3, Mr1, Tmem33, Ppib, Elovl7, Rrbp1, Itpr2, Lbr, Rpn1, Magt1, Dpm3, Cyb5rl, Pskh1, Ormdl2, Tmed1, Sigmar1, Agpat3, Ubac2, Hmox1, Tor2a, Alg1, Lmf1, Sptlc2, Ext1, Cav1, Lpcat3, Ephx1, Reep3, Tmem129, Slc39a1, Notch1, Erap1, Sumf2, Col6a3, Hsd17b12, Dhrs4, Antxr2, Dnajb11, Ptgds, Kdelr2, Pigv, Pofut2, Elovl1, Ssr2, Sptlc1, Ubiad1, Zmpste24, Creb3l2, Atf6, Aph1a, Pros1, Rnaset2b, Sil1, Mgll, Copg2, Galnt1, Pigc, B2m, Ext2, Rhbdd1, Tmco1, Mfsd2a, Hsd3b7, Arsk, Soat1, Fmo5, Alg12, Amfr, Tmem109, Rpn2, Tgfa, Tor1aip2, Rhbdf1, Ostc, Tor3a, Spcs2, Tmem203, Alg5, Rhoa, Pmel, Pld1"
"GO_LIPID_PARTICLE",55,0.254545454545455,0.0727272727272727,"Down",0.003,0.14475,"ENSMUSG00000007655, ENSMUSG00000024197, ENSMUSG00000019173, ENSMUSG00000027164, ENSMUSG00000036078, ENSMUSG00000016128, ENSMUSG00000040997, ENSMUSG00000029311, ENSMUSG00000005981, ENSMUSG00000009633","Cav1, Plin3, Rab5c, Traf6, Sigmar1, Stard13, Abhd4, Hsd17b11, Trap1, G0s2"
"GO_SWI_SNF_COMPLEX",14,0,0.142857142857143,"Up",0.003,0.14475,"ENSMUSG00000029712, ENSMUSG00000069729","Actl6b, Arid1b"
"GO_DENDRITE_MEMBRANE",18,0.111111111111111,0.444444444444444,"Up",0.004,0.14475,"ENSMUSG00000000120, ENSMUSG00000000766, ENSMUSG00000050511, ENSMUSG00000020524, ENSMUSG00000005952","Ngfr, Oprm1, Oprd1, Gria1, Trpv1"
