"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_RAGE_RECEPTOR_BINDING",8,0.625,0,"Down",0.001,0.023025
"GO_SODIUM_CHANNEL_ACTIVITY",29,0.0344827586206897,0.517241379310345,"Up",0.001,0.023025
"GO_TRANSLATION_REPRESSOR_ACTIVITY",19,0,0.473684210526316,"Up",0.001,0.023025
"GO_FATTY_ACYL_COA_BINDING",30,0.466666666666667,0.0666666666666667,"Down",0.001,0.023025
"GO_TRANSLATION_REGULATOR_ACTIVITY",32,0.0625,0.375,"Up",0.001,0.023025
"GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING",16,0.125,0.375,"Up",0.001,0.023025
"GO_HYDRO_LYASE_ACTIVITY",40,0.35,0.075,"Down",0.001,0.023025
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS",25,0.28,0.04,"Down",0.001,0.023025
"GO_CARBON_OXYGEN_LYASE_ACTIVITY",60,0.266666666666667,0.0666666666666667,"Down",0.001,0.023025
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING",39,0.256410256410256,0,"Down",0.001,0.023025
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR",16,0.25,0,"Down",0.001,0.023025
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_OH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR",90,0.244444444444444,0.0555555555555556,"Down",0.001,0.023025
"GO_LYASE_ACTIVITY",155,0.232258064516129,0.109677419354839,"Down",0.001,0.023025
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR",19,0.210526315789474,0.0526315789473684,"Down",0.001,0.023025
"GO_COFACTOR_BINDING",238,0.205882352941176,0.0840336134453782,"Down",0.001,0.023025
"GO_OXIDOREDUCTASE_ACTIVITY",590,0.166101694915254,0.0864406779661017,"Down",0.001,0.023025
