"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_RAGE_RECEPTOR_BINDING",8,0.625,0,"Down",0.001,0.023025,"ENSMUSG00000042312, ENSMUSG00000056071, ENSMUSG00000056054, ENSMUSG00000054717, ENSMUSG00000001020","S100a13, S100a9, S100a8, Hmgb2, S100a4"
"GO_SODIUM_CHANNEL_ACTIVITY",29,0.0344827586206897,0.517241379310345,"Up",0.001,0.023025,"ENSMUSG00000032338, ENSMUSG00000075316, ENSMUSG00000030873, ENSMUSG00000021730, ENSMUSG00000049281","Hcn4, Scn9a, Scnn1b, Hcn1, Scn3b"
"GO_TRANSLATION_REPRESSOR_ACTIVITY",19,0,0.473684210526316,"Up",0.001,0.023025,"ENSMUSG00000043991, ENSMUSG00000024268, ENSMUSG00000072437, ENSMUSG00000025586, ENSMUSG00000039652, ENSMUSG00000045193","Pura, Celf4, Nanos1, Cpeb1, Cpeb3, Cirbp"
"GO_FATTY_ACYL_COA_BINDING",30,0.466666666666667,0.0666666666666667,"Down",0.001,0.023025,"ENSMUSG00000021238, ENSMUSG00000062908, ENSMUSG00000021417, ENSMUSG00000018574, ENSMUSG00000028603, ENSMUSG00000029545, ENSMUSG00000026385, ENSMUSG00000028672, ENSMUSG00000025745, ENSMUSG00000026600, ENSMUSG00000026003, ENSMUSG00000090150","Aldh6a1, Acadm, Eci2, Acadvl, Scp2, Acads, Dbi, Hmgcl, Hadha, Soat1, Acadl, Acad11"
"GO_TRANSLATION_REGULATOR_ACTIVITY",32,0.0625,0.375,"Up",0.001,0.023025,"ENSMUSG00000045193, ENSMUSG00000033581, ENSMUSG00000025586, ENSMUSG00000043991, ENSMUSG00000039652, ENSMUSG00000024268, ENSMUSG00000072437","Cirbp, Igf2bp2, Cpeb1, Pura, Cpeb3, Celf4, Nanos1"
"GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING",16,0.125,0.375,"Up",0.001,0.023025,"ENSMUSG00000039652, ENSMUSG00000043991, ENSMUSG00000025586, ENSMUSG00000024268","Cpeb3, Pura, Cpeb1, Celf4"
"GO_HYDRO_LYASE_ACTIVITY",40,0.35,0.075,"Down",0.001,0.023025,"ENSMUSG00000028972, ENSMUSG00000059447, ENSMUSG00000025465, ENSMUSG00000028405, ENSMUSG00000027562, ENSMUSG00000024507, ENSMUSG00000025745, ENSMUSG00000022130, ENSMUSG00000059040, ENSMUSG00000022853, ENSMUSG00000026526, ENSMUSG00000032126","Car6, Hadhb, Echs1, Aco1, Car2, Hsd17b4, Hadha, Tgds, Eno1b, Ehhadh, Fh1, Hmbs"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS",25,0.28,0.04,"Down",0.001,0.023025,"ENSMUSG00000026520, ENSMUSG00000021707, ENSMUSG00000021048, ENSMUSG00000009614, ENSMUSG00000027333","Pycr2, Dhfr, Mthfd1, Sardh, Smox"
"GO_CARBON_OXYGEN_LYASE_ACTIVITY",60,0.266666666666667,0.0666666666666667,"Down",0.001,0.023025,"ENSMUSG00000032126, ENSMUSG00000026526, ENSMUSG00000059040, ENSMUSG00000025745, ENSMUSG00000022130, ENSMUSG00000041429, ENSMUSG00000027562, ENSMUSG00000025465, ENSMUSG00000028972, ENSMUSG00000030271, ENSMUSG00000022853, ENSMUSG00000024507, ENSMUSG00000059447, ENSMUSG00000028405","Hmbs, Fh1, Eno1b, Hadha, Tgds, Nthl1, Car2, Echs1, Car6, Ogg1, Ehhadh, Hsd17b4, Hadhb, Aco1"
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING",39,0.256410256410256,0,"Down",0.001,0.023025,"ENSMUSG00000022503, ENSMUSG00000038644, ENSMUSG00000028405, ENSMUSG00000041429, ENSMUSG00000056310","Nubp1, Pold1, Aco1, Nthl1, Tyw1"
