"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_UNWINDING_OF_DNA",11,0,0.545454545454545,"Up",0.004,0.952064606741573
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",21,0,0.285714285714286,"Up",0.005,0.952064606741573
"KEGG_TYROSINE_METABOLISM",37,0.0540540540540541,0,"Down",0.005,0.952064606741573
"REACTOME_DNA_STRAND_ELONGATION",30,0,0.433333333333333,"Up",0.007,0.952064606741573
"REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING",21,0.0476190476190476,0.0476190476190476,"Down",0.008,0.952064606741573
"BIOCARTA_FIBRINOLYSIS_PATHWAY",11,0.181818181818182,0,"Down",0.01,0.952064606741573
"REACTOME_CS_DS_DEGRADATION",12,0.0833333333333333,0.25,"Up",0.012,0.952064606741573
"PID_SYNDECAN_3_PATHWAY",16,0,0.3125,"Up",0.013,0.952064606741573
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",29,0.103448275862069,0,"Down",0.016,0.952064606741573
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",34,0.0882352941176471,0,"Down",0.016,0.952064606741573
"PID_ARF6_PATHWAY",34,0.0588235294117647,0.0588235294117647,"Down",0.016,0.952064606741573
"REACTOME_EXTENSION_OF_TELOMERES",27,0,0.296296296296296,"Up",0.017,0.952064606741573
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",18,0,0.277777777777778,"Up",0.018,0.952064606741573
"PID_ERBB2_ERBB3_PATHWAY",44,0.0227272727272727,0.0454545454545455,"Down",0.019,0.952064606741573
"KEGG_ENDOMETRIAL_CANCER",52,0.0384615384615385,0,"Down",0.019,0.952064606741573
"REACTOME_PIP3_ACTIVATES_AKT_SIGNALING",27,0.037037037037037,0,"Down",0.021,0.952064606741573
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",29,0,0.379310344827586,"Up",0.022,0.952064606741573
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",46,0.0217391304347826,0.239130434782609,"Up",0.022,0.952064606741573
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",53,0.0566037735849057,0,"Down",0.024,0.952064606741573
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",65,0.0307692307692308,0,"Down",0.024,0.952064606741573
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",7,0.142857142857143,0,"Down",0.025,0.952064606741573
"PID_NCADHERIN_PATHWAY",33,0.0303030303030303,0,"Down",0.025,0.952064606741573
"PID_ERBB1_INTERNALIZATION_PATHWAY",41,0.024390243902439,0.024390243902439,"Down",0.025,0.952064606741573
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",35,0,0.314285714285714,"Up",0.026,0.952064606741573
"REACTOME_KERATAN_SULFATE_DEGRADATION",10,0,0.3,"Up",0.026,0.952064606741573
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",18,0.111111111111111,0,"Down",0.026,0.952064606741573
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",15,0,0.333333333333333,"Up",0.029,0.952064606741573
"REACTOME_GLYCOLYSIS",25,0.08,0,"Down",0.029,0.952064606741573
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",15,0,0.133333333333333,"Up",0.031,0.952064606741573
"REACTOME_LAGGING_STRAND_SYNTHESIS",19,0,0.368421052631579,"Up",0.032,0.952064606741573
"REACTOME_POL_SWITCHING",13,0,0.461538461538462,"Up",0.034,0.952064606741573
"KEGG_DNA_REPLICATION",35,0,0.371428571428571,"Up",0.034,0.952064606741573
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",25,0,0.32,"Up",0.034,0.952064606741573
"REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS",15,0.0666666666666667,0,"Down",0.034,0.952064606741573
"KEGG_ONE_CARBON_POOL_BY_FOLATE",17,0,0,"Up",0.036,0.952064606741573
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",13,0.153846153846154,0,"Down",0.038,0.952064606741573
"KEGG_BLADDER_CANCER",38,0.0789473684210526,0,"Down",0.038,0.952064606741573
"REACTOME_BIOLOGICAL_OXIDATIONS",79,0.0759493670886076,0.0506329113924051,"Down",0.039,0.952064606741573
"REACTOME_GLUCURONIDATION",6,0,0.166666666666667,"Up",0.042,0.952064606741573
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",19,0.105263157894737,0,"Down",0.043,0.952064606741573
"BIOCARTA_STEM_PATHWAY",11,0.181818181818182,0,"Down",0.044,0.952064606741573
"REACTOME_PYRIMIDINE_METABOLISM",22,0,0.136363636363636,"Up",0.044,0.952064606741573
"REACTOME_PACKAGING_OF_TELOMERE_ENDS",19,0.157894736842105,0,"Down",0.047,0.952064606741573
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",48,0.0416666666666667,0,"Down",0.049,0.952064606741573
"REACTOME_SYNTHESIS_OF_PE",10,0.1,0,"Down",0.05,0.952064606741573
"REACTOME_PYRUVATE_METABOLISM",18,0.0555555555555556,0,"Down",0.051,0.952064606741573
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",12,0.166666666666667,0,"Down",0.052,0.952064606741573
"BIOCARTA_BIOPEPTIDES_PATHWAY",38,0.0526315789473684,0,"Down",0.052,0.952064606741573
"REACTOME_BOTULINUM_NEUROTOXICITY",17,0.0588235294117647,0,"Down",0.053,0.952064606741573
"PID_PI3KCI_AKT_PATHWAY",35,0.0285714285714286,0.0285714285714286,"Down",0.054,0.952064606741573
"KEGG_HISTIDINE_METABOLISM",26,0.0384615384615385,0,"Down",0.055,0.952064606741573
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",23,0.0434782608695652,0.217391304347826,"Up",0.057,0.952064606741573
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",15,0.0666666666666667,0,"Down",0.057,0.952064606741573
"SA_PTEN_PATHWAY",17,0.0588235294117647,0,"Down",0.057,0.952064606741573
"REACTOME_G2_M_CHECKPOINTS",41,0,0.317073170731707,"Up",0.058,0.952064606741573
"REACTOME_GAP_JUNCTION_DEGRADATION",9,0,0,"Down",0.061,0.952064606741573
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",22,0.0909090909090909,0.0454545454545455,"Down",0.062,0.952064606741573
"BIOCARTA_MCALPAIN_PATHWAY",24,0.0416666666666667,0,"Down",0.062,0.952064606741573
"REACTOME_GAB1_SIGNALOSOME",36,0.0277777777777778,0.0277777777777778,"Down",0.062,0.952064606741573
"KEGG_PHENYLALANINE_METABOLISM",16,0,0.0625,"Down",0.063,0.952064606741573
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1",11,0,0.181818181818182,"Up",0.064,0.952064606741573
"BIOCARTA_IGF1_PATHWAY",21,0.0476190476190476,0,"Down",0.064,0.952064606741573
"PID_S1P_S1P4_PATHWAY",14,0.0714285714285714,0,"Down",0.065,0.952064606741573
"PID_EPHB_FWD_PATHWAY",38,0.0263157894736842,0.0263157894736842,"Down",0.065,0.952064606741573
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",103,0.029126213592233,0.194174757281553,"Up",0.066,0.952064606741573
"BIOCARTA_MYOSIN_PATHWAY",30,0.1,0,"Down",0.066,0.952064606741573
"REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING",41,0.024390243902439,0.024390243902439,"Down",0.066,0.952064606741573
"BIOCARTA_CELL2CELL_PATHWAY",14,0.0714285714285714,0.0714285714285714,"Down",0.067,0.952064606741573
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL",12,0,0,"Down",0.067,0.952064606741573
"REACTOME_DSCAM_INTERACTIONS",11,0,0.363636363636364,"Up",0.069,0.952064606741573
"BIOCARTA_MCM_PATHWAY",18,0,0.333333333333333,"Up",0.07,0.952064606741573
"REACTOME_PYRIMIDINE_CATABOLISM",10,0,0.2,"Up",0.073,0.952064606741573
"PID_MTOR_4PATHWAY",68,0.0294117647058824,0,"Down",0.076,0.952064606741573
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",51,0.0392156862745098,0.0196078431372549,"Down",0.078,0.952064606741573
"REACTOME_PI_METABOLISM",47,0.0638297872340425,0,"Down",0.079,0.952064606741573
"PID_HDAC_CLASSI_PATHWAY",64,0.03125,0,"Down",0.08,0.952064606741573
"REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN",20,0,0,"Down",0.08,0.952064606741573
"REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",14,0,0.357142857142857,"Up",0.082,0.952064606741573
"REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION",35,0.0571428571428571,0.0285714285714286,"Down",0.082,0.952064606741573
"REACTOME_SIGNALING_BY_ERBB4",81,0.0246913580246914,0.0246913580246914,"Down",0.082,0.952064606741573
"BIOCARTA_SRCRPTP_PATHWAY",11,0,0.272727272727273,"Up",0.083,0.952064606741573
"PID_ATR_PATHWAY",39,0,0.256410256410256,"Up",0.083,0.952064606741573
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",13,0.153846153846154,0.0769230769230769,"Down",0.083,0.952064606741573
"PID_HDAC_CLASSIII_PATHWAY",23,0,0.0434782608695652,"Down",0.084,0.952064606741573
"KEGG_ENDOCYTOSIS",159,0.0377358490566038,0.0314465408805031,"Down",0.085,0.952064606741573
"REACTOME_PI3K_AKT_ACTIVATION",36,0.0277777777777778,0.0277777777777778,"Down",0.085,0.952064606741573
"REACTOME_APOPTOTIC_EXECUTION_PHASE",50,0.12,0.08,"Down",0.086,0.952064606741573
