"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS",15,0.333333333333333,0,"Down",0.001,0.9995,"ENSMUSG00000027313, ENSMUSG00000002797, ENSMUSG00000040471","Chac1, Ggct, Ggt6"
"GO_REGULATION_OF_MICROVILLUS_ORGANIZATION",13,0.0769230769230769,0.0769230769230769,"Down",0.001,0.9995,"ENSMUSG00000034918","Cdhr2"
"GO_DERMATAN_SULFATE_METABOLIC_PROCESS",13,0,0.384615384615385,"Up",0.002,0.9995,"ENSMUSG00000019929, ENSMUSG00000032911, ENSMUSG00000032482","Dcn, Cspg4, Cspg5"
"GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS",16,0,0.3125,"Up",0.002,0.9995,"ENSMUSG00000019929, ENSMUSG00000032482, ENSMUSG00000032911","Dcn, Cspg5, Cspg4"
"GO_POLYOL_METABOLIC_PROCESS",85,0.0470588235294118,0.0117647058823529,"Down",0.002,0.9995,"ENSMUSG00000025477","Inpp5a"
"GO_NEGATIVE_REGULATION_OF_AUTOPHAGY",46,0.0217391304347826,0,"Down",0.002,0.9995,"",""
"GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE",25,0.2,0,"Down",0.004,0.9995,"ENSMUSG00000005087, ENSMUSG00000003190","Cd44, Bcl2l12"
"GO_CYTOKINETIC_PROCESS",14,0,0.142857142857143,"Up",0.004,0.9995,"ENSMUSG00000023015","Racgap1"
"GO_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",10,0,0.3,"Up",0.005,0.9995,"ENSMUSG00000016918, ENSMUSG00000036856","Sulf1, Wnt4"
"GO_SULFUR_COMPOUND_CATABOLIC_PROCESS",36,0.0555555555555556,0.222222222222222,"Up",0.006,0.9995,"ENSMUSG00000032911, ENSMUSG00000032482, ENSMUSG00000030607, ENSMUSG00000033022, ENSMUSG00000019929, ENSMUSG00000036446, ENSMUSG00000041577","Cspg4, Cspg5, Acan, Cdo1, Dcn, Lum, Prelp"
"GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS",16,0.0625,0,"Down",0.006,0.9995,"ENSMUSG00000070644","Etnk2"
