"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MCM_COMPLEX",11,0,0.545454545454545,"Up",0.001,0.2895
"GO_BANDED_COLLAGEN_FIBRIL",12,0,0.583333333333333,"Up",0.003,0.6755
"GO_PSEUDOPODIUM",15,0.2,0,"Down",0.004,0.6755
"GO_ENDOPLASMIC_RETICULUM_SUBCOMPARTMENT",15,0.0666666666666667,0,"Down",0.006,0.7527
"GO_COATED_PIT",64,0.0625,0.03125,"Down",0.007,0.7527
"GO_SMOOTH_ENDOPLASMIC_RETICULUM",31,0.0645161290322581,0,"Down",0.01,0.91675
"GO_LAMELLIPODIUM_MEMBRANE",18,0,0.277777777777778,"Up",0.02,0.995981578947368
"GO_BRUSH_BORDER",96,0.0520833333333333,0.0625,"Down",0.02,0.995981578947368
"GO_COMPLEX_OF_COLLAGEN_TRIMERS",23,0,0.478260869565217,"Up",0.021,0.995981578947368
"GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE",51,0.0784313725490196,0.0196078431372549,"Down",0.032,0.995981578947368
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE_MEMBRANE",15,0.0666666666666667,0,"Down",0.032,0.995981578947368
"GO_POLYSOME",34,0,0,"Down",0.035,0.995981578947368
"GO_ZYMOGEN_GRANULE",13,0.0769230769230769,0.0769230769230769,"Down",0.036,0.995981578947368
"GO_COLLAGEN_TRIMER",75,0.04,0.28,"Up",0.04,0.995981578947368
"GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK",11,0,0,"Down",0.045,0.995981578947368
"GO_U2_TYPE_PRESPLICEOSOME",16,0,0,"Down",0.049,0.995981578947368
"GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",16,0.125,0,"Down",0.05,0.995981578947368
"GO_PORE_COMPLEX",16,0.0625,0.0625,"Down",0.052,0.995981578947368
"GO_MICROVILLUS",66,0.0303030303030303,0.0757575757575758,"Down",0.055,0.995981578947368
"GO_MYOFILAMENT",23,0.0869565217391304,0.0434782608695652,"Down",0.059,0.995981578947368
"GO_FIBRIL",12,0,0.25,"Up",0.06,0.995981578947368
"GO_SPINDLE_MIDZONE",25,0.04,0.24,"Up",0.061,0.995981578947368
"GO_CLATHRIN_COAT_OF_COATED_PIT",16,0.125,0,"Down",0.062,0.995981578947368
"GO_TCTN_B9D_COMPLEX",11,0,0.272727272727273,"Up",0.065,0.995981578947368
"GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS",128,0.0390625,0.0625,"Down",0.076,0.995981578947368
"GO_PERINUCLEAR_ENDOPLASMIC_RETICULUM",13,0.0769230769230769,0.153846153846154,"Up",0.087,0.995981578947368
"GO_HISTONE_DEACETYLASE_COMPLEX",57,0.0175438596491228,0,"Down",0.087,0.995981578947368
"GO_ACTIN_CYTOSKELETON",409,0.0440097799511002,0.0464547677261614,"Down",0.088,0.995981578947368
"GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",28,0,0,"Down",0.088,0.995981578947368
"GO_REPLICATION_FORK",60,0.0166666666666667,0.183333333333333,"Up",0.097,0.995981578947368
"GO_FANCONI_ANAEMIA_NUCLEAR_COMPLEX",8,0,0.25,"Up",0.101,0.995981578947368
"GO_SNARE_COMPLEX",50,0.04,0,"Down",0.103,0.995981578947368
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE",28,0.0357142857142857,0,"Down",0.103,0.995981578947368
"GO_CLATHRIN_ADAPTOR_COMPLEX",27,0.111111111111111,0,"Down",0.105,0.995981578947368
"GO_PRESPLICEOSOME",21,0,0,"Down",0.105,0.995981578947368
"GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",86,0.0116279069767442,0.232558139534884,"Up",0.107,0.995981578947368
"GO_OUTER_MEMBRANE",169,0.0236686390532544,0.029585798816568,"Down",0.109,0.995981578947368
"GO_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",36,0.0833333333333333,0,"Down",0.112,0.995981578947368
"GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE",11,0,0.272727272727273,"Up",0.114,0.995981578947368
"GO_COP9_SIGNALOSOME",30,0.0333333333333333,0,"Down",0.117,0.995981578947368
"GO_DNA_POLYMERASE_COMPLEX",13,0,0.230769230769231,"Up",0.119,0.995981578947368
"GO_PHOTORECEPTOR_OUTER_SEGMENT_MEMBRANE",13,0.0769230769230769,0.0769230769230769,"Down",0.12,0.995981578947368
"GO_GOLGI_LUMEN",68,0.0588235294117647,0.25,"Up",0.126,0.995981578947368
"GO_CYTOPLASMIC_DYNEIN_COMPLEX",15,0,0,"Down",0.126,0.995981578947368
"GO_CYTOPLASMIC_MICROTUBULE",50,0,0.14,"Up",0.129,0.995981578947368
"GO_REPLISOME",27,0,0.148148148148148,"Up",0.134,0.995981578947368
"GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",27,0,0.333333333333333,"Up",0.139,0.995981578947368
"GO_DYNEIN_COMPLEX",38,0.0789473684210526,0.0789473684210526,"Down",0.139,0.995981578947368
"GO_GOLGI_STACK",114,0.0175438596491228,0.0701754385964912,"Up",0.141,0.995981578947368
"GO_POLE_PLASM",13,0.0769230769230769,0,"Down",0.142,0.995981578947368
"GO_COATED_VESICLE_MEMBRANE",117,0.0427350427350427,0.0256410256410256,"Down",0.145,0.995981578947368
"GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE",38,0.0789473684210526,0.0263157894736842,"Down",0.146,0.995981578947368
"GO_MITOTIC_SPINDLE",50,0.02,0.1,"Up",0.147,0.995981578947368
"GO_NUCLEAR_NUCLEOSOME",10,0,0,"Down",0.15,0.995981578947368
"GO_ORGANELLE_MEMBRANE_CONTACT_SITE",11,0,0,"Down",0.154,0.995981578947368
"GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX",47,0,0.319148936170213,"Up",0.161,0.995981578947368
"GO_SPECIFIC_GRANULE",13,0.0769230769230769,0,"Down",0.162,0.995981578947368
"GO_ACTOMYOSIN",58,0.0517241379310345,0.0517241379310345,"Down",0.162,0.995981578947368
"GO_GOLGI_CISTERNA_MEMBRANE",66,0.0151515151515152,0.0606060606060606,"Up",0.163,0.995981578947368
"GO_RNA_CAP_BINDING_COMPLEX",11,0.0909090909090909,0,"Down",0.169,0.995981578947368
"GO_ACTIN_FILAMENT_BUNDLE",52,0.0384615384615385,0.0576923076923077,"Down",0.169,0.995981578947368
"GO_AUTOPHAGOSOME_MEMBRANE",25,0.04,0,"Down",0.169,0.995981578947368
"GO_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX",12,0,0.0833333333333333,"Up",0.174,0.995981578947368
"GO_PRIMARY_LYSOSOME",13,0.0769230769230769,0,"Down",0.174,0.995981578947368
