"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MCM_COMPLEX",11,0,0.545454545454545,"Up",0.001,0.2895,"ENSMUSG00000022673, ENSMUSG00000026355, ENSMUSG00000029730, ENSMUSG00000002870, ENSMUSG00000005410","Mcm4, Mcm6, Mcm7, Mcm2, Mcm5"
"GO_BANDED_COLLAGEN_FIBRIL",12,0,0.583333333333333,"Up",0.003,0.6755,"ENSMUSG00000001506, ENSMUSG00000036446, ENSMUSG00000026043, ENSMUSG00000029661","Col1a1, Lum, Col3a1, Col1a2"
"GO_PSEUDOPODIUM",15,0.2,0,"Down",0.004,0.6755,"ENSMUSG00000063065","Mapk3"
"GO_ENDOPLASMIC_RETICULUM_SUBCOMPARTMENT",15,0.0666666666666667,0,"Down",0.006,0.7527,"ENSMUSG00000007122","Casq1"
"GO_COATED_PIT",64,0.0625,0.03125,"Down",0.007,0.7527,"ENSMUSG00000068747, ENSMUSG00000028552, ENSMUSG00000037295","Sort1, Eps15, Ldlrap1"
"GO_SMOOTH_ENDOPLASMIC_RETICULUM",31,0.0645161290322581,0,"Down",0.01,0.91675,"ENSMUSG00000007122, ENSMUSG00000000214","Casq1, Th"
"GO_LAMELLIPODIUM_MEMBRANE",18,0,0.277777777777778,"Up",0.02,0.995981578947368,"ENSMUSG00000027087, ENSMUSG00000032911","Itgav, Cspg4"
"GO_BRUSH_BORDER",96,0.0520833333333333,0.0625,"Down",0.02,0.995981578947368,"ENSMUSG00000032220, ENSMUSG00000022565, ENSMUSG00000034918, ENSMUSG00000001827","Myo1e, Plec, Cdhr2, Folr1"
"GO_COMPLEX_OF_COLLAGEN_TRIMERS",23,0,0.478260869565217,"Up",0.021,0.995981578947368,"ENSMUSG00000026043, ENSMUSG00000036446, ENSMUSG00000029661, ENSMUSG00000001506, ENSMUSG00000019929","Col3a1, Lum, Col1a2, Col1a1, Dcn"
"GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE",51,0.0784313725490196,0.0196078431372549,"Down",0.032,0.995981578947368,"ENSMUSG00000032220, ENSMUSG00000045005, ENSMUSG00000028552, ENSMUSG00000037295","Myo1e, Fzd5, Eps15, Ldlrap1"
"GO_PRE_AUTOPHAGOSOMAL_STRUCTURE_MEMBRANE",15,0.0666666666666667,0,"Down",0.032,0.995981578947368,"",""
"GO_POLYSOME",34,0,0,"Down",0.035,0.995981578947368,"",""
"GO_ZYMOGEN_GRANULE",13,0.0769230769230769,0.0769230769230769,"Down",0.036,0.995981578947368,"ENSMUSG00000040205","Cuzd1"
"GO_COLLAGEN_TRIMER",75,0.04,0.28,"Up",0.04,0.995981578947368,"ENSMUSG00000058806, ENSMUSG00000026043, ENSMUSG00000019929, ENSMUSG00000001506, ENSMUSG00000024529, ENSMUSG00000029661, ENSMUSG00000045532, ENSMUSG00000036907, ENSMUSG00000036446, ENSMUSG00000034164, ENSMUSG00000049630","Col13a1, Col3a1, Dcn, Col1a1, Lox, Col1a2, C1ql1, C1ql2, Lum, Emid1, C1ql3"
"GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK",11,0,0,"Down",0.045,0.995981578947368,"",""
"GO_U2_TYPE_PRESPLICEOSOME",16,0,0,"Down",0.049,0.995981578947368,"",""
"GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",16,0.125,0,"Down",0.05,0.995981578947368,"ENSMUSG00000040471, ENSMUSG00000001827","Ggt6, Folr1"
"GO_PORE_COMPLEX",16,0.0625,0.0625,"Down",0.052,0.995981578947368,"",""
"GO_MICROVILLUS",66,0.0303030303030303,0.0757575757575758,"Down",0.055,0.995981578947368,"ENSMUSG00000037242, ENSMUSG00000034918","Clic4, Cdhr2"
"GO_MYOFILAMENT",23,0.0869565217391304,0.0434782608695652,"Down",0.059,0.995981578947368,"ENSMUSG00000064179","Tnnt1"
"GO_FIBRIL",12,0,0.25,"Up",0.06,0.995981578947368,"ENSMUSG00000042436","Mfap4"
"GO_SPINDLE_MIDZONE",25,0.04,0.24,"Up",0.061,0.995981578947368,"ENSMUSG00000028873, ENSMUSG00000018509, ENSMUSG00000023015","Cdca8, Cenpv, Racgap1"
