"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_14_3_3_PROTEIN_BINDING",18,0.0555555555555556,0,"Down",0.001,0.4605
"GO_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.005,0.9975
"GO_ACID_AMINO_ACID_LIGASE_ACTIVITY",19,0.0526315789473684,0,"Down",0.006,0.9975
"GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",23,0.130434782608696,0,"Down",0.007,0.9975
"GO_ARYLSULFATASE_ACTIVITY",8,0,0.375,"Up",0.009,0.9975
"GO_GABA_RECEPTOR_BINDING",15,0.0666666666666667,0,"Down",0.009,0.9975
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_AMINO_ACYL_GROUPS",17,0.235294117647059,0.0588235294117647,"Down",0.011,0.9975
"GO_PLATELET_DERIVED_GROWTH_FACTOR_BINDING",11,0,0.545454545454545,"Up",0.012,0.9975
"GO_RETINOL_DEHYDROGENASE_ACTIVITY",13,0.153846153846154,0,"Down",0.012,0.9975
"GO_RAB_GTPASE_BINDING",110,0.0454545454545455,0.0181818181818182,"Down",0.017,0.9975
"GO_MAGNESIUM_ION_BINDING",180,0.0444444444444444,0.0333333333333333,"Down",0.018,0.9975
"GO_DNA_POLYMERASE_BINDING",12,0,0.25,"Up",0.03,0.9975
"GO_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",20,0.15,0,"Down",0.033,0.9975
"GO_SINGLE_STRANDED_DNA_DEPENDENT_ATPASE_ACTIVITY",13,0,0.461538461538462,"Up",0.034,0.9975
"GO_ACTIVIN_BINDING",12,0.166666666666667,0,"Down",0.037,0.9975
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS",158,0.0253164556962025,0.113924050632911,"Up",0.037,0.9975
"GO_FOUR_WAY_JUNCTION_DNA_BINDING",13,0,0.153846153846154,"Up",0.045,0.9975
"GO_HYALURONIC_ACID_BINDING",20,0.05,0.2,"Up",0.046,0.9975
"GO_PHOSPHOLIPASE_A2_ACTIVITY",26,0.0769230769230769,0,"Down",0.046,0.9975
"GO_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",18,0.0555555555555556,0,"Down",0.046,0.9975
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.051,0.9975
"GO_INOSITOL_TRISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.051,0.9975
"GO_DEACETYLASE_ACTIVITY",49,0.0204081632653061,0,"Down",0.054,0.9975
"GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",29,0.0344827586206897,0.275862068965517,"Up",0.058,0.9975
"GO_LEUCINE_ZIPPER_DOMAIN_BINDING",10,0,0,"Down",0.06,0.9975
"GO_PROTEIN_PHOSPHATASE_1_BINDING",16,0.125,0,"Down",0.061,0.9975
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS",50,0.06,0,"Down",0.063,0.9975
