"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_14_3_3_PROTEIN_BINDING",18,0.0555555555555556,0,"Down",0.001,0.4605,"ENSMUSG00000024042","Sik1"
"GO_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.005,0.9975,"ENSMUSG00000025477","Inpp5a"
"GO_ACID_AMINO_ACID_LIGASE_ACTIVITY",19,0.0526315789473684,0,"Down",0.006,0.9975,"",""
"GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",23,0.130434782608696,0,"Down",0.007,0.9975,"ENSMUSG00000017132, ENSMUSG00000034312","Cyth1, Iqsec1"
"GO_ARYLSULFATASE_ACTIVITY",8,0,0.375,"Up",0.009,0.9975,"ENSMUSG00000016918","Sulf1"
"GO_GABA_RECEPTOR_BINDING",15,0.0666666666666667,0,"Down",0.009,0.9975,"",""
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_AMINO_ACYL_GROUPS",17,0.235294117647059,0.0588235294117647,"Down",0.011,0.9975,"ENSMUSG00000040471, ENSMUSG00000027313, ENSMUSG00000002797","Ggt6, Chac1, Ggct"
"GO_PLATELET_DERIVED_GROWTH_FACTOR_BINDING",11,0,0.545454545454545,"Up",0.012,0.9975,"ENSMUSG00000001506, ENSMUSG00000026043, ENSMUSG00000029661, ENSMUSG00000029231","Col1a1, Col3a1, Col1a2, Pdgfra"
"GO_RETINOL_DEHYDROGENASE_ACTIVITY",13,0.153846153846154,0,"Down",0.012,0.9975,"",""
"GO_RAB_GTPASE_BINDING",110,0.0454545454545455,0.0181818181818182,"Down",0.017,0.9975,"ENSMUSG00000039976, ENSMUSG00000005125, ENSMUSG00000039046","Tbc1d16, Ndrg1, Usp6nl"
"GO_MAGNESIUM_ION_BINDING",180,0.0444444444444444,0.0333333333333333,"Down",0.018,0.9975,"ENSMUSG00000023809, ENSMUSG00000021180, ENSMUSG00000024042","Rps6ka2, Rps6ka5, Sik1"
"GO_DNA_POLYMERASE_BINDING",12,0,0.25,"Up",0.03,0.9975,"",""
"GO_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",20,0.15,0,"Down",0.033,0.9975,"ENSMUSG00000025477","Inpp5a"
"GO_SINGLE_STRANDED_DNA_DEPENDENT_ATPASE_ACTIVITY",13,0,0.461538461538462,"Up",0.034,0.9975,"",""
"GO_ACTIVIN_BINDING",12,0.166666666666667,0,"Down",0.037,0.9975,"ENSMUSG00000038780","Smurf1"
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS",158,0.0253164556962025,0.113924050632911,"Up",0.037,0.9975,"ENSMUSG00000026994, ENSMUSG00000027963, ENSMUSG00000041372, ENSMUSG00000030657, ENSMUSG00000026156, ENSMUSG00000079445","Galnt3, Extl2, B4galnt3, Xylt1, B3gat2, B3gnt7"
"GO_FOUR_WAY_JUNCTION_DNA_BINDING",13,0,0.153846153846154,"Up",0.045,0.9975,"",""
"GO_HYALURONIC_ACID_BINDING",20,0.05,0.2,"Up",0.046,0.9975,"ENSMUSG00000030607","Acan"
"GO_PHOSPHOLIPASE_A2_ACTIVITY",26,0.0769230769230769,0,"Down",0.046,0.9975,"ENSMUSG00000022683","Pla2g10"
"GO_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",18,0.0555555555555556,0,"Down",0.046,0.9975,"ENSMUSG00000054083","Capn12"
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.0666666666666667,0.333333333333333,"Up",0.051,0.9975,"ENSMUSG00000026994","Galnt3"
"GO_INOSITOL_TRISPHOSPHATE_PHOSPHATASE_ACTIVITY",11,0.272727272727273,0,"Down",0.051,0.9975,"ENSMUSG00000025477","Inpp5a"
"GO_DEACETYLASE_ACTIVITY",49,0.0204081632653061,0,"Down",0.054,0.9975,"",""
"GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",29,0.0344827586206897,0.275862068965517,"Up",0.058,0.9975,"ENSMUSG00000041372, ENSMUSG00000026994, ENSMUSG00000027963","B4galnt3, Galnt3, Extl2"
"GO_LEUCINE_ZIPPER_DOMAIN_BINDING",10,0,0,"Down",0.06,0.9975,"",""
"GO_PROTEIN_PHOSPHATASE_1_BINDING",16,0.125,0,"Down",0.061,0.9975,"ENSMUSG00000047671","Tctex1d4"
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS",50,0.06,0,"Down",0.063,0.9975,"ENSMUSG00000037242","Clic4"
"GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",27,0.0740740740740741,0,"Down",0.064,0.9975,"",""
"GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY",13,0,0,"Down",0.065,0.9975,"",""
"GO_AMIDE_BINDING",221,0.0407239819004525,0.0361990950226244,"Down",0.074,0.9975,"ENSMUSG00000030406, ENSMUSG00000037295, ENSMUSG00000045005, ENSMUSG00000001827, ENSMUSG00000038537, ENSMUSG00000033774, ENSMUSG00000025127","Gipr, Ldlrap1, Fzd5, Folr1, Mc3r, Npbwr1, Gcgr"
"GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY",17,0,0.176470588235294,"Up",0.081,0.9975,"",""
"GO_SULFURIC_ESTER_HYDROLASE_ACTIVITY",12,0,0.25,"Up",0.082,0.9975,"ENSMUSG00000016918","Sulf1"
"GO_PROTEIN_COMPLEX_SCAFFOLD",63,0.0158730158730159,0.0158730158730159,"Down",0.084,0.9975,"ENSMUSG00000037295","Ldlrap1"
"GO_MONOCARBOXYLIC_ACID_BINDING",44,0.0227272727272727,0,"Down",0.087,0.9975,"ENSMUSG00000004885","Crabp2"
"GO_TASTE_RECEPTOR_ACTIVITY",6,0,0,"Down",0.087,0.9975,"",""
"GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",68,0.0441176470588235,0.264705882352941,"Up",0.088,0.9975,"ENSMUSG00000041577, ENSMUSG00000036446, ENSMUSG00000032343, ENSMUSG00000030607, ENSMUSG00000029661, ENSMUSG00000001506, ENSMUSG00000026043","Prelp, Lum, Impg1, Acan, Col1a2, Col1a1, Col3a1"
"GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",74,0.0135135135135135,0,"Down",0.09,0.9975,"ENSMUSG00000054083","Capn12"
"GO_SUMO_BINDING",13,0,0,"Down",0.091,0.9975,"",""
"GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY",106,0.0377358490566038,0.150943396226415,"Up",0.092,0.9975,"ENSMUSG00000079445, ENSMUSG00000026156, ENSMUSG00000030657, ENSMUSG00000041372, ENSMUSG00000027963, ENSMUSG00000026994","B3gnt7, B3gat2, Xylt1, B4galnt3, Extl2, Galnt3"
"GO_CARBOHYDRATE_PHOSPHATASE_ACTIVITY",9,0.111111111111111,0,"Down",0.096,0.9975,"ENSMUSG00000025271","Pfkfb1"
