"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",14,0,0.5,"Up",0.001,0.0179054054054054
"REACTOME_GLYCOPROTEIN_HORMONES",6,0,0.5,"Up",0.001,0.0179054054054054
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",11,0,0.454545454545455,"Up",0.001,0.0179054054054054
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,0,0.419354838709677,"Up",0.001,0.0179054054054054
"REACTOME_GABA_RECEPTOR_ACTIVATION",51,0,0.411764705882353,"Up",0.001,0.0179054054054054
"BIOCARTA_STATHMIN_PATHWAY",17,0,0.411764705882353,"Up",0.001,0.0179054054054054
"REACTOME_AMINE_DERIVED_HORMONES",13,0,0.384615384615385,"Up",0.001,0.0179054054054054
"REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS",30,0,0.366666666666667,"Up",0.001,0.0179054054054054
"BIOCARTA_CFTR_PATHWAY",11,0,0.363636363636364,"Up",0.001,0.0179054054054054
"KEGG_CALCIUM_SIGNALING_PATHWAY",169,0.0118343195266272,0.355029585798817,"Up",0.001,0.0179054054054054
"REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS",34,0,0.352941176470588,"Up",0.001,0.0179054054054054
"REACTOME_DAG_AND_IP3_SIGNALING",27,0,0.333333333333333,"Up",0.001,0.0179054054054054
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",76,0.0131578947368421,0.328947368421053,"Up",0.001,0.0179054054054054
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",104,0.00961538461538462,0.326923076923077,"Up",0.001,0.0179054054054054
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",239,0.00418410041841004,0.317991631799163,"Up",0.001,0.0179054054054054
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",10,0,0.3,"Up",0.001,0.0179054054054054
"REACTOME_GPCR_DOWNSTREAM_SIGNALING",423,0.00709219858156028,0.290780141843972,"Up",0.001,0.0179054054054054
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",163,0,0.288343558282209,"Up",0.001,0.0179054054054054
"REACTOME_SIGNALING_BY_GPCR",514,0.00583657587548638,0.282101167315175,"Up",0.001,0.0179054054054054
"REACTOME_AXON_GUIDANCE",235,0.0127659574468085,0.268085106382979,"Up",0.001,0.0179054054054054
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",183,0,0.256830601092896,"Up",0.001,0.0179054054054054
"REACTOME_PLATELET_HOMEOSTASIS",74,0,0.256756756756757,"Up",0.001,0.0179054054054054
"KEGG_LONG_TERM_POTENTIATION",63,0.0158730158730159,0.253968253968254,"Up",0.001,0.0179054054054054
"ST_MYOCYTE_AD_PATHWAY",25,0,0.24,"Up",0.001,0.0179054054054054
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",103,0.0194174757281553,0.223300970873786,"Up",0.001,0.0179054054054054
"ST_WNT_CA2_CYCLIC_GMP_PATHWAY",18,0.0555555555555556,0.222222222222222,"Up",0.001,0.0179054054054054
"REACTOME_DEVELOPMENTAL_BIOLOGY",360,0.0222222222222222,0.219444444444444,"Up",0.001,0.0179054054054054
"NABA_SECRETED_FACTORS",255,0.00784313725490196,0.215686274509804,"Up",0.001,0.0179054054054054
"NABA_ECM_AFFILIATED",120,0.00833333333333333,0.2,"Up",0.001,0.0179054054054054
"PID_LPA4_PATHWAY",15,0,0.2,"Up",0.001,0.0179054054054054
"REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",10,0,0.2,"Up",0.001,0.0179054054054054
"NABA_MATRISOME_ASSOCIATED",559,0.0161001788908766,0.193202146690519,"Up",0.001,0.0179054054054054
"REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES",386,0.0492227979274611,0.178756476683938,"Up",0.001,0.0179054054054054
"KEGG_GAP_JUNCTION",84,0.0238095238095238,0.178571428571429,"Up",0.001,0.0179054054054054
"REACTOME_G_ALPHA1213_SIGNALLING_EVENTS",73,0.0136986301369863,0.178082191780822,"Up",0.001,0.0179054054054054
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",12,0,0.166666666666667,"Up",0.001,0.0179054054054054
"KEGG_MELANOGENESIS",91,0.010989010989011,0.142857142857143,"Up",0.001,0.0179054054054054
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",17,0,0.470588235294118,"Up",0.002,0.033125
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",16,0,0.4375,"Up",0.002,0.033125
"NABA_COLLAGENS",43,0,0.395348837209302,"Up",0.002,0.033125
"REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS",24,0,0.375,"Up",0.002,0.033125
"REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS",8,0,0.375,"Up",0.002,0.033125
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",23,0,0.347826086956522,"Up",0.002,0.033125
"REACTOME_GPCR_LIGAND_BINDING",328,0.00609756097560976,0.329268292682927,"Up",0.002,0.033125
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",146,0,0.328767123287671,"Up",0.002,0.033125
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",64,0,0.328125,"Up",0.002,0.033125
"NABA_CORE_MATRISOME",254,0,0.283464566929134,"Up",0.002,0.033125
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE",47,0,0.276595744680851,"Up",0.002,0.033125
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT",22,0,0.272727272727273,"Up",0.002,0.033125
"KEGG_LONG_TERM_DEPRESSION",65,0.0153846153846154,0.261538461538462,"Up",0.002,0.033125
"NABA_ECM_GLYCOPROTEINS",177,0,0.254237288135593,"Up",0.002,0.033125
"REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS",44,0,0.25,"Up",0.002,0.033125
"REACTOME_L1CAM_INTERACTIONS",81,0,0.209876543209877,"Up",0.002,0.033125
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",15,0,0.2,"Up",0.002,0.033125
"KEGG_OLFACTORY_TRANSDUCTION",31,0,0.193548387096774,"Up",0.002,0.033125
"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",88,0.0227272727272727,0.193181818181818,"Up",0.002,0.033125
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",74,0.0135135135135135,0.189189189189189,"Up",0.002,0.033125
"KEGG_MELANOMA",67,0,0.17910447761194,"Up",0.002,0.033125
"NABA_ECM_REGULATORS",185,0.0324324324324324,0.156756756756757,"Up",0.002,0.033125
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",13,0,0.153846153846154,"Up",0.002,0.033125
"REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR",14,0,0.642857142857143,"Up",0.003,0.0441666666666667
"BIOCARTA_CACAM_PATHWAY",10,0,0.6,"Up",0.003,0.0441666666666667
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",236,0.00423728813559322,0.406779661016949,"Up",0.003,0.0441666666666667
"REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL",129,0,0.364341085271318,"Up",0.003,0.0441666666666667
"REACTOME_KINESINS",22,0.0454545454545455,0.363636363636364,"Up",0.003,0.0441666666666667
"REACTOME_GABA_B_RECEPTOR_ACTIVATION",38,0,0.315789473684211,"Up",0.003,0.0441666666666667
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",73,0.0410958904109589,0.315068493150685,"Up",0.003,0.0441666666666667
"KEGG_AXON_GUIDANCE",123,0.024390243902439,0.292682926829268,"Up",0.003,0.0441666666666667
"PID_RAS_PATHWAY",30,0,0.266666666666667,"Up",0.003,0.0441666666666667
"REACTOME_PLC_BETA_MEDIATED_EVENTS",38,0,0.236842105263158,"Up",0.003,0.0441666666666667
"NABA_MATRISOME",813,0.011070110701107,0.22140221402214,"Up",0.003,0.0441666666666667
