"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",14,0,0.5,"Up",0.001,0.0179054054054054,"ENSMUSG00000028883, ENSMUSG00000030084","Sema3a, Plxna1"
"REACTOME_GLYCOPROTEIN_HORMONES",6,0,0.5,"Up",0.001,0.0179054054054054,"ENSMUSG00000041324, ENSMUSG00000100916","Inhba, Lhb"
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",11,0,0.454545454545455,"Up",0.001,0.0179054054054054,"ENSMUSG00000067144, ENSMUSG00000023829, ENSMUSG00000040966","Slc22a7, Slc22a1, Slc22a2"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,0,0.419354838709677,"Up",0.001,0.0179054054054054,"ENSMUSG00000044216, ENSMUSG00000038026","Kcnj4, Kcnj9"
"REACTOME_GABA_RECEPTOR_ACTIVATION",51,0,0.411764705882353,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431, ENSMUSG00000010803, ENSMUSG00000055078, ENSMUSG00000024524, ENSMUSG00000044216, ENSMUSG00000038026","Adcy1, Gabra1, Gabra5, Gnal, Kcnj4, Kcnj9"
"BIOCARTA_STATHMIN_PATHWAY",17,0,0.411764705882353,"Up",0.001,0.0179054054054054,"ENSMUSG00000038128, ENSMUSG00000057897","Camk4, Camk2b"
"REACTOME_AMINE_DERIVED_HORMONES",13,0,0.384615384615385,"Up",0.001,0.0179054054054054,"ENSMUSG00000020804","Aanat"
"REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS",30,0,0.366666666666667,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431, ENSMUSG00000059003, ENSMUSG00000022055, ENSMUSG00000021708, ENSMUSG00000038128, ENSMUSG00000057897, ENSMUSG00000052374","Adcy1, Grin2a, Nefl, Rasgrf2, Camk4, Camk2b, Actn2"
"BIOCARTA_CFTR_PATHWAY",11,0,0.363636363636364,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431","Adcy1"
"KEGG_CALCIUM_SIGNALING_PATHWAY",169,0.0118343195266272,0.355029585798817,"Up",0.001,0.0179054054054054,"ENSMUSG00000040016, ENSMUSG00000027568, ENSMUSG00000020937, ENSMUSG00000021478, ENSMUSG00000038760, ENSMUSG00000032773, ENSMUSG00000020431, ENSMUSG00000038128, ENSMUSG00000057897, ENSMUSG00000024524, ENSMUSG00000030302, ENSMUSG00000019943, ENSMUSG00000052889, ENSMUSG00000021313, ENSMUSG00000078816, ENSMUSG00000059173, ENSMUSG00000059003, ENSMUSG00000041380, ENSMUSG00000020123, ENSMUSG00000028161, ENSMUSG00000024112, ENSMUSG00000020866, ENSMUSG00000022416","Ptger3, Ntsr1, Plcd3, Drd1, Trhr, Chrm1, Adcy1, Camk4, Camk2b, Gnal, Atp2b2, Atp2b1, Prkcb, Ryr2, Prkcg, Pde1a, Grin2a, Htr2c, Avpr1a, Ppp3ca, Cacna1h, Cacna1g, Cacna1i"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS",34,0,0.352941176470588,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431, ENSMUSG00000059003, ENSMUSG00000022055, ENSMUSG00000021708, ENSMUSG00000038128, ENSMUSG00000057897, ENSMUSG00000052374","Adcy1, Grin2a, Nefl, Rasgrf2, Camk4, Camk2b, Actn2"
"REACTOME_DAG_AND_IP3_SIGNALING",27,0,0.333333333333333,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431, ENSMUSG00000059173, ENSMUSG00000045038, ENSMUSG00000078816, ENSMUSG00000038128","Adcy1, Pde1a, Prkce, Prkcg, Camk4"
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",76,0.0131578947368421,0.328947368421053,"Up",0.001,0.0179054054054054,"ENSMUSG00000000394, ENSMUSG00000019772, ENSMUSG00000033227, ENSMUSG00000000126","Gcg, Vip, Wnt6, Wnt9a"
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",104,0.00961538461538462,0.326923076923077,"Up",0.001,0.0179054054054054,"ENSMUSG00000020431, ENSMUSG00000023868, ENSMUSG00000021478, ENSMUSG00000000394, ENSMUSG00000100916, ENSMUSG00000059173, ENSMUSG00000071489, ENSMUSG00000034009, ENSMUSG00000020963, ENSMUSG00000019772","Adcy1, Pde10a, Drd1, Gcg, Lhb, Pde1a, Ptgdr, Rxfp1, Tshr, Vip"
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",239,0.00418410041841004,0.317991631799163,"Up",0.001,0.0179054054054054,"ENSMUSG00000026237, ENSMUSG00000073888, ENSMUSG00000039059, ENSMUSG00000032773, ENSMUSG00000021478, ENSMUSG00000051314, ENSMUSG00000024517, ENSMUSG00000049511, ENSMUSG00000041380, ENSMUSG00000100916, ENSMUSG00000019865, ENSMUSG00000036437, ENSMUSG00000044014, ENSMUSG00000027568, ENSMUSG00000025905, ENSMUSG00000020123, ENSMUSG00000071489, ENSMUSG00000040016, ENSMUSG00000034009, ENSMUSG00000047904, ENSMUSG00000044933, ENSMUSG00000037014, ENSMUSG00000038760, ENSMUSG00000020963, ENSMUSG00000047415","Nmur1, Ccl27a, Hrh3, Chrm1, Drd1, Ffar2, Grp, Htr1b, Htr2c, Lhb, Nmbr, Npy1r, Npy5r, Ntsr1, Oprk1, Avpr1a, Ptgdr, Ptger3, Rxfp1, Sstr2, Sstr3, Sstr4, Trhr, Tshr, Gpr68"
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",10,0,0.3,"Up",0.001,0.0179054054054054,"ENSMUSG00000023829, ENSMUSG00000040966","Slc22a1, Slc22a2"
"REACTOME_GPCR_DOWNSTREAM_SIGNALING",423,0.00709219858156028,0.290780141843972,"Up",0.001,0.0179054054054054,"ENSMUSG00000019699, ENSMUSG00000032946, ENSMUSG00000026237, ENSMUSG00000020431, ENSMUSG00000023868, ENSMUSG00000073888, ENSMUSG00000039059, ENSMUSG00000032773, ENSMUSG00000021478, ENSMUSG00000000394, ENSMUSG00000024524, ENSMUSG00000051314, ENSMUSG00000024517, ENSMUSG00000049511, ENSMUSG00000041380, ENSMUSG00000100916, ENSMUSG00000019865, ENSMUSG00000036437, ENSMUSG00000044014, ENSMUSG00000027568, ENSMUSG00000025905, ENSMUSG00000059173, ENSMUSG00000020123, ENSMUSG00000052889, ENSMUSG00000045038, ENSMUSG00000078816, ENSMUSG00000071489, ENSMUSG00000040016, ENSMUSG00000021708, ENSMUSG00000034009, ENSMUSG00000047904, ENSMUSG00000044933, ENSMUSG00000037014, ENSMUSG00000038760, ENSMUSG00000020963, ENSMUSG00000019772, ENSMUSG00000047415, ENSMUSG00000043366, ENSMUSG00000024186","Akt3, Rasgrp2, Nmur1, Adcy1, Pde10a, Ccl27a, Hrh3, Chrm1, Drd1, Gcg, Gnal, Ffar2, Grp, Htr1b, Htr2c, Lhb, Nmbr, Npy1r, Npy5r, Ntsr1, Oprk1, Pde1a, Avpr1a, Prkcb, Prkce, Prkcg, Ptgdr, Ptger3, Rasgrf2, Rxfp1, Sstr2, Sstr3, Sstr4, Trhr, Tshr, Vip, Gpr68, Olfr78, Rgs11"
