"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_OUTER_DYNEIN_ARM_ASSEMBLY",10,0,0.7,"Up",0.001,0.0124358288770053
"GO_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT",10,0,0.7,"Up",0.001,0.0124358288770053
"GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION",14,0,0.642857142857143,"Up",0.001,0.0124358288770053
"GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0124358288770053
"GO_ROUNDABOUT_SIGNALING_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0124358288770053
"GO_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0124358288770053
"GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY",16,0,0.625,"Up",0.001,0.0124358288770053
"GO_AXONEME_ASSEMBLY",33,0,0.575757575757576,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY",9,0.111111111111111,0.555555555555556,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_CILIUM_MOVEMENT",9,0,0.555555555555556,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING",13,0,0.538461538461538,"Up",0.001,0.0124358288770053
"GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS",37,0,0.513513513513513,"Up",0.001,0.0124358288770053
"GO_MICROTUBULE_BUNDLE_FORMATION",55,0,0.509090909090909,"Up",0.001,0.0124358288770053
"GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS",20,0,0.5,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT",16,0.0625,0.5,"Up",0.001,0.0124358288770053
"GO_DETECTION_OF_TEMPERATURE_STIMULUS",16,0,0.5,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",17,0,0.470588235294118,"Up",0.001,0.0124358288770053
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL",15,0,0.466666666666667,"Up",0.001,0.0124358288770053
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",13,0,0.461538461538462,"Up",0.001,0.0124358288770053
"GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",13,0,0.461538461538462,"Up",0.001,0.0124358288770053
"GO_REGULATION_OF_SENSORY_PERCEPTION_OF_PAIN",34,0,0.441176470588235,"Up",0.001,0.0124358288770053
"GO_MOTOR_NEURON_AXON_GUIDANCE",25,0,0.44,"Up",0.001,0.0124358288770053
"GO_RESPONSE_TO_MORPHINE",30,0.0333333333333333,0.433333333333333,"Up",0.001,0.0124358288770053
