"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_OUTER_DYNEIN_ARM_ASSEMBLY",10,0,0.7,"Up",0.001,0.0124358288770053,"ENSMUSG00000020930, ENSMUSG00000061802, ENSMUSG00000010044, ENSMUSG00000022375","Ccdc103, Armc4, Zmynd10, Lrrc6"
"GO_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT",10,0,0.7,"Up",0.001,0.0124358288770053,"ENSMUSG00000019787, ENSMUSG00000021313, ENSMUSG00000032826, ENSMUSG00000020635","Trdn, Ryr2, Ank2, Fkbp1b"
"GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION",14,0,0.642857142857143,"Up",0.001,0.0124358288770053,"ENSMUSG00000053310, ENSMUSG00000059003, ENSMUSG00000022623, ENSMUSG00000021478","Nrgn, Grin2a, Shank3, Drd1"
"GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0124358288770053,"ENSMUSG00000034684, ENSMUSG00000028883, ENSMUSG00000019936, ENSMUSG00000056427, ENSMUSG00000041559","Sema3f, Sema3a, Epyc, Slit3, Fmod"
"GO_ROUNDABOUT_SIGNALING_PATHWAY",11,0.0909090909090909,0.636363636363636,"Up",0.001,0.0124358288770053,"ENSMUSG00000056427, ENSMUSG00000041559, ENSMUSG00000019936","Slit3, Fmod, Epyc"
"GO_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",11,0,0.636363636363636,"Up",0.001,0.0124358288770053,"ENSMUSG00000056427, ENSMUSG00000041559, ENSMUSG00000019936, ENSMUSG00000034684, ENSMUSG00000028883","Slit3, Fmod, Epyc, Sema3f, Sema3a"
"GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY",16,0,0.625,"Up",0.001,0.0124358288770053,"ENSMUSG00000039963, ENSMUSG00000022375, ENSMUSG00000020930, ENSMUSG00000061802, ENSMUSG00000010044","Ccdc40, Lrrc6, Ccdc103, Armc4, Zmynd10"
"GO_AXONEME_ASSEMBLY",33,0,0.575757575757576,"Up",0.001,0.0124358288770053,"ENSMUSG00000022375, ENSMUSG00000020930, ENSMUSG00000072663, ENSMUSG00000053153, ENSMUSG00000039963, ENSMUSG00000024033, ENSMUSG00000061802, ENSMUSG00000010044","Lrrc6, Ccdc103, Spef2, Spag16, Ccdc40, Rsph1, Armc4, Zmynd10"
"GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY",9,0.111111111111111,0.555555555555556,"Up",0.001,0.0124358288770053,"ENSMUSG00000021950, ENSMUSG00000057897","Anxa8, Camk2b"
"GO_REGULATION_OF_CILIUM_MOVEMENT",9,0,0.555555555555556,"Up",0.001,0.0124358288770053,"ENSMUSG00000038756, ENSMUSG00000061802, ENSMUSG00000039963","Ttll6, Armc4, Ccdc40"
"GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING",13,0,0.538461538461538,"Up",0.001,0.0124358288770053,"ENSMUSG00000021057, ENSMUSG00000061603, ENSMUSG00000023868","Akap5, Akap6, Pde10a"
"GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS",37,0,0.513513513513513,"Up",0.001,0.0124358288770053,"ENSMUSG00000021057, ENSMUSG00000049511, ENSMUSG00000028785, ENSMUSG00000037014, ENSMUSG00000061603, ENSMUSG00000056755, ENSMUSG00000035863, ENSMUSG00000040016","Akap5, Htr1b, Hpca, Sstr4, Akap6, Grm7, Palm, Ptger3"
"GO_MICROTUBULE_BUNDLE_FORMATION",55,0,0.509090909090909,"Up",0.001,0.0124358288770053,"ENSMUSG00000020686, ENSMUSG00000053153, ENSMUSG00000072663, ENSMUSG00000038756, ENSMUSG00000020930, ENSMUSG00000061802, ENSMUSG00000010044, ENSMUSG00000024033, ENSMUSG00000039963, ENSMUSG00000015222, ENSMUSG00000022375","Gas2l2, Spag16, Spef2, Ttll6, Ccdc103, Armc4, Zmynd10, Rsph1, Ccdc40, Map2, Lrrc6"
"GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS",20,0,0.5,"Up",0.001,0.0124358288770053,"ENSMUSG00000024957, ENSMUSG00000027612, ENSMUSG00000028664, ENSMUSG00000025905, ENSMUSG00000027568, ENSMUSG00000032769, ENSMUSG00000036251","Kcnk4, Mmp24, Ephb2, Oprk1, Ntsr1, Trpa1, Trpm8"
"GO_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT",16,0.0625,0.5,"Up",0.001,0.0124358288770053,"ENSMUSG00000061802, ENSMUSG00000038756, ENSMUSG00000024873, ENSMUSG00000039963","Armc4, Ttll6, Cnih2, Ccdc40"
"GO_DETECTION_OF_TEMPERATURE_STIMULUS",16,0,0.5,"Up",0.001,0.0124358288770053,"ENSMUSG00000074968, ENSMUSG00000036251, ENSMUSG00000027568, ENSMUSG00000027612, ENSMUSG00000028664","Ano3, Trpm8, Ntsr1, Mmp24, Ephb2"
"GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",17,0,0.470588235294118,"Up",0.001,0.0124358288770053,"ENSMUSG00000061603, ENSMUSG00000074575, ENSMUSG00000058498, ENSMUSG00000040164","Akap6, Kcng1, Rnf207, Kcns1"
"GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL",15,0,0.466666666666667,"Up",0.001,0.0124358288770053,"ENSMUSG00000020635, ENSMUSG00000019787, ENSMUSG00000027568","Fkbp1b, Trdn, Ntsr1"
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",13,0,0.461538461538462,"Up",0.001,0.0124358288770053,"ENSMUSG00000027568, ENSMUSG00000019787, ENSMUSG00000021313, ENSMUSG00000020635","Ntsr1, Trdn, Ryr2, Fkbp1b"
"GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",13,0,0.461538461538462,"Up",0.001,0.0124358288770053,"ENSMUSG00000028883, ENSMUSG00000030084, ENSMUSG00000034684","Sema3a, Plxna1, Sema3f"
"GO_REGULATION_OF_SENSORY_PERCEPTION_OF_PAIN",34,0,0.441176470588235,"Up",0.001,0.0124358288770053,"ENSMUSG00000037362, ENSMUSG00000059003, ENSMUSG00000019772, ENSMUSG00000025905, ENSMUSG00000027568","Nov, Grin2a, Vip, Oprk1, Ntsr1"
"GO_MOTOR_NEURON_AXON_GUIDANCE",25,0,0.44,"Up",0.001,0.0124358288770053,"ENSMUSG00000030084, ENSMUSG00000028883, ENSMUSG00000026235, ENSMUSG00000034684, ENSMUSG00000026764, ENSMUSG00000025427","Plxna1, Sema3a, Epha4, Sema3f, Kif5c, Rnf165"
