"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_MUSCLE_MYOSIN_COMPLEX",16,0,0.625,"Up",0.001,0.0072375
"GO_MYOSIN_II_COMPLEX",22,0,0.5,"Up",0.001,0.0072375
"GO_DENDRITIC_SHAFT",36,0.0277777777777778,0.472222222222222,"Up",0.001,0.0072375
"GO_AXONEME_PART",18,0,0.444444444444444,"Up",0.001,0.0072375
"GO_SPERM_FLAGELLUM",46,0,0.41304347826087,"Up",0.001,0.0072375
"GO_MYOSIN_FILAMENT",20,0,0.4,"Up",0.001,0.0072375
"GO_SARCOPLASMIC_RETICULUM_MEMBRANE",35,0,0.371428571428571,"Up",0.001,0.0072375
"GO_CHLORIDE_CHANNEL_COMPLEX",42,0,0.357142857142857,"Up",0.001,0.0072375
"GO_NEUROMUSCULAR_JUNCTION",52,0.0192307692307692,0.307692307692308,"Up",0.001,0.0072375
"GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",34,0,0.294117647058824,"Up",0.001,0.0072375
"GO_ANCHORED_COMPONENT_OF_MEMBRANE",116,0,0.293103448275862,"Up",0.001,0.0072375
"GO_SARCOPLASM",65,0.0153846153846154,0.292307692307692,"Up",0.001,0.0072375
"GO_MYOSIN_COMPLEX",62,0.032258064516129,0.290322580645161,"Up",0.001,0.0072375
"GO_CELL_PROJECTION_PART",859,0.0244470314318976,0.272409778812573,"Up",0.001,0.0072375
"GO_STEREOCILIUM_BUNDLE",38,0,0.263157894736842,"Up",0.001,0.0072375
"GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX",464,0.021551724137931,0.256465517241379,"Up",0.001,0.0072375
"GO_CONTRACTILE_FIBER",186,0.010752688172043,0.252688172043011,"Up",0.001,0.0072375
"GO_PLASMA_MEMBRANE_REGION",841,0.0261593341260404,0.252080856123662,"Up",0.001,0.0072375
"GO_I_BAND",108,0.00925925925925926,0.25,"Up",0.001,0.0072375
"GO_LATERAL_PLASMA_MEMBRANE",47,0.0212765957446809,0.234042553191489,"Up",0.001,0.0072375
"GO_BASOLATERAL_PLASMA_MEMBRANE",196,0.0306122448979592,0.229591836734694,"Up",0.001,0.0072375
"GO_CELL_PROJECTION",1618,0.0278121137206428,0.228059332509271,"Up",0.001,0.0072375
"GO_CELL_CELL_CONTACT_ZONE",62,0.0161290322580645,0.225806451612903,"Up",0.001,0.0072375
"GO_SARCOLEMMA",121,0.0247933884297521,0.223140495867769,"Up",0.001,0.0072375
"GO_MEMBRANE_REGION",1036,0.027992277992278,0.222972972972973,"Up",0.001,0.0072375
"GO_SECRETORY_VESICLE",400,0.045,0.2225,"Up",0.001,0.0072375
"GO_CELL_PROJECTION_MEMBRANE",267,0.0374531835205993,0.220973782771536,"Up",0.001,0.0072375
"GO_SUPRAMOLECULAR_FIBER",501,0.0219560878243513,0.211576846307385,"Up",0.001,0.0072375
"GO_MICROTUBULE",364,0.021978021978022,0.208791208791209,"Up",0.001,0.0072375
"GO_BRUSH_BORDER_MEMBRANE",49,0.0204081632653061,0.204081632653061,"Up",0.001,0.0072375
"GO_CELL_JUNCTION",1057,0.0312204351939451,0.200567644276254,"Up",0.001,0.0072375
"GO_LEADING_EDGE_MEMBRANE",125,0.056,0.2,"Up",0.001,0.0072375
"GO_CORNIFIED_ENVELOPE",10,0,0.2,"Up",0.001,0.0072375
"GO_FILOPODIUM",88,0.0227272727272727,0.193181818181818,"Up",0.001,0.0072375
"GO_ACTIN_BASED_CELL_PROJECTION",163,0.0184049079754601,0.184049079754601,"Up",0.001,0.0072375
"GO_CELL_CELL_ADHERENS_JUNCTION",49,0.0204081632653061,0.183673469387755,"Up",0.001,0.0072375
"GO_APICAL_PLASMA_MEMBRANE",260,0.0269230769230769,0.173076923076923,"Up",0.001,0.0072375
"GO_CYTOSKELETON",1664,0.0330528846153846,0.168269230769231,"Up",0.001,0.0072375
"GO_APICAL_PART_OF_CELL",321,0.0280373831775701,0.158878504672897,"Up",0.001,0.0072375
"GO_CELL_CORTEX",225,0.0133333333333333,0.146666666666667,"Up",0.001,0.0072375
"GO_MOTILE_CILIUM",86,0.0116279069767442,0.337209302325581,"Up",0.002,0.0167019230769231
"GO_NEURON_SPINE",115,0.0260869565217391,0.321739130434783,"Up",0.002,0.0167019230769231
"GO_INTERMEDIATE_FILAMENT",72,0.0277777777777778,0.277777777777778,"Up",0.002,0.0167019230769231
"GO_SPERM_PART",110,0.0272727272727273,0.272727272727273,"Up",0.002,0.0167019230769231
"GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",1395,0.025089605734767,0.247311827956989,"Up",0.002,0.0167019230769231
"GO_INTERCALATED_DISC",49,0,0.244897959183673,"Up",0.002,0.0167019230769231
"GO_INTERMEDIATE_FILAMENT_CYTOSKELETON",111,0.045045045045045,0.234234234234234,"Up",0.002,0.0167019230769231
"GO_RECEPTOR_COMPLEX",310,0.00967741935483871,0.22258064516129,"Up",0.002,0.0167019230769231
"GO_EXTRACELLULAR_SPACE",1024,0.02734375,0.177734375,"Up",0.002,0.0167019230769231
"GO_CYTOSKELETAL_PART",1194,0.0301507537688442,0.173366834170854,"Up",0.002,0.0167019230769231
"GO_CELL_CELL_JUNCTION",345,0.0231884057971014,0.16231884057971,"Up",0.002,0.0167019230769231
"GO_CELL_SURFACE",624,0.0304487179487179,0.153846153846154,"Up",0.002,0.0167019230769231
"GO_KINESIN_COMPLEX",51,0.0196078431372549,0.352941176470588,"Up",0.003,0.0253947368421053
"GO_T_TUBULE",43,0,0.302325581395349,"Up",0.003,0.0253947368421053
"GO_ACROSOMAL_VESICLE",70,0.0428571428571429,0.214285714285714,"Up",0.003,0.0253947368421053
"GO_CELL_CORTEX_PART",112,0.00892857142857143,0.178571428571429,"Up",0.003,0.0253947368421053
"GO_CYTOPLASMIC_REGION",269,0.0185873605947955,0.159851301115242,"Up",0.003,0.0253947368421053
"GO_AXONEMAL_DYNEIN_COMPLEX",11,0,0.363636363636364,"Up",0.004,0.0311769230769231
"GO_SEMAPHORIN_RECEPTOR_COMPLEX",11,0,0.363636363636364,"Up",0.004,0.0311769230769231
"GO_COLLAGEN_TRIMER",75,0,0.306666666666667,"Up",0.004,0.0311769230769231
"GO_COSTAMERE",18,0,0.277777777777778,"Up",0.004,0.0311769230769231
"GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX",315,0.00952380952380952,0.266666666666667,"Up",0.004,0.0311769230769231
"GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS",128,0.0078125,0.2109375,"Up",0.004,0.0311769230769231
"GO_A_BAND",29,0.0344827586206897,0.206896551724138,"Up",0.004,0.0311769230769231
"GO_BASAL_PART_OF_CELL",47,0.0212765957446809,0.191489361702128,"Up",0.004,0.0311769230769231
"GO_ENDOPLASMIC_RETICULUM_QUALITY_CONTROL_COMPARTMENT",13,0.461538461538462,0,"Down",0.005,0.0329810126582279
"GO_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX",10,0.1,0.4,"Up",0.005,0.0329810126582279
"GO_TRANSPORTER_COMPLEX",286,0.020979020979021,0.381118881118881,"Up",0.005,0.0329810126582279
"GO_GAP_JUNCTION",25,0,0.36,"Up",0.005,0.0329810126582279
"GO_POSTSYNAPSE",357,0.0140056022408964,0.358543417366947,"Up",0.005,0.0329810126582279
"GO_CONNEXON_COMPLEX",16,0,0.3125,"Up",0.005,0.0329810126582279
"GO_INTERSTITIAL_MATRIX",13,0,0.307692307692308,"Up",0.005,0.0329810126582279
"GO_APICAL_DENDRITE",13,0,0.307692307692308,"Up",0.005,0.0329810126582279
"GO_CELL_BODY",470,0.0212765957446809,0.272340425531915,"Up",0.005,0.0329810126582279
"GO_CILIUM",395,0.0177215189873418,0.240506329113924,"Up",0.005,0.0329810126582279
"GO_CYTOPLASMIC_MICROTUBULE",50,0.06,0.24,"Up",0.005,0.0329810126582279
"GO_GOLGI_LUMEN",68,0.0147058823529412,0.235294117647059,"Up",0.005,0.0329810126582279
"GO_BRUSH_BORDER",96,0.0104166666666667,0.1875,"Up",0.005,0.0329810126582279
"GO_MEDIATOR_COMPLEX",34,0.147058823529412,0.0294117647058824,"Down",0.005,0.0329810126582279
"GO_POTASSIUM_CHANNEL_COMPLEX",84,0,0.428571428571429,"Up",0.006,0.0379107142857143
"GO_PERIKARYON",98,0,0.326530612244898,"Up",0.006,0.0379107142857143
"GO_CELL_CORTEX_REGION",15,0,0.266666666666667,"Up",0.006,0.0379107142857143
"GO_CILIARY_PART",267,0.0224719101123595,0.262172284644195,"Up",0.006,0.0379107142857143
"GO_EXTRACELLULAR_MATRIX",377,0.00795755968169761,0.244031830238727,"Up",0.006,0.0379107142857143
"GO_PRP19_COMPLEX",12,0.5,0,"Down",0.007,0.0404677419354839
"GO_EXCITATORY_SYNAPSE",187,0.0160427807486631,0.390374331550802,"Up",0.007,0.0404677419354839
"GO_SYNAPSE_PART",578,0.027681660899654,0.352941176470588,"Up",0.007,0.0404677419354839
"GO_POLE_PLASM",13,0,0.307692307692308,"Up",0.007,0.0404677419354839
"GO_NEURON_PART",1187,0.029486099410278,0.274641954507161,"Up",0.007,0.0404677419354839
"GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",16,0,0.25,"Up",0.007,0.0404677419354839
"GO_CORTICAL_CYTOSKELETON",77,0.012987012987013,0.233766233766234,"Up",0.007,0.0404677419354839
"GO_INCLUSION_BODY",59,0.0677966101694915,0.169491525423729,"Up",0.007,0.0404677419354839
"GO_FILOPODIUM_MEMBRANE",18,0,0.166666666666667,"Up",0.007,0.0404677419354839
"GO_DENDRITE_MEMBRANE",18,0.111111111111111,0.555555555555556,"Up",0.008,0.0457105263157895
"GO_NEURON_PROJECTION",886,0.0282167042889391,0.26410835214447,"Up",0.008,0.0457105263157895
"GO_CILIARY_PLASM",73,0.0410958904109589,0.383561643835616,"Up",0.009,0.0507371134020618
"GO_DESMOSOME",25,0,0.24,"Up",0.009,0.0507371134020618
"GO_PRESYNAPTIC_ACTIVE_ZONE",28,0,0.678571428571429,"Up",0.01,0.055005
"GO_SYNAPSE",716,0.026536312849162,0.329608938547486,"Up",0.01,0.055005
"GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX",10,0.3,0,"Down",0.01,0.055005
"GO_CATION_CHANNEL_COMPLEX",150,0.02,0.453333333333333,"Up",0.011,0.0590242718446602
"GO_NEURONAL_CELL_BODY_MEMBRANE",20,0,0.4,"Up",0.011,0.0590242718446602
"GO_SOMATODENDRITIC_COMPARTMENT",615,0.0292682926829268,0.282926829268293,"Up",0.011,0.0590242718446602
"GO_DENSE_CORE_GRANULE",13,0,0.615384615384615,"Up",0.012,0.0608193277310924
"GO_SPERM_PRINCIPAL_PIECE",12,0,0.583333333333333,"Up",0.012,0.0608193277310924
"GO_NEURONAL_POSTSYNAPTIC_DENSITY",51,0.0196078431372549,0.470588235294118,"Up",0.012,0.0608193277310924
"GO_SYNAPTIC_MEMBRANE",240,0.00416666666666667,0.4125,"Up",0.012,0.0608193277310924
"GO_SITE_OF_POLARIZED_GROWTH",137,0.0145985401459854,0.277372262773723,"Up",0.012,0.0608193277310924
"GO_SECRETORY_GRANULE",292,0.0445205479452055,0.181506849315068,"Up",0.012,0.0608193277310924
"GO_GABA_RECEPTOR_COMPLEX",16,0,0.6875,"Up",0.013,0.0608193277310924
"GO_CALCIUM_CHANNEL_COMPLEX",51,0.0392156862745098,0.431372549019608,"Up",0.013,0.0608193277310924
"GO_AXONAL_GROWTH_CONE",19,0,0.315789473684211,"Up",0.013,0.0608193277310924
"GO_DENDRITE",428,0.0327102803738318,0.280373831775701,"Up",0.013,0.0608193277310924
"GO_AXON",393,0.0254452926208651,0.27735368956743,"Up",0.013,0.0608193277310924
"GO_CATION_TRANSPORTING_ATPASE_COMPLEX",15,0.0666666666666667,0.266666666666667,"Up",0.013,0.0608193277310924
"GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX",31,0,0.258064516129032,"Up",0.013,0.0608193277310924
"GO_CENTRIOLAR_SATELLITE",23,0,0.217391304347826,"Up",0.013,0.0608193277310924
"GO_INTRINSIC_COMPONENT_OF_THE_CYTOPLASMIC_SIDE_OF_THE_PLASMA_MEMBRANE",14,0,0.214285714285714,"Up",0.013,0.0608193277310924
"GO_BASAL_PLASMA_MEMBRANE",30,0.0333333333333333,0.166666666666667,"Up",0.013,0.0608193277310924
"GO_TRANSPORT_VESICLE_MEMBRANE",130,0.0461538461538462,0.284615384615385,"Up",0.014,0.0630362903225806
"GO_CILIARY_MEMBRANE",68,0.0147058823529412,0.279411764705882,"Up",0.014,0.0630362903225806
"GO_PLASMA_MEMBRANE_RECEPTOR_COMPLEX",167,0.00598802395209581,0.227544910179641,"Up",0.014,0.0630362903225806
"GO_CORTICAL_ACTIN_CYTOSKELETON",56,0,0.214285714285714,"Up",0.014,0.0630362903225806
"GO_WNT_SIGNALOSOME",11,0,0.181818181818182,"Up",0.014,0.0630362903225806
"GO_MICROTUBULE_ASSOCIATED_COMPLEX",134,0.0223880597014925,0.23134328358209,"Up",0.015,0.0661062992125984
"GO_MICROTUBULE_CYTOSKELETON",963,0.0321910695742471,0.15472481827622,"Up",0.015,0.0661062992125984
"GO_AGGRESOME",28,0.0357142857142857,0.107142857142857,"Up",0.015,0.0661062992125984
"GO_ACTIN_CYTOSKELETON",409,0.0244498777506112,0.171149144254279,"Up",0.016,0.07011328125
"GO_PRESYNAPSE",272,0.0477941176470588,0.356617647058824,"Up",0.017,0.0734884615384615
"GO_FIBRIL",12,0,0.333333333333333,"Up",0.017,0.0734884615384615
"GO_SODIUM_CHANNEL_COMPLEX",15,0,0.666666666666667,"Up",0.018,0.0767613636363636
"GO_STAGA_COMPLEX",14,0.214285714285714,0,"Down",0.018,0.0767613636363636
"GO_NONMOTILE_PRIMARY_CILIUM",122,0.00819672131147541,0.19672131147541,"Up",0.019,0.0805375939849624
"GO_NEURON_PROJECTION_TERMINUS",125,0.016,0.328,"Up",0.02,0.0830183823529412
"GO_ACTIN_FILAMENT",66,0.0151515151515152,0.166666666666667,"Up",0.02,0.0830183823529412
"GO_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",11,0,0,"Down",0.02,0.0830183823529412
"GO_PRESYNAPTIC_MEMBRANE",50,0,0.48,"Up",0.021,0.0841808510638298
