"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_MUSCLE_MYOSIN_COMPLEX",16,0,0.625,"Up",0.001,0.0072375,"ENSMUSG00000033196, ENSMUSG00000057003, ENSMUSG00000056328, ENSMUSG00000059741, ENSMUSG00000039824","Myh2, Myh4, Myh1, Myl3, Myl6b"
"GO_MYOSIN_II_COMPLEX",22,0,0.5,"Up",0.001,0.0072375,"ENSMUSG00000039824, ENSMUSG00000059741, ENSMUSG00000057003, ENSMUSG00000056328, ENSMUSG00000033196","Myl6b, Myl3, Myh4, Myh1, Myh2"
"GO_DENDRITIC_SHAFT",36,0.0277777777777778,0.472222222222222,"Up",0.001,0.0072375,"ENSMUSG00000026514, ENSMUSG00000022208, ENSMUSG00000017740, ENSMUSG00000021057, ENSMUSG00000021478, ENSMUSG00000024873, ENSMUSG00000027568, ENSMUSG00000036306, ENSMUSG00000056755","Cnih3, Jph4, Slc12a5, Akap5, Drd1, Cnih2, Ntsr1, Lzts1, Grm7"
"GO_AXONEME_PART",18,0,0.444444444444444,"Up",0.001,0.0072375,"ENSMUSG00000053153, ENSMUSG00000042707","Spag16, Dnali1"
"GO_SPERM_FLAGELLUM",46,0,0.41304347826087,"Up",0.001,0.0072375,"ENSMUSG00000072663, ENSMUSG00000042189, ENSMUSG00000024033, ENSMUSG00000036551","Spef2, Tekt3, Rsph1, Akap14"
"GO_MYOSIN_FILAMENT",20,0,0.4,"Up",0.001,0.0072375,"ENSMUSG00000033196, ENSMUSG00000056328, ENSMUSG00000057003","Myh2, Myh1, Myh4"
"GO_SARCOPLASMIC_RETICULUM_MEMBRANE",35,0,0.371428571428571,"Up",0.001,0.0072375,"ENSMUSG00000061603, ENSMUSG00000057897, ENSMUSG00000019787, ENSMUSG00000022208, ENSMUSG00000021313, ENSMUSG00000020635","Akap6, Camk2b, Trdn, Jph4, Ryr2, Fkbp1b"
"GO_CHLORIDE_CHANNEL_COMPLEX",42,0,0.357142857142857,"Up",0.001,0.0072375,"ENSMUSG00000010803, ENSMUSG00000055078","Gabra1, Gabra5"
"GO_NEUROMUSCULAR_JUNCTION",52,0.0192307692307692,0.307692307692308,"Up",0.001,0.0072375,"ENSMUSG00000057280, ENSMUSG00000034799, ENSMUSG00000026235, ENSMUSG00000031962","Musk, Unc13a, Epha4, Cdh15"
"GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",34,0,0.294117647058824,"Up",0.001,0.0072375,"ENSMUSG00000048915, ENSMUSG00000055653, ENSMUSG00000050896, ENSMUSG00000043557","Efna5, Gpc3, Rtn4rl2, Mdga1"
"GO_ANCHORED_COMPONENT_OF_MEMBRANE",116,0,0.293103448275862,"Up",0.001,0.0072375,"ENSMUSG00000038403, ENSMUSG00000030075, ENSMUSG00000043557, ENSMUSG00000055653, ENSMUSG00000050896, ENSMUSG00000048915, ENSMUSG00000015568, ENSMUSG00000043811, ENSMUSG00000026765, ENSMUSG00000063011","Hfe2, Cntn3, Mdga1, Gpc3, Rtn4rl2, Efna5, Lpl, Rtn4r, Lypd6b, Msln"
"GO_SARCOPLASM",65,0.0153846153846154,0.292307692307692,"Up",0.001,0.0072375,"ENSMUSG00000020635, ENSMUSG00000022208, ENSMUSG00000022519, ENSMUSG00000028773, ENSMUSG00000061603, ENSMUSG00000021313, ENSMUSG00000019787, ENSMUSG00000057897, ENSMUSG00000022565","Fkbp1b, Jph4, Srl, Fabp3, Akap6, Ryr2, Trdn, Camk2b, Plec"
"GO_MYOSIN_COMPLEX",62,0.032258064516129,0.290322580645161,"Up",0.001,0.0072375,"ENSMUSG00000039824, ENSMUSG00000056328, ENSMUSG00000057003, ENSMUSG00000025885, ENSMUSG00000033196, ENSMUSG00000059741","Myl6b, Myh1, Myh4, Myo5b, Myh2, Myl3"
"GO_CELL_PROJECTION_PART",859,0.0244470314318976,0.272409778812573,"Up",0.001,0.0072375,"ENSMUSG00000029188, ENSMUSG00000036551, ENSMUSG00000027978, ENSMUSG00000025889, ENSMUSG00000022055, ENSMUSG00000044933, ENSMUSG00000043811, ENSMUSG00000027475, ENSMUSG00000061802, ENSMUSG00000014686, ENSMUSG00000053153, ENSMUSG00000027568, ENSMUSG00000056755, ENSMUSG00000035863, ENSMUSG00000031292, ENSMUSG00000031137, ENSMUSG00000053310, ENSMUSG00000052374, ENSMUSG00000027329, ENSMUSG00000039715, ENSMUSG00000072663, ENSMUSG00000025658, ENSMUSG00000024873, ENSMUSG00000056752, ENSMUSG00000034467, ENSMUSG00000025905, ENSMUSG00000040860, ENSMUSG00000022208, ENSMUSG00000078816, ENSMUSG00000020895, ENSMUSG00000036306, ENSMUSG00000020930, ENSMUSG00000032773, ENSMUSG00000052302, ENSMUSG00000021217, ENSMUSG00000037541, ENSMUSG00000026235, ENSMUSG00000021057, ENSMUSG00000021478, ENSMUSG00000040016, ENSMUSG00000039963, ENSMUSG00000024033, ENSMUSG00000038738, ENSMUSG00000032946, ENSMUSG00000040495, ENSMUSG00000019943, ENSMUSG00000049176, ENSMUSG00000021612, ENSMUSG00000025867, ENSMUSG00000028785, ENSMUSG00000028664, ENSMUSG00000042707, ENSMUSG00000026764, ENSMUSG00000036083, ENSMUSG00000005871, ENSMUSG00000022623, ENSMUSG00000028463, ENSMUSG00000021803, ENSMUSG00000020651, ENSMUSG00000026514, ENSMUSG00000059003, ENSMUSG00000038756, ENSMUSG00000017740, ENSMUSG00000036510, ENSMUSG00000018012","Slc34a2, Akap14, Prss12, Snca, Nefl, Sstr3, Rtn4r, Kif3b, Armc4, Ceacam16, Spag16, Ntsr1, Grm7, Palm, Cdkl5, Fgf13, Nrgn, Actn2, Spef1, Wdr34, Spef2, Cnksr2, Cnih2, Dnah9, Dynlrb2, Oprk1, Crocc, Jph4, Prkcg, Tmem107, Lzts1, Ccdc103, Chrm1, Tbc1d30, Tshz3, Shank2, Epha4, Akap5, Drd1, Ptger3, Ccdc40, Rsph1, Shank1, Rasgrp2, Chrm4, Atp2b1, Frmpd4, Slc6a18, Cplx2, Hpca, Ephb2, Dnali1, Kif5c, Slc17a3, Apc, Shank3, Car9, Cdhr1, Slc26a4, Cnih3, Grin2a, Ttll6, Slc12a5, Cdh8, Rac3"
"GO_STEREOCILIUM_BUNDLE",38,0,0.263157894736842,"Up",0.001,0.0072375,"ENSMUSG00000014686, ENSMUSG00000032818, ENSMUSG00000032769","Ceacam16, Loxhd1, Trpa1"
"GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX",464,0.021551724137931,0.256465517241379,"Up",0.001,0.0072375,"ENSMUSG00000068615, ENSMUSG00000022416, ENSMUSG00000038403, ENSMUSG00000049382, ENSMUSG00000024186, ENSMUSG00000038738, ENSMUSG00000030775, ENSMUSG00000043673, ENSMUSG00000019787, ENSMUSG00000044216, ENSMUSG00000031491, ENSMUSG00000019146, ENSMUSG00000024112, ENSMUSG00000040164, ENSMUSG00000029716, ENSMUSG00000037541, ENSMUSG00000007207, ENSMUSG00000074575, ENSMUSG00000059003, ENSMUSG00000026514, ENSMUSG00000051726, ENSMUSG00000024873, ENSMUSG00000000303, ENSMUSG00000022342, ENSMUSG00000079105, ENSMUSG00000078815, ENSMUSG00000005871, ENSMUSG00000020866","Gjd2, Cacna1i, Hfe2, Krt8, Rgs11, Shank1, Trat1, Kcns3, Trdn, Kcnj4, Chrna6, Cacng2, Cacna1h, Kcns1, Tfr2, Shank2, Stx1a, Kcng1, Grin2a, Cnih3, Kcnf1, Cnih2, Cdh1, Kcnv1, C7, Cacng6, Apc, Cacna1g"
"GO_CONTRACTILE_FIBER",186,0.010752688172043,0.252688172043011,"Up",0.001,0.0072375,"ENSMUSG00000034295, ENSMUSG00000031972, ENSMUSG00000073557, ENSMUSG00000057003, ENSMUSG00000059741, ENSMUSG00000020067, ENSMUSG00000020635, ENSMUSG00000052374, ENSMUSG00000033196, ENSMUSG00000028116, ENSMUSG00000039824, ENSMUSG00000056328, ENSMUSG00000044086, ENSMUSG00000028161, ENSMUSG00000021313, ENSMUSG00000049382, ENSMUSG00000022565, ENSMUSG00000032826","Fhod3, Acta1, Ppp1r12b, Myh4, Myl3, Mypn, Fkbp1b, Actn2, Myh2, Myoz2, Myl6b, Myh1, Lmod3, Ppp3ca, Ryr2, Krt8, Plec, Ank2"
