"","NGenes","PropDown","PropUp","Direction","PValue","FDR"
"GO_NEUROTRANSMITTER_TRANSPORTER_ACTIVITY",24,0,0.583333333333333,"Up",0.001,0.00793965517241379
"GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY",18,0,0.5,"Up",0.001,0.00793965517241379
"GO_CATION_AMINO_ACID_SYMPORTER_ACTIVITY",15,0,0.466666666666667,"Up",0.001,0.00793965517241379
"GO_DIACYLGLYCEROL_BINDING",11,0,0.454545454545455,"Up",0.001,0.00793965517241379
"GO_INTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY",27,0,0.444444444444444,"Up",0.001,0.00793965517241379
"GO_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00793965517241379
"GO_GAP_JUNCTION_CHANNEL_ACTIVITY",14,0,0.428571428571429,"Up",0.001,0.00793965517241379
"GO_GAMMA_CATENIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00793965517241379
"GO_PHOSPHOLIPASE_BINDING",15,0,0.4,"Up",0.001,0.00793965517241379
"GO_CARBONATE_DEHYDRATASE_ACTIVITY",13,0,0.384615384615385,"Up",0.001,0.00793965517241379
"GO_POTASSIUM_CHANNEL_ACTIVITY",111,0,0.378378378378378,"Up",0.001,0.00793965517241379
"GO_MICROFILAMENT_MOTOR_ACTIVITY",19,0,0.368421052631579,"Up",0.001,0.00793965517241379
"GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",49,0,0.36734693877551,"Up",0.001,0.00793965517241379
"GO_CALMODULIN_BINDING",170,0.00588235294117647,0.341176470588235,"Up",0.001,0.00793965517241379
"GO_MOTOR_ACTIVITY",120,0.0166666666666667,0.333333333333333,"Up",0.001,0.00793965517241379
"GO_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY",15,0,0.333333333333333,"Up",0.001,0.00793965517241379
"GO_CARBOXYPEPTIDASE_ACTIVITY",35,0,0.314285714285714,"Up",0.001,0.00793965517241379
"GO_CHANNEL_REGULATOR_ACTIVITY",121,0,0.31404958677686,"Up",0.001,0.00793965517241379
"GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",341,0.0146627565982405,0.310850439882698,"Up",0.001,0.00793965517241379
"GO_ANION_CHANNEL_ACTIVITY",78,0.0641025641025641,0.307692307692308,"Up",0.001,0.00793965517241379
"GO_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY",13,0.0769230769230769,0.307692307692308,"Up",0.001,0.00793965517241379
"GO_FATTY_ACID_TRANSPORTER_ACTIVITY",10,0,0.3,"Up",0.001,0.00793965517241379
"GO_NUCLEOTIDE_KINASE_ACTIVITY",24,0,0.291666666666667,"Up",0.001,0.00793965517241379
"GO_EPHRIN_RECEPTOR_BINDING",24,0,0.291666666666667,"Up",0.001,0.00793965517241379
"GO_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_PHOSPHORYLATIVE_MECHANISM",32,0.0625,0.28125,"Up",0.001,0.00793965517241379
"GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",33,0,0.272727272727273,"Up",0.001,0.00793965517241379
"GO_PHOSPHATIDYLCHOLINE_1_ACYLHYDROLASE_ACTIVITY",11,0,0.272727272727273,"Up",0.001,0.00793965517241379
"GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",323,0.0309597523219814,0.269349845201238,"Up",0.001,0.00793965517241379
"GO_CALCIUM_CHANNEL_REGULATOR_ACTIVITY",34,0,0.264705882352941,"Up",0.001,0.00793965517241379
"GO_CALCIUM_ION_BINDING",584,0.0273972602739726,0.261986301369863,"Up",0.001,0.00793965517241379
"GO_HEPARIN_BINDING",132,0.0151515151515152,0.257575757575758,"Up",0.001,0.00793965517241379
"GO_SIGNALING_RECEPTOR_ACTIVITY",796,0.0150753768844221,0.25,"Up",0.001,0.00793965517241379
"GO_NITRIC_OXIDE_SYNTHASE_BINDING",16,0,0.25,"Up",0.001,0.00793965517241379
"GO_ORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",12,0.0833333333333333,0.25,"Up",0.001,0.00793965517241379
"GO_ION_CHANNEL_BINDING",102,0.0294117647058824,0.245098039215686,"Up",0.001,0.00793965517241379
"GO_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON",86,0,0.244186046511628,"Up",0.001,0.00793965517241379
"GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR",37,0,0.243243243243243,"Up",0.001,0.00793965517241379
"GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",162,0.0493827160493827,0.228395061728395,"Up",0.001,0.00793965517241379
"GO_ANTIPORTER_ACTIVITY",66,0.0151515151515152,0.227272727272727,"Up",0.001,0.00793965517241379
"GO_SIGNAL_TRANSDUCER_ACTIVITY",1112,0.0188848920863309,0.220323741007194,"Up",0.001,0.00793965517241379
"GO_CADHERIN_BINDING",28,0.0357142857142857,0.214285714285714,"Up",0.001,0.00793965517241379
"GO_TRANSPORTER_ACTIVITY",1112,0.0431654676258993,0.20863309352518,"Up",0.001,0.00793965517241379
"GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",255,0.0470588235294118,0.203921568627451,"Up",0.001,0.00793965517241379
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",324,0.0462962962962963,0.200617283950617,"Up",0.001,0.00793965517241379
"GO_PHOSPHOLIPASE_C_ACTIVITY",30,0,0.2,"Up",0.001,0.00793965517241379
"GO_PROTEOGLYCAN_BINDING",25,0,0.2,"Up",0.001,0.00793965517241379
"GO_CYTOSKELETAL_PROTEIN_BINDING",751,0.0239680426098535,0.197070572569907,"Up",0.001,0.00793965517241379
"GO_METALLOPEPTIDASE_ACTIVITY",159,0.0314465408805031,0.188679245283019,"Up",0.001,0.00793965517241379
"GO_RAS_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",212,0.00471698113207547,0.183962264150943,"Up",0.001,0.00793965517241379
"GO_ACTIN_BINDING",361,0.0193905817174515,0.182825484764543,"Up",0.001,0.00793965517241379
"GO_MODIFIED_AMINO_ACID_BINDING",57,0.0175438596491228,0.175438596491228,"Up",0.001,0.00793965517241379
"GO_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",280,0.0142857142857143,0.175,"Up",0.001,0.00793965517241379
"GO_ALCOHOL_BINDING",89,0.0337078651685393,0.168539325842697,"Up",0.001,0.00793965517241379
