"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_NEUROTRANSMITTER_TRANSPORTER_ACTIVITY",24,0,0.583333333333333,"Up",0.001,0.00793965517241379,"ENSMUSG00000023829, ENSMUSG00000021612, ENSMUSG00000040966, ENSMUSG00000052026, ENSMUSG00000020838","Slc22a1, Slc6a18, Slc22a2, Slc6a7, Slc6a4"
"GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY",18,0,0.5,"Up",0.001,0.00793965517241379,"ENSMUSG00000020838, ENSMUSG00000052026, ENSMUSG00000021612","Slc6a4, Slc6a7, Slc6a18"
"GO_CATION_AMINO_ACID_SYMPORTER_ACTIVITY",15,0,0.466666666666667,"Up",0.001,0.00793965517241379,"ENSMUSG00000052026","Slc6a7"
"GO_DIACYLGLYCEROL_BINDING",11,0,0.454545454545455,"Up",0.001,0.00793965517241379,"ENSMUSG00000034799, ENSMUSG00000062151, ENSMUSG00000032946","Unc13a, Unc13c, Rasgrp2"
"GO_INTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY",27,0,0.444444444444444,"Up",0.001,0.00793965517241379,"ENSMUSG00000020635, ENSMUSG00000021313, ENSMUSG00000032769","Fkbp1b, Ryr2, Trpa1"
"GO_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY",16,0,0.4375,"Up",0.001,0.00793965517241379,"ENSMUSG00000021313, ENSMUSG00000020635, ENSMUSG00000032769","Ryr2, Fkbp1b, Trpa1"
"GO_GAP_JUNCTION_CHANNEL_ACTIVITY",14,0,0.428571428571429,"Up",0.001,0.00793965517241379,"ENSMUSG00000068615, ENSMUSG00000058441","Gjd2, Panx2"
"GO_GAMMA_CATENIN_BINDING",12,0,0.416666666666667,"Up",0.001,0.00793965517241379,"ENSMUSG00000005871, ENSMUSG00000059898, ENSMUSG00000000303","Apc, Dsc3, Cdh1"
"GO_PHOSPHOLIPASE_BINDING",15,0,0.4,"Up",0.001,0.00793965517241379,"ENSMUSG00000057897, ENSMUSG00000022055, ENSMUSG00000025889","Camk2b, Nefl, Snca"
"GO_CARBONATE_DEHYDRATASE_ACTIVITY",13,0,0.384615384615385,"Up",0.001,0.00793965517241379,"ENSMUSG00000028463","Car9"
"GO_POTASSIUM_CHANNEL_ACTIVITY",111,0,0.378378378378378,"Up",0.001,0.00793965517241379,"ENSMUSG00000051726, ENSMUSG00000037579, ENSMUSG00000040164, ENSMUSG00000024957, ENSMUSG00000038026, ENSMUSG00000074575, ENSMUSG00000043673, ENSMUSG00000022342, ENSMUSG00000044216, ENSMUSG00000049265","Kcnf1, Kcnh3, Kcns1, Kcnk4, Kcnj9, Kcng1, Kcns3, Kcnv1, Kcnj4, Kcnk3"
"GO_MICROFILAMENT_MOTOR_ACTIVITY",19,0,0.368421052631579,"Up",0.001,0.00793965517241379,"ENSMUSG00000033196, ENSMUSG00000025885, ENSMUSG00000057003","Myh2, Myo5b, Myh4"
"GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",49,0,0.36734693877551,"Up",0.001,0.00793965517241379,"ENSMUSG00000021950, ENSMUSG00000052301, ENSMUSG00000004961, ENSMUSG00000020848","Anxa8, Doc2a, Syt5, Doc2b"
"GO_CALMODULIN_BINDING",170,0.00588235294117647,0.341176470588235,"Up",0.001,0.00793965517241379,"ENSMUSG00000038128, ENSMUSG00000057003, ENSMUSG00000029471, ENSMUSG00000021708, ENSMUSG00000057897, ENSMUSG00000030302, ENSMUSG00000059173, ENSMUSG00000028161, ENSMUSG00000025885, ENSMUSG00000056328, ENSMUSG00000032936, ENSMUSG00000033196, ENSMUSG00000015222, ENSMUSG00000021057, ENSMUSG00000053310, ENSMUSG00000020431, ENSMUSG00000032503, ENSMUSG00000019943, ENSMUSG00000021313","Camk4, Myh4, Camkk2, Rasgrf2, Camk2b, Atp2b2, Pde1a, Ppp3ca, Myo5b, Myh1, Camkv, Myh2, Map2, Akap5, Nrgn, Adcy1, Arpp21, Atp2b1, Ryr2"
"GO_MOTOR_ACTIVITY",120,0.0166666666666667,0.333333333333333,"Up",0.001,0.00793965517241379,"ENSMUSG00000039824, ENSMUSG00000025885, ENSMUSG00000056328, ENSMUSG00000033196, ENSMUSG00000026764, ENSMUSG00000042707, ENSMUSG00000057003, ENSMUSG00000027475, ENSMUSG00000056752, ENSMUSG00000034467, ENSMUSG00000060176, ENSMUSG00000004187, ENSMUSG00000059741","Myl6b, Myo5b, Myh1, Myh2, Kif5c, Dnali1, Myh4, Kif3b, Dnah9, Dynlrb2, Kif27, Kifc2, Myl3"
"GO_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY",15,0,0.333333333333333,"Up",0.001,0.00793965517241379,"ENSMUSG00000046242, ENSMUSG00000041323","Nme9, Ak7"
"GO_CARBOXYPEPTIDASE_ACTIVITY",35,0,0.314285714285714,"Up",0.001,0.00793965517241379,"ENSMUSG00000011463, ENSMUSG00000021999","Cpb1, Cpb2"
"GO_CHANNEL_REGULATOR_ACTIVITY",121,0,0.31404958677686,"Up",0.001,0.00793965517241379,"ENSMUSG00000052889, ENSMUSG00000038764, ENSMUSG00000043673, ENSMUSG00000022342, ENSMUSG00000019146, ENSMUSG00000020635, ENSMUSG00000031137, ENSMUSG00000040164, ENSMUSG00000007207, ENSMUSG00000026514, ENSMUSG00000056755","Prkcb, Ptpn3, Kcns3, Kcnv1, Cacng2, Fkbp1b, Fgf13, Kcns1, Stx1a, Cnih3, Grm7"
"GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",341,0.0146627565982405,0.310850439882698,"Up",0.001,0.00793965517241379,"ENSMUSG00000021478, ENSMUSG00000038760, ENSMUSG00000040016, ENSMUSG00000068696, ENSMUSG00000051314, ENSMUSG00000040495, ENSMUSG00000039059, ENSMUSG00000071489, ENSMUSG00000068037, ENSMUSG00000026237, ENSMUSG00000020963, ENSMUSG00000046922, ENSMUSG00000044933, ENSMUSG00000020123, ENSMUSG00000036437, ENSMUSG00000041380, ENSMUSG00000019865, ENSMUSG00000027568, ENSMUSG00000056755, ENSMUSG00000025905, ENSMUSG00000018634, ENSMUSG00000047904, ENSMUSG00000038745, ENSMUSG00000032773, ENSMUSG00000044014, ENSMUSG00000049511, ENSMUSG00000047415, ENSMUSG00000034009, ENSMUSG00000037014, ENSMUSG00000043366","Drd1, Trhr, Ptger3, Gpr88, Ffar2, Chrm4, Hrh3, Ptgdr, Mas1, Nmur1, Tshr, Gpr6, Sstr3, Avpr1a, Npy1r, Htr2c, Nmbr, Ntsr1, Grm7, Oprk1, Crhr1, Sstr2, Nlrp6, Chrm1, Npy5r, Htr1b, Gpr68, Rxfp1, Sstr4, Olfr78"
"GO_ANION_CHANNEL_ACTIVITY",78,0.0641025641025641,0.307692307692308,"Up",0.001,0.00793965517241379,"ENSMUSG00000020651, ENSMUSG00000074968, ENSMUSG00000055078, ENSMUSG00000036083, ENSMUSG00000010803, ENSMUSG00000070570","Slc26a4, Ano3, Gabra5, Slc17a3, Gabra1, Slc17a7"
"GO_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY",13,0.0769230769230769,0.307692307692308,"Up",0.001,0.00793965517241379,"ENSMUSG00000074968","Ano3"
"GO_FATTY_ACID_TRANSPORTER_ACTIVITY",10,0,0.3,"Up",0.001,0.00793965517241379,"ENSMUSG00000028773","Fabp3"
"GO_NUCLEOTIDE_KINASE_ACTIVITY",24,0,0.291666666666667,"Up",0.001,0.00793965517241379,"ENSMUSG00000041323","Ak7"
"GO_EPHRIN_RECEPTOR_BINDING",24,0,0.291666666666667,"Up",0.001,0.00793965517241379,"ENSMUSG00000026235, ENSMUSG00000048915","Epha4, Efna5"
"GO_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_PHOSPHORYLATIVE_MECHANISM",32,0.0625,0.28125,"Up",0.001,0.00793965517241379,"ENSMUSG00000030302, ENSMUSG00000019943","Atp2b2, Atp2b1"
"GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",33,0,0.272727272727273,"Up",0.001,0.00793965517241379,"ENSMUSG00000029403, ENSMUSG00000020990, ENSMUSG00000033966, ENSMUSG00000031292, ENSMUSG00000026023, ENSMUSG00000021363","Cdkl2, Cdkl1, Cdkl4, Cdkl5, Cdk15, Mak"
"GO_PHOSPHATIDYLCHOLINE_1_ACYLHYDROLASE_ACTIVITY",11,0,0.272727272727273,"Up",0.001,0.00793965517241379,"ENSMUSG00000050211","Pla2g4e"
"GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",323,0.0309597523219814,0.269349845201238,"Up",0.001,0.00793965517241379,"ENSMUSG00000021612, ENSMUSG00000024957, ENSMUSG00000020838, ENSMUSG00000070570, ENSMUSG00000036083, ENSMUSG00000037994, ENSMUSG00000044216, ENSMUSG00000029188, ENSMUSG00000043673, ENSMUSG00000038026, ENSMUSG00000017740, ENSMUSG00000040164, ENSMUSG00000074575, ENSMUSG00000040966, ENSMUSG00000052026, ENSMUSG00000049265, ENSMUSG00000029843, ENSMUSG00000022342, ENSMUSG00000023829, ENSMUSG00000051726, ENSMUSG00000037579, ENSMUSG00000010122","Slc6a18, Kcnk4, Slc6a4, Slc17a7, Slc17a3, Slc9b2, Kcnj4, Slc34a2, Kcns3, Kcnj9, Slc12a5, Kcns1, Kcng1, Slc22a2, Slc6a7, Kcnk3, Slc13a4, Kcnv1, Slc22a1, Kcnf1, Kcnh3, Slc47a1"
"GO_CALCIUM_CHANNEL_REGULATOR_ACTIVITY",34,0,0.264705882352941,"Up",0.001,0.00793965517241379,"ENSMUSG00000056755, ENSMUSG00000052889, ENSMUSG00000007207, ENSMUSG00000020635","Grm7, Prkcb, Stx1a, Fkbp1b"
"GO_CALCIUM_ION_BINDING",584,0.0273972602739726,0.261986301369863,"Up",0.001,0.00793965517241379,"ENSMUSG00000029618, ENSMUSG00000027401, ENSMUSG00000039676, ENSMUSG00000022441, ENSMUSG00000028785, ENSMUSG00000028161, ENSMUSG00000062372, ENSMUSG00000056427, ENSMUSG00000059898, ENSMUSG00000032946, ENSMUSG00000031445, ENSMUSG00000021950, ENSMUSG00000040452, ENSMUSG00000021313, ENSMUSG00000054459, ENSMUSG00000036510, ENSMUSG00000025370, ENSMUSG00000039824, ENSMUSG00000027171, ENSMUSG00000059741, ENSMUSG00000052301, ENSMUSG00000029471, ENSMUSG00000021803, ENSMUSG00000040536, ENSMUSG00000035860, ENSMUSG00000056755, ENSMUSG00000052374, ENSMUSG00000104252, ENSMUSG00000031962, ENSMUSG00000025889, ENSMUSG00000030302, ENSMUSG00000020562, ENSMUSG00000004961, ENSMUSG00000040543, ENSMUSG00000020848, ENSMUSG00000029161, ENSMUSG00000020690, ENSMUSG00000060371, ENSMUSG00000000303, ENSMUSG00000103897, ENSMUSG00000001023, ENSMUSG00000027612, ENSMUSG00000022212, ENSMUSG00000005474","Ocm, Tgm3, Capsl, Efcab6, Hpca, Ppp3ca, Otof, Slit3, Dsc3, Rasgrp2, Proz, Anxa8, Cdh12, Ryr2, Vsnl1, Cdh8, Cdh9, Myl6b, Prrg4, Myl3, Doc2a, Camkk2, Cdhr1, Necab1, Cdhr3, Grm7, Actn2, Pcdha4, Cdh15, Snca, Atp2b2, Efcab10, Syt5, Pitpnm3, Doc2b, Cgref1, Efcab3, Caln1, Cdh1, Pcdhga8, S100a5, Mmp24, Cpne6, Myl10"
"GO_HEPARIN_BINDING",132,0.0151515151515152,0.257575757575758,"Up",0.001,0.00793965517241379,"ENSMUSG00000031825, ENSMUSG00000041559, ENSMUSG00000035258, ENSMUSG00000037362, ENSMUSG00000051920, ENSMUSG00000019936, ENSMUSG00000015568, ENSMUSG00000021732, ENSMUSG00000056427","Crispld2, Fmod, Abi3bp, Nov, Rspo2, Epyc, Lpl, Fgf10, Slit3"
"GO_SIGNALING_RECEPTOR_ACTIVITY",796,0.0150753768844221,0.25,"Up",0.001,0.00793965517241379,"ENSMUSG00000044933, ENSMUSG00000020123, ENSMUSG00000046922, ENSMUSG00000028661, ENSMUSG00000027568, ENSMUSG00000019865, ENSMUSG00000038403, ENSMUSG00000036437, ENSMUSG00000030084, ENSMUSG00000025905, ENSMUSG00000032769, ENSMUSG00000029245, ENSMUSG00000034009, ENSMUSG00000049511, ENSMUSG00000044014, ENSMUSG00000031491, ENSMUSG00000038760, ENSMUSG00000022061, ENSMUSG00000040495, ENSMUSG00000051314, ENSMUSG00000068696, ENSMUSG00000057280, ENSMUSG00000071489, ENSMUSG00000010803, ENSMUSG00000037579, ENSMUSG00000059003, ENSMUSG00000068037, ENSMUSG00000057439, ENSMUSG00000043811, ENSMUSG00000056755, ENSMUSG00000041380, ENSMUSG00000047904, ENSMUSG00000038745, ENSMUSG00000018634, ENSMUSG00000037014, ENSMUSG00000043366, ENSMUSG00000037157, ENSMUSG00000032773, ENSMUSG00000047415, ENSMUSG00000026235, ENSMUSG00000009376, ENSMUSG00000021478, ENSMUSG00000040016, ENSMUSG00000059203, ENSMUSG00000028664, ENSMUSG00000020635, ENSMUSG00000025056, ENSMUSG00000039059, ENSMUSG00000055078, ENSMUSG00000032584, ENSMUSG00000021313, ENSMUSG00000020963, ENSMUSG00000026237","Sstr3, Avpr1a, Gpr6, Epha8, Ntsr1, Nmbr, Hfe2, Npy1r, Plxna1, Oprk1, Trpa1, Epha5, Rxfp1, Htr1b, Npy5r, Chrna6, Trhr, Nkx3-1, Chrm4, Ffar2, Gpr88, Musk, Ptgdr, Gabra1, Kcnh3, Grin2a, Mas1, Kir3dl2, Rtn4r, Grm7, Htr2c, Sstr2, Nlrp6, Crhr1, Sstr4, Olfr78, Il22ra1, Chrm1, Gpr68, Epha4, Met, Drd1, Ptger3, Il1rapl2, Ephb2, Fkbp1b, Nr0b1, Hrh3, Gabra5, Mst1r, Ryr2, Tshr, Nmur1"
"GO_NITRIC_OXIDE_SYNTHASE_BINDING",16,0,0.25,"Up",0.001,0.00793965517241379,"ENSMUSG00000020838","Slc6a4"
"GO_ORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",12,0.0833333333333333,0.25,"Up",0.001,0.00793965517241379,"ENSMUSG00000023829, ENSMUSG00000040966","Slc22a1, Slc22a2"
"GO_ION_CHANNEL_BINDING",102,0.0294117647058824,0.245098039215686,"Up",0.001,0.00793965517241379,"ENSMUSG00000020635, ENSMUSG00000052374, ENSMUSG00000031137, ENSMUSG00000058498, ENSMUSG00000007207, ENSMUSG00000061603, ENSMUSG00000021313, ENSMUSG00000035226, ENSMUSG00000019787, ENSMUSG00000032826","Fkbp1b, Actn2, Fgf13, Rnf207, Stx1a, Akap6, Ryr2, Rims4, Trdn, Ank2"
"GO_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON",86,0,0.244186046511628,"Up",0.001,0.00793965517241379,"ENSMUSG00000032826, ENSMUSG00000035775, ENSMUSG00000022055, ENSMUSG00000067889, ENSMUSG00000022054, ENSMUSG00000031972, ENSMUSG00000054146","Ank2, Krt20, Nefl, Sptbn2, Nefm, Acta1, Krt15"
"GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR",37,0,0.243243243243243,"Up",0.001,0.00793965517241379,"ENSMUSG00000041323, ENSMUSG00000046242","Ak7, Nme9"
"GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",162,0.0493827160493827,0.228395061728395,"Up",0.001,0.00793965517241379,"ENSMUSG00000030302, ENSMUSG00000052026, ENSMUSG00000029843, ENSMUSG00000029188, ENSMUSG00000010122, ENSMUSG00000017740, ENSMUSG00000020651, ENSMUSG00000019943, ENSMUSG00000036083, ENSMUSG00000067144, ENSMUSG00000037994, ENSMUSG00000070570","Atp2b2, Slc6a7, Slc13a4, Slc34a2, Slc47a1, Slc12a5, Slc26a4, Atp2b1, Slc17a3, Slc22a7, Slc9b2, Slc17a7"
"GO_ANTIPORTER_ACTIVITY",66,0.0151515151515152,0.227272727272727,"Up",0.001,0.00793965517241379,"ENSMUSG00000020651, ENSMUSG00000067144, ENSMUSG00000037994, ENSMUSG00000010122","Slc26a4, Slc22a7, Slc9b2, Slc47a1"
"GO_SIGNAL_TRANSDUCER_ACTIVITY",1112,0.0188848920863309,0.220323741007194,"Up",0.001,0.00793965517241379,"ENSMUSG00000037157, ENSMUSG00000037014, ENSMUSG00000043366, ENSMUSG00000026235, ENSMUSG00000045038, ENSMUSG00000063704, ENSMUSG00000009376, ENSMUSG00000032773, ENSMUSG00000047415, ENSMUSG00000018634, ENSMUSG00000037126, ENSMUSG00000047904, ENSMUSG00000038745, ENSMUSG00000041380, ENSMUSG00000056755, ENSMUSG00000057439, ENSMUSG00000043811, ENSMUSG00000032584, ENSMUSG00000021313, ENSMUSG00000020963, ENSMUSG00000026237, ENSMUSG00000025056, ENSMUSG00000020937, ENSMUSG00000055078, ENSMUSG00000048915, ENSMUSG00000039059, ENSMUSG00000030792, ENSMUSG00000024186, ENSMUSG00000059203, ENSMUSG00000020635, ENSMUSG00000028664, ENSMUSG00000087141, ENSMUSG00000021478, ENSMUSG00000024524, ENSMUSG00000040016, ENSMUSG00000074923, ENSMUSG00000029245, ENSMUSG00000034009, ENSMUSG00000032769, ENSMUSG00000031491, ENSMUSG00000049511, ENSMUSG00000044014, ENSMUSG00000025905, ENSMUSG00000027568, ENSMUSG00000019865, ENSMUSG00000036437, ENSMUSG00000030084, ENSMUSG00000038403, ENSMUSG00000044933, ENSMUSG00000020123, ENSMUSG00000046922, ENSMUSG00000028661, ENSMUSG00000059003, ENSMUSG00000068037, ENSMUSG00000037337, ENSMUSG00000010803, ENSMUSG00000037579, ENSMUSG00000071489, ENSMUSG00000040495, ENSMUSG00000068696, ENSMUSG00000057280, ENSMUSG00000051314, ENSMUSG00000038760, ENSMUSG00000030775, ENSMUSG00000022061","Il22ra1, Sstr4, Olfr78, Epha4, Prkce, Mapk15, Met, Chrm1, Gpr68, Crhr1, Psd, Sstr2, Nlrp6, Htr2c, Grm7, Kir3dl2, Rtn4r, Mst1r, Ryr2, Tshr, Nmur1, Nr0b1, Plcd3, Gabra5, Efna5, Hrh3, Dkkl1, Rgs11, Il1rapl2, Fkbp1b, Ephb2, Plcxd2, Drd1, Gnal, Ptger3, Pak6, Epha5, Rxfp1, Trpa1, Chrna6, Htr1b, Npy5r, Oprk1, Ntsr1, Nmbr, Npy1r, Plxna1, Hfe2, Sstr3, Avpr1a, Gpr6, Epha8, Grin2a, Mas1, Map4k1, Gabra1, Kcnh3, Ptgdr, Chrm4, Gpr88, Musk, Ffar2, Trhr, Trat1, Nkx3-1"
"GO_CADHERIN_BINDING",28,0.0357142857142857,0.214285714285714,"Up",0.001,0.00793965517241379,"ENSMUSG00000005871, ENSMUSG00000021057, ENSMUSG00000027612","Apc, Akap5, Mmp24"
"GO_TRANSPORTER_ACTIVITY",1112,0.0431654676258993,0.20863309352518,"Up",0.001,0.00793965517241379,"ENSMUSG00000028773, ENSMUSG00000040543, ENSMUSG00000036578, ENSMUSG00000029188, ENSMUSG00000030302, ENSMUSG00000022416, ENSMUSG00000010122, ENSMUSG00000078815, ENSMUSG00000074575, ENSMUSG00000031491, ENSMUSG00000050822, ENSMUSG00000024112, ENSMUSG00000032769, ENSMUSG00000015342, ENSMUSG00000044216, ENSMUSG00000043673, ENSMUSG00000041710, ENSMUSG00000024957, ENSMUSG00000020838, ENSMUSG00000037994, ENSMUSG00000019943, ENSMUSG00000021612, ENSMUSG00000037579, ENSMUSG00000051726, ENSMUSG00000010803, ENSMUSG00000020866, ENSMUSG00000074968, ENSMUSG00000059003, ENSMUSG00000038026, ENSMUSG00000029151, ENSMUSG00000054986, ENSMUSG00000070570, ENSMUSG00000056755, ENSMUSG00000023829, ENSMUSG00000022212, ENSMUSG00000036251, ENSMUSG00000064065, ENSMUSG00000040164, ENSMUSG00000067144, ENSMUSG00000058441, ENSMUSG00000022696, ENSMUSG00000068615, ENSMUSG00000036083, ENSMUSG00000020635, ENSMUSG00000022243, ENSMUSG00000073063, ENSMUSG00000055078, ENSMUSG00000040966, ENSMUSG00000049265, ENSMUSG00000029843, ENSMUSG00000052026, ENSMUSG00000022342, ENSMUSG00000032818, ENSMUSG00000040693, ENSMUSG00000019146, ENSMUSG00000021313, ENSMUSG00000017740, ENSMUSG00000020651","Fabp3, Pitpnm3, Fxyd7, Slc34a2, Atp2b2, Cacna1i, Slc47a1, Cacng6, Kcng1, Chrna6, Slc29a4, Cacna1h, Trpa1, Xk, Kcnj4, Kcns3, Trpc5, Kcnk4, Slc6a4, Slc9b2, Atp2b1, Slc6a18, Kcnh3, Kcnf1, Gabra1, Cacna1g, Ano3, Grin2a, Kcnj9, Slc30a3, Sec14l3, Slc17a7, Grm7, Slc22a1, Cpne6, Trpm8, Ipcef1, Kcns1, Slc22a7, Panx2, Sidt1, Gjd2, Slc17a3, Fkbp1b, Slc45a2, Hbq1b, Gabra5, Slc22a2, Kcnk3, Slc13a4, Slc6a7, Kcnv1, Loxhd1, Slco4c1, Cacng2, Ryr2, Slc12a5, Slc26a4"
"GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",255,0.0470588235294118,0.203921568627451,"Up",0.001,0.00793965517241379,"ENSMUSG00000055078, ENSMUSG00000010803, ENSMUSG00000052026, ENSMUSG00000074968, ENSMUSG00000029843, ENSMUSG00000040693, ENSMUSG00000067144, ENSMUSG00000017740, ENSMUSG00000020651, ENSMUSG00000029188, ENSMUSG00000070570, ENSMUSG00000036083, ENSMUSG00000021612","Gabra5, Gabra1, Slc6a7, Ano3, Slc13a4, Slco4c1, Slc22a7, Slc12a5, Slc26a4, Slc34a2, Slc17a7, Slc17a3, Slc6a18"
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",324,0.0462962962962963,0.200617283950617,"Up",0.001,0.00793965517241379,"ENSMUSG00000040966, ENSMUSG00000052026, ENSMUSG00000029843, ENSMUSG00000010122, ENSMUSG00000023829, ENSMUSG00000017740, ENSMUSG00000020651, ENSMUSG00000067144, ENSMUSG00000050822, ENSMUSG00000040693, ENSMUSG00000030302, ENSMUSG00000029188, ENSMUSG00000021612, ENSMUSG00000019943, ENSMUSG00000022243, ENSMUSG00000036083, ENSMUSG00000037994, ENSMUSG00000020838, ENSMUSG00000070570","Slc22a2, Slc6a7, Slc13a4, Slc47a1, Slc22a1, Slc12a5, Slc26a4, Slc22a7, Slc29a4, Slco4c1, Atp2b2, Slc34a2, Slc6a18, Atp2b1, Slc45a2, Slc17a3, Slc9b2, Slc6a4, Slc17a7"
"GO_PHOSPHOLIPASE_C_ACTIVITY",30,0,0.2,"Up",0.001,0.00793965517241379,"ENSMUSG00000020937, ENSMUSG00000032773","Plcd3, Chrm1"
"GO_PROTEOGLYCAN_BINDING",25,0,0.2,"Up",0.001,0.00793965517241379,"ENSMUSG00000055653, ENSMUSG00000074852","Gpc3, Hpse2"
