"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS",24,0,0.458333333333333,"Up",0.001,0.0184166666666667,"ENSMUSG00000059003, ENSMUSG00000022055, ENSMUSG00000021708, ENSMUSG00000057897, ENSMUSG00000052374","Grin2a, Nefl, Rasgrf2, Camk2b, Actn2"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,0,0.451612903225806,"Up",0.001,0.0184166666666667,"ENSMUSG00000044216, ENSMUSG00000038026","Kcnj4, Kcnj9"
"REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS",30,0,0.433333333333333,"Up",0.001,0.0184166666666667,"ENSMUSG00000020431, ENSMUSG00000059003, ENSMUSG00000022055, ENSMUSG00000021708, ENSMUSG00000038128, ENSMUSG00000057897, ENSMUSG00000052374","Adcy1, Grin2a, Nefl, Rasgrf2, Camk4, Camk2b, Actn2"
"REACTOME_GABA_RECEPTOR_ACTIVATION",52,0,0.423076923076923,"Up",0.001,0.0184166666666667,"ENSMUSG00000020431, ENSMUSG00000010803, ENSMUSG00000055078, ENSMUSG00000024524, ENSMUSG00000044216, ENSMUSG00000038026","Adcy1, Gabra1, Gabra5, Gnal, Kcnj4, Kcnj9"
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT",12,0,0.416666666666667,"Up",0.001,0.0184166666666667,"ENSMUSG00000067144, ENSMUSG00000023829, ENSMUSG00000040966","Slc22a7, Slc22a1, Slc22a2"
"KEGG_CALCIUM_SIGNALING_PATHWAY",170,0.0117647058823529,0.352941176470588,"Up",0.001,0.0184166666666667,"ENSMUSG00000040016, ENSMUSG00000027568, ENSMUSG00000020937, ENSMUSG00000021478, ENSMUSG00000038760, ENSMUSG00000032773, ENSMUSG00000020431, ENSMUSG00000038128, ENSMUSG00000057897, ENSMUSG00000024524, ENSMUSG00000030302, ENSMUSG00000019943, ENSMUSG00000052889, ENSMUSG00000021313, ENSMUSG00000078816, ENSMUSG00000059173, ENSMUSG00000059003, ENSMUSG00000041380, ENSMUSG00000020123, ENSMUSG00000028161, ENSMUSG00000024112, ENSMUSG00000020866, ENSMUSG00000022416","Ptger3, Ntsr1, Plcd3, Drd1, Trhr, Chrm1, Adcy1, Camk4, Camk2b, Gnal, Atp2b2, Atp2b1, Prkcb, Ryr2, Prkcg, Pde1a, Grin2a, Htr2c, Avpr1a, Ppp3ca, Cacna1h, Cacna1g, Cacna1i"
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",23,0,0.347826086956522,"Up",0.001,0.0184166666666667,"ENSMUSG00000032946, ENSMUSG00000045038, ENSMUSG00000031997","Rasgrp2, Prkce, Trpc6"
"REACTOME_DAG_AND_IP3_SIGNALING",27,0,0.333333333333333,"Up",0.001,0.0184166666666667,"ENSMUSG00000020431, ENSMUSG00000059173, ENSMUSG00000045038, ENSMUSG00000078816, ENSMUSG00000038128","Adcy1, Pde1a, Prkce, Prkcg, Camk4"
"PID_SYNDECAN_1_PATHWAY",46,0.0217391304347826,0.304347826086957,"Up",0.001,0.0184166666666667,"ENSMUSG00000056174, ENSMUSG00000009376, ENSMUSG00000068196","Col8a2, Met, Col8a1"
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",10,0,0.3,"Up",0.001,0.0184166666666667,"ENSMUSG00000023829, ENSMUSG00000040966","Slc22a1, Slc22a2"
