"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_ACETYLCHOLINE_BINDING",20,0,0.55,"Up",0.001,0.0309,"ENSMUSG00000027950, ENSMUSG00000032269, ENSMUSG00000046159, ENSMUSG00000008590, ENSMUSG00000035200, ENSMUSG00000023328, ENSMUSG00000031492","Chrnb2, Htr3a, Chrm3, Htr3b, Chrnb4, Ache, Chrnb3"
"GO_TRANSLATION_REPRESSOR_ACTIVITY",19,0,0.473684210526316,"Up",0.001,0.0309,"ENSMUSG00000043991, ENSMUSG00000024268, ENSMUSG00000072437, ENSMUSG00000025586, ENSMUSG00000039652, ENSMUSG00000045193","Pura, Celf4, Nanos1, Cpeb1, Cpeb3, Cirbp"
"GO_TRANSLATION_REGULATOR_ACTIVITY",32,0.0625,0.375,"Up",0.001,0.0309,"ENSMUSG00000045193, ENSMUSG00000033581, ENSMUSG00000025586, ENSMUSG00000043991, ENSMUSG00000039652, ENSMUSG00000024268, ENSMUSG00000072437","Cirbp, Igf2bp2, Cpeb1, Pura, Cpeb3, Celf4, Nanos1"
"GO_HYDRO_LYASE_ACTIVITY",42,0.333333333333333,0.0714285714285714,"Down",0.001,0.0309,"ENSMUSG00000028972, ENSMUSG00000059447, ENSMUSG00000025465, ENSMUSG00000028405, ENSMUSG00000027562, ENSMUSG00000024507, ENSMUSG00000025745, ENSMUSG00000022130, ENSMUSG00000059040, ENSMUSG00000022853, ENSMUSG00000032126","Car6, Hadhb, Echs1, Aco1, Car2, Hsd17b4, Hadha, Tgds, Eno1b, Ehhadh, Hmbs"
"GO_OXIDOREDUCTASE_ACTIVITY_OXIDIZING_METAL_IONS_NAD_OR_NADP_AS_ACCEPTOR",10,0.3,0.1,"Down",0.001,0.0309,"ENSMUSG00000012428, ENSMUSG00000033386, ENSMUSG00000015652","Steap4, Frrs1, Steap1"
"GO_SERINE_TYPE_CARBOXYPEPTIDASE_ACTIVITY",14,0.285714285714286,0,"Down",0.001,0.0309,"ENSMUSG00000017760, ENSMUSG00000020841, ENSMUSG00000061119, ENSMUSG00000020473","Ctsa, Cpd, Prcp, Aebp1"
"GO_CARBON_OXYGEN_LYASE_ACTIVITY",62,0.258064516129032,0.0645161290322581,"Down",0.001,0.0309,"ENSMUSG00000032126, ENSMUSG00000059040, ENSMUSG00000025745, ENSMUSG00000022130, ENSMUSG00000027562, ENSMUSG00000025465, ENSMUSG00000028972, ENSMUSG00000030271, ENSMUSG00000022853, ENSMUSG00000024507, ENSMUSG00000059447, ENSMUSG00000028405","Hmbs, Eno1b, Hadha, Tgds, Car2, Echs1, Car6, Ogg1, Ehhadh, Hsd17b4, Hadhb, Aco1"
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING",39,0.256410256410256,0,"Down",0.001,0.0309,"ENSMUSG00000022503, ENSMUSG00000038644, ENSMUSG00000028405, ENSMUSG00000056310","Nubp1, Pold1, Aco1, Tyw1"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS",53,0.245283018867925,0.0566037735849057,"Down",0.001,0.0309,"ENSMUSG00000029545, ENSMUSG00000072946, ENSMUSG00000062908, ENSMUSG00000029233, ENSMUSG00000028223, ENSMUSG00000090150, ENSMUSG00000056666, ENSMUSG00000004880, ENSMUSG00000018574, ENSMUSG00000036138, ENSMUSG00000025155, ENSMUSG00000026003","Acads, Ptgr2, Acadm, Srd5a3, Decr1, Acad11, Retsat, Lbr, Acadvl, Acaa1a, Dus1l, Acadl"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS",25,0.24,0.04,"Down",0.001,0.0309,"ENSMUSG00000026520, ENSMUSG00000021707, ENSMUSG00000021048, ENSMUSG00000009614, ENSMUSG00000027333","Pycr2, Dhfr, Mthfd1, Sardh, Smox"
"GO_LYASE_ACTIVITY",157,0.222929936305732,0.10828025477707,"Down",0.001,0.0309,"ENSMUSG00000024556, ENSMUSG00000028672, ENSMUSG00000028972, ENSMUSG00000032126, ENSMUSG00000025745, ENSMUSG00000022130, ENSMUSG00000059040, ENSMUSG00000059447, ENSMUSG00000022853, ENSMUSG00000024507, ENSMUSG00000056310, ENSMUSG00000023044, ENSMUSG00000074064, ENSMUSG00000039616, ENSMUSG00000025465, ENSMUSG00000026473, ENSMUSG00000030271, ENSMUSG00000027562, ENSMUSG00000021884, ENSMUSG00000027931, ENSMUSG00000028405, ENSMUSG00000030225, ENSMUSG00000025218, ENSMUSG00000024588","Me2, Hmgcl, Car6, Hmbs, Hadha, Tgds, Eno1b, Hadhb, Ehhadh, Hsd17b4, Tyw1, Csad, Mlycd, Mocos, Echs1, Glul, Ogg1, Car2, Hacl1, Npr1, Aco1, Dera, Poll, Fech"
