"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",9,0.777777777777778,0,"Down",0.001,0.013530612244898,"ENSMUSG00000032113, ENSMUSG00000029521, ENSMUSG00000032409, ENSMUSG00000031016, ENSMUSG00000041431, ENSMUSG00000019942, ENSMUSG00000044201","Chek1, Chek2, Atr, Wee1, Ccnb1, Cdk1, Cdc25c"
"PID_FOXM1_PATHWAY",39,0.666666666666667,0.128205128205128,"Down",0.001,0.013530612244898,"ENSMUSG00000001517, ENSMUSG00000026605, ENSMUSG00000001280, ENSMUSG00000030867, ENSMUSG00000041147, ENSMUSG00000019942, ENSMUSG00000002068, ENSMUSG00000055024, ENSMUSG00000070348, ENSMUSG00000029177, ENSMUSG00000022521, ENSMUSG00000032218, ENSMUSG00000054115, ENSMUSG00000017716, ENSMUSG00000027330, ENSMUSG00000020897, ENSMUSG00000027715, ENSMUSG00000029521, ENSMUSG00000041431, ENSMUSG00000019768, ENSMUSG00000026622, ENSMUSG00000025358, ENSMUSG00000013089","Foxm1, Cenpf, Sp1, Plk1, Brca2, Cdk1, Ccne1, Ep300, Ccnd1, Cenpa, Crebbp, Ccnb2, Skp2, Birc5, Cdc25b, Aurkb, Ccna2, Chek2, Ccnb1, Esr1, Nek2, Cdk2, Etv5"
"BIOCARTA_CARM1_PATHWAY",12,0.583333333333333,0.0833333333333333,"Down",0.001,0.013530612244898,"ENSMUSG00000055024, ENSMUSG00000037992, ENSMUSG00000025958, ENSMUSG00000032185, ENSMUSG00000022521, ENSMUSG00000032601","Ep300, Rara, Creb1, Carm1, Crebbp, Prkar2a"
"PID_HEDGEHOG_2PATHWAY",21,0.571428571428571,0.0476190476190476,"Down",0.001,0.013530612244898,"ENSMUSG00000028718, ENSMUSG00000027665, ENSMUSG00000037375, ENSMUSG00000022687, ENSMUSG00000048776, ENSMUSG00000028681, ENSMUSG00000006538, ENSMUSG00000039239, ENSMUSG00000002633, ENSMUSG00000001761, ENSMUSG00000027070","Stil, Pik3ca, Hhat, Boc, Pthlh, Ptch2, Ihh, Tgfb2, Shh, Smo, Lrp2"
"REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION",23,0.565217391304348,0.0434782608695652,"Down",0.001,0.013530612244898,"ENSMUSG00000059401, ENSMUSG00000022521, ENSMUSG00000055024, ENSMUSG00000047888, ENSMUSG00000052684, ENSMUSG00000002227, ENSMUSG00000015468, ENSMUSG00000061143, ENSMUSG00000025571, ENSMUSG00000070348, ENSMUSG00000059552, ENSMUSG00000031925","Mamld1, Crebbp, Ep300, Tnrc6b, Jun, Mov10, Notch4, Maml3, Tnrc6c, Ccnd1, Trp53, Maml2"
"BIOCARTA_RB_PATHWAY",13,0.538461538461538,0,"Down",0.001,0.013530612244898,"ENSMUSG00000032113, ENSMUSG00000025358, ENSMUSG00000031016, ENSMUSG00000059552, ENSMUSG00000019942, ENSMUSG00000027330, ENSMUSG00000044201","Chek1, Cdk2, Wee1, Trp53, Cdk1, Cdc25b, Cdc25c"
"REACTOME_GLUTATHIONE_CONJUGATION",17,0,0.470588235294118,"Up",0.001,0.013530612244898,"ENSMUSG00000025069, ENSMUSG00000032350, ENSMUSG00000028124, ENSMUSG00000027610, ENSMUSG00000027890, ENSMUSG00000060803, ENSMUSG00000002797","Gsto2, Gclc, Gclm, Gss, Gstm4, Gstp1, Ggct"
"KEGG_P53_SIGNALING_PATHWAY",61,0.459016393442623,0.0819672131147541,"Down",0.001,0.013530612244898,"ENSMUSG00000026029, ENSMUSG00000047281, ENSMUSG00000019942, ENSMUSG00000004446, ENSMUSG00000024521, ENSMUSG00000019851, ENSMUSG00000032409, ENSMUSG00000029521, ENSMUSG00000019979, ENSMUSG00000020649, ENSMUSG00000022385, ENSMUSG00000070348, ENSMUSG00000013663, ENSMUSG00000025358, ENSMUSG00000032113, ENSMUSG00000038332, ENSMUSG00000059552, ENSMUSG00000028212, ENSMUSG00000040274, ENSMUSG00000026389, ENSMUSG00000032218, ENSMUSG00000000184, ENSMUSG00000041431, ENSMUSG00000002068, ENSMUSG00000040152, ENSMUSG00000034165","Casp8, Sfn, Cdk1, Bid, Pmaip1, Perp, Atr, Chek2, Apaf1, Rrm2, Gtse1, Ccnd1, Pten, Cdk2, Chek1, Sesn1, Trp53, Ccne2, Cdk6, Steap3, Ccnb2, Ccnd2, Ccnb1, Ccne1, Thbs1, Ccnd3"
"REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS",25,0.44,0,"Down",0.001,0.013530612244898,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000022905, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Kpna1, Nup54, Ranbp2, Tpr, Nup155, Nup153"
"REACTOME_RNA_POL_I_PROMOTER_OPENING",23,0,0.434782608695652,"Up",0.001,0.013530612244898,"ENSMUSG00000081058, ENSMUSG00000063065, ENSMUSG00000018102, ENSMUSG00000060639","Hist2h3c2, Mapk3, Hist1h2bc, Hist1h4i"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",49,0.428571428571429,0.0204081632653061,"Down",0.001,0.013530612244898,"ENSMUSG00000028156, ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000038446, ENSMUSG00000034826, ENSMUSG00000041781, ENSMUSG00000003226, ENSMUSG00000034120, ENSMUSG00000024097, ENSMUSG00000006005, ENSMUSG00000004642, ENSMUSG00000055436, ENSMUSG00000022142, ENSMUSG00000021374","Eif4e, Nup205, Nup210, Cdc40, Nup54, Cpsf2, Ranbp2, Srsf2, Srsf7, Tpr, Slbp, Srsf11, Nup155, Nup153"
"REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT",30,0.4,0.0333333333333333,"Down",0.001,0.013530612244898,"ENSMUSG00000028156, ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000034826, ENSMUSG00000041781, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Eif4e, Nup205, Nup210, Nup54, Cpsf2, Ranbp2, Tpr, Nup155, Nup153"
"REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY",25,0.4,0,"Down",0.001,0.013530612244898,"ENSMUSG00000038759, ENSMUSG00000030091, ENSMUSG00000034826, ENSMUSG00000003226, ENSMUSG00000006005, ENSMUSG00000022142, ENSMUSG00000021374","Nup205, Nup210, Nup54, Ranbp2, Tpr, Nup155, Nup153"
