"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"GO_GDP_DISSOCIATION_INHIBITOR_ACTIVITY",11,0.636363636363636,0,"Down",0.001,0.0328928571428571,"ENSMUSG00000052087, ENSMUSG00000073433, ENSMUSG00000005732, ENSMUSG00000025132, ENSMUSG00000030220, ENSMUSG00000036206","Rgs14, Arhgdig, Ranbp1, Arhgdia, Arhgdib, Sh3bp4"
"GO_TRANSCRIPTION_COACTIVATOR_BINDING",10,0,0.5,"Up",0.001,0.0328928571428571,"ENSMUSG00000032238, ENSMUSG00000026349, ENSMUSG00000028341, ENSMUSG00000022383","Rora, Ccnt2, Nr4a3, Ppara"
"GO_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY",15,0.4,0.0666666666666667,"Down",0.001,0.0328928571428571,"ENSMUSG00000033316, ENSMUSG00000037280, ENSMUSG00000089704, ENSMUSG00000060988, ENSMUSG00000020520","Galnt9, Galnt6, Galnt2, Galnt13, Galnt10"
"GO_MACROLIDE_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.001,0.0328928571428571,"ENSMUSG00000024222, ENSMUSG00000030357, ENSMUSG00000032966, ENSMUSG00000007944","Fkbp5, Fkbp4, Fkbp1a, Ttc9b"
"GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY",14,0.357142857142857,0.0714285714285714,"Down",0.001,0.0328928571428571,"ENSMUSG00000041301, ENSMUSG00000019998, ENSMUSG00000021124, ENSMUSG00000007207","Cftr, Stx7, Vti1b, Stx1a"
"GO_ACTIN_MONOMER_BINDING",22,0.318181818181818,0,"Down",0.001,0.0328928571428571,"ENSMUSG00000023022, ENSMUSG00000022353, ENSMUSG00000030707, ENSMUSG00000020173, ENSMUSG00000034903, ENSMUSG00000018293","Lima1, Mtss1, Coro1a, Cobl, Cobll1, Pfn1"
"GO_ACID_THIOL_LIGASE_ACTIVITY",17,0,0.294117647058824,"Up",0.001,0.0328928571428571,"ENSMUSG00000076435, ENSMUSG00000027452, ENSMUSG00000055923, ENSMUSG00000030972","Acsf2, Acss1, Aasdh, Acsm5"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_2_OXOGLUTARATE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_EACH_OF_OXYGEN_INTO_BOTH_DONORS",38,0.0789473684210526,0.289473684210526,"Up",0.001,0.0328928571428571,"ENSMUSG00000040943, ENSMUSG00000032374, ENSMUSG00000018906, ENSMUSG00000056673, ENSMUSG00000051048","Tet2, Plod2, P4ha2, Kdm5d, P4ha3"
"GO_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING",71,0.0422535211267606,0.28169014084507,"Up",0.001,0.0328928571428571,"ENSMUSG00000062729, ENSMUSG00000040147, ENSMUSG00000009614, ENSMUSG00000040181, ENSMUSG00000063428, ENSMUSG00000036932, ENSMUSG00000027332, ENSMUSG00000003809, ENSMUSG00000068742, ENSMUSG00000022763, ENSMUSG00000026692, ENSMUSG00000003526, ENSMUSG00000063558","Ppox, Maob, Sardh, Fmo1, Ddo, Aifm1, Ivd, Gcdh, Cry2, Aifm3, Fmo4, Prodh, Aox1"
"GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS",37,0.135135135135135,0.27027027027027,"Up",0.001,0.0328928571428571,"ENSMUSG00000027452, ENSMUSG00000020333, ENSMUSG00000032557, ENSMUSG00000076435, ENSMUSG00000031808, ENSMUSG00000055923, ENSMUSG00000030972, ENSMUSG00000032281, ENSMUSG00000024207","Acss1, Acsl6, Uba5, Acsf2, Slc27a1, Aasdh, Acsm5, Acsbg1, Acsbg2"
"GO_GTPASE_ACTIVITY",219,0.255707762557078,0.100456621004566,"Down",0.001,0.0328928571428571,"ENSMUSG00000055723, ENSMUSG00000048076, ENSMUSG00000025499, ENSMUSG00000038607, ENSMUSG00000027523, ENSMUSG00000019066, ENSMUSG00000062380, ENSMUSG00000021066, ENSMUSG00000038811, ENSMUSG00000001525, ENSMUSG00000051853, ENSMUSG00000033216, ENSMUSG00000034994, ENSMUSG00000019478, ENSMUSG00000024870, ENSMUSG00000003411, ENSMUSG00000006699, ENSMUSG00000020440, ENSMUSG00000057455, ENSMUSG00000045007, ENSMUSG00000021062, ENSMUSG00000016349, ENSMUSG00000057614, ENSMUSG00000031840, ENSMUSG00000017837, ENSMUSG00000029449, ENSMUSG00000060904, ENSMUSG00000010086, ENSMUSG00000000711, ENSMUSG00000030220, ENSMUSG00000029064, ENSMUSG00000035150, ENSMUSG00000001847, ENSMUSG00000003037, ENSMUSG00000029713, ENSMUSG00000071658, ENSMUSG00000040265, ENSMUSG00000023004, ENSMUSG00000034472, ENSMUSG00000026825, ENSMUSG00000011148, ENSMUSG00000021700, ENSMUSG00000008859, ENSMUSG00000043670, ENSMUSG00000072235, ENSMUSG00000062591","Rras2, Arf1, Hras, Gng10, Gnas, Rab3d, Tubb3, Atl1, Gngt2, Tubb5, Arf3, Eefsec, Eef2, Rab4a, Rab1b, Rab3b, Cdc42, Arf5, Rit2, Tubg2, Rab15, Eef1a2, Gnai1, Rab3a, Nkiras2, Rhof, Arl1, Rnf112, Rab5b, Arhgdib, Gnb1, Eif2s3x, Rac1, Rab8a, Gnb2, Gng3, Dnm3, Tuba1b, Rasd2, Dnm1, Adssl1, Rab3c, Rala, Diras1, Tuba1a, Tubb4a"
"GO_L_ASCORBIC_ACID_BINDING",17,0.0588235294117647,0.235294117647059,"Up",0.001,0.0328928571428571,"ENSMUSG00000051048, ENSMUSG00000032374, ENSMUSG00000018906","P4ha3, Plod2, P4ha2"
"GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY",16,0.1875,0,"Down",0.001,0.0328928571428571,"ENSMUSG00000004552, ENSMUSG00000031628","Ctse, Casp3"
"GO_OXIDIZED_NAD_BINDING",13,0.0769230769230769,0.0769230769230769,"Up",0.001,0.0328928571428571,"ENSMUSG00000021794","Glud1"
"GO_PROTEIN_BINDING_INVOLVED_IN_PROTEIN_FOLDING",11,0.454545454545455,0,"Down",0.002,0.0511666666666667,"ENSMUSG00000024610, ENSMUSG00000006412, ENSMUSG00000034024, ENSMUSG00000002190, ENSMUSG00000024346","Cd74, Pfdn2, Cct2, Clgn, Pfdn1"
"GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",89,0.449438202247191,0.0561797752808989,"Down",0.002,0.0511666666666667,"ENSMUSG00000024121, ENSMUSG00000041697, ENSMUSG00000000088, ENSMUSG00000038600, ENSMUSG00000020566, ENSMUSG00000063882, ENSMUSG00000034566, ENSMUSG00000013160, ENSMUSG00000022956, ENSMUSG00000003072, ENSMUSG00000016252, ENSMUSG00000032330, ENSMUSG00000029632, ENSMUSG00000033793, ENSMUSG00000031818, ENSMUSG00000050856, ENSMUSG00000025781, ENSMUSG00000006057, ENSMUSG00000035885, ENSMUSG00000038717, ENSMUSG00000030785, ENSMUSG00000014313, ENSMUSG00000052459, ENSMUSG00000017778, ENSMUSG00000024248, ENSMUSG00000036751, ENSMUSG00000000563, ENSMUSG00000006273, ENSMUSG00000039105, ENSMUSG00000019210, ENSMUSG00000037771, ENSMUSG00000022890, ENSMUSG00000025428, ENSMUSG00000061518, ENSMUSG00000004285","Atp6v0c, Cox6a1, Cox5a, Atp6v0a4, Atp6v1c2, Uqcrh, Atp5h, Atp6v0d1, Atp5o, Atp5d, Atp5e, Cox7a2, Ndufa4, Atp6v1h, Cox4i1, Atp5k, Atp5c1, Atp5g1, Cox8a, Atp5l, Cox6a2, Cox6c, Atp6v1a, Cox7c, Cox7a2l, Cox6b1, Atp5f1, Atp6v1b2, Atp6v1g1, Atp6v1e1, Slc32a1, Atp5j, Atp5a1, Cox5b, Atp6v1f"
"GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",26,0.423076923076923,0.0384615384615385,"Down",0.002,0.0511666666666667,"ENSMUSG00000039159, ENSMUSG00000036241, ENSMUSG00000060860, ENSMUSG00000014349, ENSMUSG00000021774, ENSMUSG00000027011, ENSMUSG00000052981, ENSMUSG00000019927, ENSMUSG00000020307","Ube2h, Ube2r2, Ube2s, Ube2z, Ube2e1, Ube2e3, Ube2ql1, Ube2d1, Cdc34"
"GO_CATION_TRANSPORTING_ATPASE_ACTIVITY",57,0.403508771929825,0.12280701754386,"Down",0.002,0.0511666666666667,"ENSMUSG00000000563, ENSMUSG00000006273, ENSMUSG00000016252, ENSMUSG00000025781, ENSMUSG00000004285, ENSMUSG00000033793, ENSMUSG00000025428, ENSMUSG00000019210, ENSMUSG00000033161, ENSMUSG00000039105, ENSMUSG00000020566, ENSMUSG00000031376, ENSMUSG00000038600, ENSMUSG00000040907, ENSMUSG00000024121, ENSMUSG00000003072, ENSMUSG00000052459, ENSMUSG00000013160, ENSMUSG00000022956","Atp5f1, Atp6v1b2, Atp5e, Atp5c1, Atp6v1f, Atp6v1h, Atp5a1, Atp6v1e1, Atp1a1, Atp6v1g1, Atp6v1c2, Atp2b3, Atp6v0a4, Atp1a3, Atp6v0c, Atp5d, Atp6v1a, Atp6v0d1, Atp5o"
"GO_FK506_BINDING",18,0.388888888888889,0.0555555555555556,"Down",0.002,0.0511666666666667,"ENSMUSG00000032966, ENSMUSG00000030357, ENSMUSG00000024222, ENSMUSG00000007944","Fkbp1a, Fkbp4, Fkbp5, Ttc9b"
"GO_DEATH_RECEPTOR_BINDING",16,0.375,0.0625,"Down",0.002,0.0511666666666667,"ENSMUSG00000032244, ENSMUSG00000000817, ENSMUSG00000014776, ENSMUSG00000027859, ENSMUSG00000031628, ENSMUSG00000004446","Fem1b, Fasl, Nol3, Ngf, Casp3, Bid"
"GO_FIBROBLAST_GROWTH_FACTOR_BINDING",22,0.0909090909090909,0.363636363636364,"Up",0.002,0.0511666666666667,"ENSMUSG00000031565, ENSMUSG00000030849, ENSMUSG00000047632, ENSMUSG00000054252, ENSMUSG00000040152, ENSMUSG00000008090, ENSMUSG00000068748","Fgfr1, Fgfr2, Fgfbp3, Fgfr3, Thbs1, Fgfrl1, Ptprz1"
"GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",67,0.358208955223881,0.134328358208955,"Down",0.002,0.0511666666666667,"ENSMUSG00000033161, ENSMUSG00000033793, ENSMUSG00000025781, ENSMUSG00000016252, ENSMUSG00000041301, ENSMUSG00000013160, ENSMUSG00000022956, ENSMUSG00000003072, ENSMUSG00000024121, ENSMUSG00000020566, ENSMUSG00000038600, ENSMUSG00000039105, ENSMUSG00000019210, ENSMUSG00000025428, ENSMUSG00000004285, ENSMUSG00000006273, ENSMUSG00000000563, ENSMUSG00000052459, ENSMUSG00000040907, ENSMUSG00000031376","Atp1a1, Atp6v1h, Atp5c1, Atp5e, Cftr, Atp6v0d1, Atp5o, Atp5d, Atp6v0c, Atp6v1c2, Atp6v0a4, Atp6v1g1, Atp6v1e1, Atp5a1, Atp6v1f, Atp6v1b2, Atp5f1, Atp6v1a, Atp1a3, Atp2b3"
"GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN",24,0,0.333333333333333,"Up",0.002,0.0511666666666667,"ENSMUSG00000031604, ENSMUSG00000073424, ENSMUSG00000026692, ENSMUSG00000039519, ENSMUSG00000040181","Msmo1, Cyp4f15, Fmo4, Cyp7b1, Fmo1"
"GO_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY",9,0.111111111111111,0.333333333333333,"Up",0.002,0.0511666666666667,"ENSMUSG00000018906, ENSMUSG00000051048","P4ha2, P4ha3"
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES",115,0.31304347826087,0.121739130434783,"Down",0.002,0.0511666666666667,"ENSMUSG00000040907, ENSMUSG00000031376, ENSMUSG00000052459, ENSMUSG00000003341, ENSMUSG00000039529, ENSMUSG00000006273, ENSMUSG00000000563, ENSMUSG00000052456, ENSMUSG00000025428, ENSMUSG00000024030, ENSMUSG00000021983, ENSMUSG00000004285, ENSMUSG00000024096, ENSMUSG00000039105, ENSMUSG00000016252, ENSMUSG00000019210, ENSMUSG00000027546, ENSMUSG00000020566, ENSMUSG00000029802, ENSMUSG00000038600, ENSMUSG00000024121, ENSMUSG00000013160, ENSMUSG00000022956, ENSMUSG00000021114, ENSMUSG00000003072, ENSMUSG00000026198, ENSMUSG00000041301, ENSMUSG00000046808, ENSMUSG00000033793, ENSMUSG00000025781, ENSMUSG00000033161, ENSMUSG00000035722","Atp1a3, Atp2b3, Atp6v1a, Atp8b3, Atp8b1, Atp6v1b2, Atp5f1, Asna1, Atp5a1, Abcg1, Atp8a2, Atp6v1f, Ralbp1, Atp6v1g1, Atp5e, Atp6v1e1, Atp9a, Atp6v1c2, Abcg2, Atp6v0a4, Atp6v0c, Atp6v0d1, Atp5o, Atp6v1d, Atp5d, Abcb6, Cftr, Atp10d, Atp6v1h, Atp5c1, Atp1a1, Abca7"
