"","NGenes","PropDown","PropUp","Direction","PValue","FDR","differential_genes_gene_id","differential_genes_gene_name"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS",11,0,0.818181818181818,"Up",0.001,0.00218092105263158,"ENSMUSG00000032312, ENSMUSG00000036594, ENSMUSG00000060586, ENSMUSG00000027508, ENSMUSG00000026395, ENSMUSG00000032093, ENSMUSG00000002033, ENSMUSG00000023274","Csk, H2-Aa, H2-Eb1, Pag1, Ptprc, Cd3e, Cd3g, Cd4"
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS",10,0.1,0.8,"Up",0.001,0.00218092105263158,"ENSMUSG00000074677, ENSMUSG00000059456, ENSMUSG00000022148, ENSMUSG00000059923, ENSMUSG00000004266, ENSMUSG00000030579, ENSMUSG00000059182","Sirpb1c, Ptk2b, Fyb, Grb2, Ptpn6, Tyrobp, Skap2"
"REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA",9,0,0.777777777777778,"Up",0.001,0.00218092105263158,"ENSMUSG00000025408, ENSMUSG00000026663, ENSMUSG00000042406, ENSMUSG00000023994, ENSMUSG00000020484, ENSMUSG00000003814","Ddit3, Atf6, Atf4, Nfya, Xbp1, Calr"
"REACTOME_PD1_SIGNALING",13,0,0.769230769230769,"Up",0.001,0.00218092105263158,"ENSMUSG00000032312, ENSMUSG00000036594, ENSMUSG00000060586, ENSMUSG00000026285, ENSMUSG00000004266, ENSMUSG00000032093, ENSMUSG00000002033, ENSMUSG00000023274","Csk, H2-Aa, H2-Eb1, Pdcd1, Ptpn6, Cd3e, Cd3g, Cd4"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",13,0,0.769230769230769,"Up",0.001,0.00218092105263158,"ENSMUSG00000047123, ENSMUSG00000025779, ENSMUSG00000056130, ENSMUSG00000003184, ENSMUSG00000039005, ENSMUSG00000051439, ENSMUSG00000042349","Ticam1, Ly96, Ticam2, Irf3, Tlr4, Cd14, Ikbke"
"BIOCARTA_DC_PATHWAY",21,0.0476190476190476,0.761904761904762,"Up",0.001,0.00218092105263158,"ENSMUSG00000018916, ENSMUSG00000004296, ENSMUSG00000020383, ENSMUSG00000027863, ENSMUSG00000051504, ENSMUSG00000045322, ENSMUSG00000025163, ENSMUSG00000024669, ENSMUSG00000055170, ENSMUSG00000030789, ENSMUSG00000048806, ENSMUSG00000039005, ENSMUSG00000044583, ENSMUSG00000027995, ENSMUSG00000016529","Csf2, Il12b, Il13, Cd2, Siglech, Tlr9, Cd7, Cd5, Ifng, Itgax, Ifnb1, Tlr4, Tlr7, Tlr2, Il10"
"KEGG_OTHER_GLYCAN_DEGRADATION",16,0,0.75,"Up",0.001,0.00218092105263158,"ENSMUSG00000033857, ENSMUSG00000045594, ENSMUSG00000005142, ENSMUSG00000028048, ENSMUSG00000007038, ENSMUSG00000028673, ENSMUSG00000019810, ENSMUSG00000029119, ENSMUSG00000021665, ENSMUSG00000025232","Engase, Glb1, Man2b1, Gba, Neu1, Fuca1, Fuca2, Man2b2, Hexb, Hexa"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",27,0.0740740740740741,0.740740740740741,"Up",0.001,0.00218092105263158,"ENSMUSG00000025017, ENSMUSG00000059923, ENSMUSG00000061132, ENSMUSG00000042644, ENSMUSG00000042228, ENSMUSG00000039936, ENSMUSG00000034330, ENSMUSG00000014453, ENSMUSG00000042626, ENSMUSG00000021457, ENSMUSG00000031264, ENSMUSG00000034116, ENSMUSG00000049686, ENSMUSG00000034342, ENSMUSG00000030724, ENSMUSG00000003379, ENSMUSG00000040592","Pik3ap1, Grb2, Blnk, Itpr3, Lyn, Pik3cd, Plcg2, Blk, Shc1, Syk, Btk, Vav1, Orai1, Cbl, Cd19, Cd79a, Cd79b"
"BIOCARTA_TALL1_PATHWAY",15,0.133333333333333,0.733333333333333,"Up",0.001,0.00218092105263158,"ENSMUSG00000053436, ENSMUSG00000024927, ENSMUSG00000089669, ENSMUSG00000031497, ENSMUSG00000010142, ENSMUSG00000026637, ENSMUSG00000026942, ENSMUSG00000022496, ENSMUSG00000020941, ENSMUSG00000028163","Mapk14, Rela, Tnfsf13, Tnfsf13b, Tnfrsf13b, Traf5, Traf2, Tnfrsf17, Map3k14, Nfkb1"
"SA_MMP_CYTOKINE_CONNECTION",15,0.0666666666666667,0.733333333333333,"Up",0.001,0.00218092105263158,"ENSMUSG00000024401, ENSMUSG00000027398, ENSMUSG00000030341, ENSMUSG00000059089, ENSMUSG00000027947, ENSMUSG00000028599, ENSMUSG00000051457, ENSMUSG00000014599, ENSMUSG00000002603","Tnf, Il1b, Tnfrsf1a, Fcgr4, Il6ra, Tnfrsf1b, Spn, Csf1, Tgfb1"
